	repetition	confirm_time	body_site	stim_temp	calibration_onset	calibration_jitter	calibration_duration	heat_onset	heat_jitter	heat_duration	hot_temp	valence_rating	intensity_rating
0	1	89.3262374	Left Leg	45.5	94.53360089999998	1	33	132.9761389	2	14.604430780000001	48.5	-52	56
1	1	222.71072689999997	Right Leg	40.0	230.25003230000002	2	26	260.9030206	1	14.595710440000062	45.0	-44	44
2	1	316.44355859999996	Right Face	38.5	321.4329484	0	32	357.5852909	0	14.430093809999903	48.0	41	47
3	1	440.36465039999996	Abdomen	33.5	443.79938530000004	2	30	479.60893509999994	2	14.50056933999997	47.0	-46	45
4	1	523.7217443999999	Left Face	35.5	528.4990938	3	29	564.3619951	3	14.642018209999833	46.5	-44	43
5	1	624.1668748999999	Chest	34.5	626.182102	1	31	663.449364	2	14.568229110000061	47.5	-48	49
6	1	737.3630158999999	Right Arm	37.0	743.5649035	3	25	772.1830603	0	14.536474339999927	44.5	-43	42
7	1	843.1409676999999	Left Arm	35.5	844.1646635	0	25	874.3893236	1	14.452209369999878	44.5	-43	41
8	2	950.4972210999999	Right Leg	35.0	953.1976209999999	1	29	986.5456201	0	14.539792560000024	46.5	-47	45
9	2	1037.4216468	Chest	34.0	1043.6310151999999	2	30	1079.3837111	2	14.480892150000045	47.0	-46	44
10	2	1128.9332186	Left Leg	39.5	1130.5137885	1	30	1166.7082444	2	14.509378010000091	47.0	-52	49
11	2	1227.0161249999999	Right Arm	36.5	1227.8136553	0	10	1242.190268	1	14.48153167999999	37.0	0	4
12	2	1311.5345258	Right Face	34.5	1315.5133082	3	29	1350.5602495	2	14.473566159999791	46.5	-46	43
13	2	1392.2848021	Left Face	39.5	1393.4463623	0	30	1428.9155172	1	14.998241989999997	47.0	-44	41
14	2	1471.68252	Abdomen	35.0	1474.7858016	3	29	1509.9590487	2	14.509704640000109	46.5	-40	41
15	2	1564.5684568	Left Arm	32.0	1565.9106553	0	27	1597.8183824	0	14.543836079999892	45.5	-42	41
16	3	1815.0340304	Chest	37.0	1818.0616822	2	31	1856.1406537	3	14.545433009999897	47.5	-48	45
17	3	1894.2719562	Left Face	47.0	1897.8448343999999	3	31	1937.4807553	0	14.635284580000189	49.0	-49	47
18	3	1990.2080301	Abdomen	46.0	1993.1946629	2	31	2034.7805898000001	2	14.621419439999954	49.0	-55	54
19	3	2074.1660805	Left Arm	38.0	2075.177531	0	28	2108.3974297	1	14.411585490000107	46.0	-50	46
20	3	2167.3504002	Left Leg	41.0	2170.7940316	3	27	2201.9548681	0	14.515803210000286	45.5	-47	46
21	3	2266.2056483	Right Face	37.5	2267.4925609	1	30	2302.1047723	1	14.582781569999952	47.0	-36	35
22	3	2343.000198	Right Arm	47.0	2346.3082173	2	30	2387.4807038	2	14.567348020000281	49.0	-56	54
23	3	2444.8819691	Right Leg	34.5	2447.3765616	1	23	2476.9733939	3	14.525071349999962	43.5	-49	47
24	4	2511.5965654	Right Face	47.0	2513.593181	1	23	2556.0050975999998	3	14.534627609999916	49.0	-52	50
25	4	2595.6228031	Left Face	40.0	2598.9446143	3	32	2634.5565286	0	14.472874049999973	48.0	-51	47
26	4	2677.6129803999997	Left Arm	35.0	2678.5089831	0	26	2710.0514046	1	14.43054297000026	45.0	-40	40
27	4	2752.8161346	Right Arm	33.0	2755.5755541	2	29	2788.9948335	1	14.467433239999536	46.5	-40	38
28	4	2836.7314756	Right Leg	39.5	2838.1586614	1	28	2870.2951704	0	14.443492880000122	46.0	-44	44
29	4	2914.7198573	Chest	36.0	2915.9250453	0	27	2946.9471946	0	14.55652173999988	45.5	-38	34
30	4	2992.8726616999998	Left Leg	43.5	2993.2084005	0	29	3028.6779013	2	14.277265100000022	46.5	-47	44
31	4	3069.8101906	Abdomen	35.5	3071.5745347	1	29	3105.5099047	1	14.514040240000213	46.5	-40	39
