	onset	duration	rt	response	correct	bodySite	temperature	condition	pretrial-jitter
0	2.765746500052046	7.77060710004298				Left Face	49.0	2back Instructions	
1	10.789428500051145	1.996397640032228			1.0	Left Face	49.0	2back	
2	12.793086800025776	2.0058860200224444			1.0	Left Face	49.0	2back	3.0
3	14.808758300030604	2.007888819964137	0.0	2.0	1.0	Left Face	49.0	2back	
4	16.825616600050125	2.007556319993455	0.0	2.0	1.0	Left Face	49.0	2back	
5	18.903572700044606	1.9348316800314933	0.0	2.0	0.0	Left Face	49.0	2back	
6	20.859031200001482	2.0074646200519055	0.0	2.0	1.0	Left Face	49.0	2back	
7	22.875758400012273	2.0073667200049385	0.7169730000314303	0.0	1.0	Left Face	49.0	2back	
8	24.8922819000436	2.007708619988989	0.0	2.0	1.0	Left Face	49.0	2back	
9	26.90901380003197	2.007588820066303	0.0	2.0	0.0	Left Face	49.0	2back	
10	28.925679600040894	2.007701820053626	0.550251200038474	0.0	1.0	Left Face	49.0	2back	
11	35.94034090003697	5.012582319963258		15.864197530864196		Left Face	49.0	2back Rating	5.0
12	40.96514650003519	45.971421500027645				Left Face	49.0	1back Instructions	
13	50.987318700004835	1.9847792200744152			1.0	Left Face	49.0	1back	
14	52.99361010000575	2.0054996199323796	0.37993070000084117	2.0	0.0	Left Face	49.0	1back	5.0
15	54.994178600027226	2.004408019944094	0.815722800034564	2.0	1.0	Left Face	49.0	1back	
16	56.994215700018685	2.0043619200005196	0.44627349998336285	2.0	1.0	Left Face	49.0	1back	
17	59.021671599999536	1.982693360070698	0.5791804000036791	2.0	1.0	Left Face	49.0	1back	
18	61.00930030003656	2.0075719200540334	0.5964630000526085	2.0	1.0	Left Face	49.0	1back	
19	63.01092210004572	2.0043612199951895	0.446663599985186	2.0	1.0	Left Face	49.0	1back	
20	65.01109189999988	2.0040882200119086	0.5463768999907188	2.0	1.0	Left Face	49.0	1back	
21	67.01117980002891	2.0039374199695885	0.48226130002876744	2.0	1.0	Left Face	49.0	1back	
22	69.0109255000134	2.0044690200593323	0.5627080000122078	0.0	1.0	Left Face	49.0	1back	
23	76.00747630000114	5.012360219901893		15.679012345679011		Left Face	49.0	1back Rating	5.0
24	81.01347050000913	86.02212450001389				Left Face	49.0	1back Instructions	
25	91.05418780003674	1.9849607199430466			1.0	Left Face	49.0	1back	
26	93.06043470004806	2.0058473199023865	1.413003799971193	2.0	1.0	Left Face	49.0	1back	5.0
27	95.06174190004822	2.003295719914604	0.8466103000100702	2.0	1.0	Left Face	49.0	1back	
28	97.06193640001584	2.002941920014564	1.0298532000160776	2.0	1.0	Left Face	49.0	1back	
29	99.09148670005379	1.9769701599725522	0.9125157999806106	0.0	1.0	Left Face	49.0	1back	
30	101.07625670003472	2.007708819990512	0.7798565000412054	2.0	1.0	Left Face	49.0	1back	
31	103.07818340003723	2.0038858199841343	0.4793148000026122	2.0	1.0	Left Face	49.0	1back	
32	105.07788460003212	2.0045062199933454	0.6488785999827087	0.0	1.0	Left Face	49.0	1back	
33	107.07794890005607	2.0044145199935883	0.5631970000104047	2.0	1.0	Left Face	49.0	1back	
34	109.07781330001308	2.004710920038633	0.5631999999750406	2.0	1.0	Left Face	49.0	1back	
35	114.07413970003836	5.012996819918044		15.061728395061733		Left Face	49.0	1back Rating	3.0
36	119.09999420004897	124.10544050001772				Left Face	49.0	2back Instructions	
37	131.1399945000303	1.9973029399989173			1.0	Left Face	49.0	2back	
38	133.1442247000523	2.0056641200208105			1.0	Left Face	49.0	2back	7.0
39	135.15990389999934	2.0076287199626677	0.9003449000301771	0.0	1.0	Left Face	49.0	2back	
40	137.17657950002467	2.0075745200156234	0.0	2.0	1.0	Left Face	49.0	2back	
41	139.24049150000792	1.9630429800599813	1.0669420000049286	0.0	0.0	Left Face	49.0	2back	
42	141.21013360004872	2.007281219935976	0.0	2.0	1.0	Left Face	49.0	2back	
43	143.22673809999833	2.0074403199832886	0.7669473999994807	0.0	1.0	Left Face	49.0	2back	
44	145.243566500023	2.0071747199981473	0.6002911000396125	0.0	1.0	Left Face	49.0	2back	
45	147.26009000005433	2.0074866199865937	0.6360796999651939	0.0	1.0	Left Face	49.0	2back	
46	149.27665990003152	2.007696520013269	0.0	2.0	1.0	Left Face	49.0	2back	
47	156.2920676000067	5.011100319970865		15.123456790123457		Left Face	49.0	2back Rating	5.0
48	161.29729550000047	166.30611610005144				Left Face	49.0	2back Instructions	
49	171.34027179999975	1.9974466399871744			1.0	Left Face	49.0	2back	
50	173.34461820003344	2.005529120040592			1.0	Left Face	49.0	2back	5.0
51	175.36080170003697	2.006535319960676	0.5002718000323512	0.0	1.0	Left Face	49.0	2back	
52	177.3767865000409	2.0079233199940063	0.0	2.0	1.0	Left Face	49.0	2back	
53	179.4288024000125	1.9704722600290552	0.0	2.0	1.0	Left Face	49.0	2back	
54	181.41029670002172	2.0076539200381376	0.0	2.0	1.0	Left Face	49.0	2back	
55	183.4269825000083	2.0076442200224847	0.41696209996007383	0.0	1.0	Left Face	49.0	2back	
56	185.44364420004422	2.007682220020797	0.0	2.0	1.0	Left Face	49.0	2back	
57	187.46033760003047	2.007666520017665	0.0	2.0	1.0	Left Face	49.0	2back	
58	189.4770083000185	2.007678819994908	0.6002844999893568	0.0	1.0	Left Face	49.0	2back	
59	194.49166740005603	5.01261561998399		15.246913580246915		Left Face	49.0	2back Rating	3.0
60	199.49787970003672	204.50649160001194				Left Face	49.0	2back Instructions	
61	211.5405882000341	1.9975207399693318			1.0	Left Face	49.0	2back	
62	213.54471340001328	2.005938120011706			1.0	Left Face	49.0	2back	7.0
63	215.5606695000315	2.007500119972974	0.0	2.0	1.0	Left Face	49.0	2back	
64	217.57765870000003	2.0068680200492963	0.0	2.0	1.0	Left Face	49.0	2back	
65	219.61955790000502	1.9730514400289394	0.3500114000053145	0.0	1.0	Left Face	49.0	2back	
66	221.61093429999892	2.0070021199062467	0.8502945000072941	0.0	1.0	Left Face	49.0	2back	
67	223.62768810003763	2.0069157199468464	0.0	2.0	1.0	Left Face	49.0	2back	
68	225.64398490003077	2.0077861199970357	0.0	2.0	1.0	Left Face	49.0	2back	
69	227.66067790001398	2.0076691200374626	0.0	2.0	1.0	Left Face	49.0	2back	
70	229.67777440004284	2.0068735199747607	0.6669625000213273	0.0	1.0	Left Face	49.0	2back	
71	236.69257540005492	5.0115440200897865		14.444444444444446		Left Face	49.0	2back Rating	5.0
72	241.71767209999962	246.72314510005526				Left Face	49.0	1back Instructions	
73	251.75553710001986	1.9850306200096384			1.0	Left Face	49.0	1back	
74	253.76185730000725	2.0057185200275853	0.446609599981457	2.0	0.0	Left Face	49.0	1back	5.0
75	255.76274140004534	2.0039884200086817	0.6132978000096045	2.0	1.0	Left Face	49.0	1back	
76	257.7628942000447	2.0037168199778534	0.6962957999785431	2.0	1.0	Left Face	49.0	1back	
77	259.8170859000529	1.9452024799538776	0.7626535999588668	2.0	1.0	Left Face	49.0	1back	
78	261.77774390002014	2.007461119967047	0.632656300032977	2.0	1.0	Left Face	49.0	1back	
79	263.7794151000562	2.004136120027397	0.732463699998334	2.0	1.0	Left Face	49.0	1back	
80	265.7797179000336	2.003576719958801	0.42989859997760504	2.0	1.0	Left Face	49.0	1back	
81	267.7797896999982	2.003466419992037	0.5299494999926537	0.0	1.0	Left Face	49.0	1back	
82	269.77943720004987	2.004195519955829	0.496549200033769	0.0	1.0	Left Face	49.0	1back	
83	278.77596360002644	5.012153820018284		14.691358024691356		Left Face	49.0	1back Rating	7.0
84	283.7819840000011	288.79030760005116				Left Face	49.0	1back Instructions	
85	291.8238661000505	1.9989767399965785			1.0	Left Face	49.0	1back	
86	293.82877970003756	2.005929720005952	0.9633511999854818	2.0	1.0	Left Face	49.0	1back	3.0
87	295.82964700000593	2.0042251200648025	0.7299467000411823	0.0	1.0	Left Face	49.0	1back	
88	297.8295905000414	2.003879619995132	0.44646549999015406	2.0	1.0	Left Face	49.0	1back	
89	299.87069750000956	1.954849060100969	0.41275739995762706	2.0	1.0	Left Face	49.0	1back	
90	301.8446833000053	2.00756082002772	0.713186000008136	2.0	1.0	Left Face	49.0	1back	
91	303.8464110000059	2.0041393199935555	0.4299868000089191	2.0	1.0	Left Face	49.0	1back	
92	305.8469430000405	2.003141420020256	0.44665669999085367	2.0	1.0	Left Face	49.0	1back	
93	307.84659220004687	2.003882419958245	0.43000540003413334	2.0	1.0	Left Face	49.0	1back	
94	309.84647250000853	2.004155319998972	0.5965795999509282	0.0	1.0	Left Face	49.0	1back	
95	316.8427572000073	5.012562220043037		15.555555555555554		Left Face	49.0	1back Rating	5.0
96	321.84926149999956	326.857098700013				Left Face	49.0	1back Instructions	
97	331.8895184000139	1.9850965200457722			1.0	Left Face	49.0	1back	
98	333.89585090003675	2.005820219987072	0.6801033000228927	0.0	1.0	Left Face	49.0	1back	5.0
99	335.8968080000486	2.0039198199519888	0.4131502999807708	0.0	1.0	Left Face	49.0	1back	
100	337.89632850000635	2.004928920068778	0.4632656999747269	2.0	1.0	Left Face	49.0	1back	
101	339.956899300043	1.9336450799601153	0.6792184000369161	2.0	1.0	Left Face	49.0	1back	
102	341.91173310001614	2.0075359200127423	0.5965858999988995	2.0	1.0	Left Face	49.0	1back	
103	343.91321920003975	2.0045930199557915	0.666371600003913	2.0	1.0	Left Face	49.0	1back	
104	345.91305100003956	2.0049538199673407	0.49659980001160875	2.0	1.0	Left Face	49.0	1back	
105	347.9142915000557	2.002513320010621	0.36330299999099225	2.0	1.0	Left Face	49.0	1back	
106	349.9142839999986	2.0025540200294927	0.5131061999709345	0.0	1.0	Left Face	49.0	1back	
107	354.910680400033	5.010689920047298		15.864197530864196		Left Face	49.0	1back Rating	3.0
108	359.9350765000563	364.9408226000378				Left Face	49.0	2back Instructions	
109	371.97557660000166	1.996923640021123			1.0	Left Face	49.0	2back	
110	373.97947510000085	2.0059239200199954			1.0	Left Face	49.0	2back	7.0
111	375.9956531000207	2.0069637200213037	0.0	2.0	1.0	Left Face	49.0	2back	
112	378.01203690003604	2.007506120018661	0.0	2.0	1.0	Left Face	49.0	2back	
113	380.0660925999982	1.966001060034614	0.7004211000166833	0.0	1.0	Left Face	49.0	2back	
114	382.0453961000312	2.0074719199328683	0.0	2.0	1.0	Left Face	49.0	2back	
115	384.06203750002896	2.0076062199659646	0.0	2.0	1.0	Left Face	49.0	2back	
116	386.078864500043	2.0072167199105024	0.3836293999920599	0.0	1.0	Left Face	49.0	2back	
117	388.0954693000531	2.0074942199280486	0.0	2.0	1.0	Left Face	49.0	2back	
118	390.1120681000175	2.0076505199540406	0.0	2.0	1.0	Left Face	49.0	2back	
119	399.1269133000169	5.012314520019572		15.123456790123457		Left Face	49.0	2back Rating	7.0
120	404.1526961000054	409.15780640003504				Left Face	49.0	1back Instructions	
121	412.1905802000547	1.9843186200596392			1.0	Left Face	49.0	1back	
