18.8223 	WARNING 	Requested an unavailable screen number - using first available.
20.7604 	EXP 	Created Begin = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Begin', opacity=1, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
20.9340 	EXP 	Created movie = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=-1.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie', noAudio=False, opacity=1, ori=method-wrapper(...), pos=array([0., 0.]), size=method-wrapper(...), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
34.4029 	EXP 	Created movie = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=-1.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie', noAudio=False, opacity=1, ori=method-wrapper(...), pos=array([0., 0.]), size=method-wrapper(...), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
39.9110 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.3, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
39.9112 	EXP 	window1: mouseVisible = False
40.0089 	EXP 	movie: autoLog = True
40.0089 	EXP 	movie: movie = 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\kungfury.mp4'
40.0089 	EXP 	movie: size = array([1920., 1080.])
40.0089 	EXP 	movie: ori = 0
40.0089 	EXP 	movie: autoLog = True
40.0089 	EXP 	movie: movie = 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\01_Inscapes_NoScannerSound_h264.wmv'
40.0089 	EXP 	movie: size = array([1024.,  800.])
40.0089 	EXP 	movie: ori = 0
40.0089 	EXP 	Begin: autoDraw = True
68.8191 	EXP 	Created sequence: sequential, trialTypes=1, nReps=1, seed=None
68.8197 	EXP 	New trial (rep=0, index=0): OrderedDict([('runSeq', [OrderedDict([('moviefile', 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\kungfury.mp4')]), OrderedDict([('moviefile', 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\01_Inscapes_NoScannerSound_h264.wmv')])])])
68.8200 	EXP 	Created sequence: sequential, trialTypes=2, nReps=1, seed=None
68.8203 	EXP 	New trial (rep=0, index=0): OrderedDict([('moviefile', 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\kungfury.mp4')])
68.8587 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-0.5, -0.5, -0.5]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
68.8606 	DATA 	Keypress: space
68.8636 	EXP 	Begin: autoDraw = False
71.7014 	DATA 	Keypress: s
85.7443 	DATA 	Keypress: 5
88.3052 	DATA 	Keypress: 5
88.3055 	DATA 	Keypress: 5
88.3058 	DATA 	Keypress: 5
88.3060 	DATA 	Keypress: 5
88.3062 	DATA 	Keypress: 5
88.5043 	DATA 	Keypress: 5
88.5050 	EXP 	Sound  started
88.5309 	EXP 	movie: autoDraw = True
88.9752 	DATA 	Keypress: 5
89.4333 	DATA 	Keypress: 5
89.8921 	DATA 	Keypress: 5
90.3504 	DATA 	Keypress: 5
90.8092 	DATA 	Keypress: 5
91.2923 	DATA 	Keypress: 5
91.7250 	DATA 	Keypress: 5
92.2090 	DATA 	Keypress: 5
92.6591 	DATA 	Keypress: 5
93.1250 	DATA 	Keypress: 5
93.5749 	DATA 	Keypress: 5
94.0334 	DATA 	Keypress: 5
94.4922 	DATA 	Keypress: 5
94.9504 	DATA 	Keypress: 5
95.4088 	DATA 	Keypress: 5
95.8922 	DATA 	Keypress: 5
96.3251 	DATA 	Keypress: 5
96.8092 	DATA 	Keypress: 5
97.2590 	DATA 	Keypress: 5
97.7252 	DATA 	Keypress: 5
98.1750 	DATA 	Keypress: 5
98.6334 	DATA 	Keypress: 5
99.0921 	DATA 	Keypress: 5
99.5504 	DATA 	Keypress: 5
100.0091 	DATA 	Keypress: 5
100.4925 	DATA 	Keypress: 5
100.9251 	DATA 	Keypress: 5
101.4091 	DATA 	Keypress: 5
101.8593 	DATA 	Keypress: 5
102.3251 	DATA 	Keypress: 5
102.7746 	DATA 	Keypress: 5
103.2334 	DATA 	Keypress: 5
103.6922 	DATA 	Keypress: 5
104.1503 	DATA 	Keypress: 5
104.6091 	DATA 	Keypress: 5
105.0921 	DATA 	Keypress: 5
105.5249 	DATA 	Keypress: 5
106.0092 	DATA 	Keypress: 5
106.4592 	DATA 	Keypress: 5
106.9249 	DATA 	Keypress: 5
107.3747 	DATA 	Keypress: 5
107.8335 	DATA 	Keypress: 5
108.2921 	DATA 	Keypress: 5
108.7504 	DATA 	Keypress: 5
109.2091 	DATA 	Keypress: 5
109.6922 	DATA 	Keypress: 5
110.1249 	DATA 	Keypress: 5
110.6091 	DATA 	Keypress: 5
111.0590 	DATA 	Keypress: 5
111.5247 	DATA 	Keypress: 5
111.9750 	DATA 	Keypress: 5
112.4334 	DATA 	Keypress: 5
112.8917 	DATA 	Keypress: 5
113.3504 	DATA 	Keypress: 5
113.8087 	DATA 	Keypress: 5
114.2922 	DATA 	Keypress: 5
114.7256 	DATA 	Keypress: 5
115.2089 	DATA 	Keypress: 5
115.6589 	DATA 	Keypress: 5
116.1262 	DATA 	Keypress: 5
116.5761 	DATA 	Keypress: 5
117.0334 	DATA 	Keypress: 5
117.4919 	DATA 	Keypress: 5
117.9504 	DATA 	Keypress: 5
118.4087 	DATA 	Keypress: 5
118.8923 	DATA 	Keypress: 5
119.3262 	DATA 	Keypress: 5
119.8092 	DATA 	Keypress: 5
120.2589 	DATA 	Keypress: 5
120.7260 	DATA 	Keypress: 5
121.1760 	DATA 	Keypress: 5
121.6334 	DATA 	Keypress: 5
122.0922 	DATA 	Keypress: 5
122.5504 	DATA 	Keypress: 5
123.0092 	DATA 	Keypress: 5
123.4923 	DATA 	Keypress: 5
123.9260 	DATA 	Keypress: 5
124.4092 	DATA 	Keypress: 5
124.8592 	DATA 	Keypress: 5
125.3262 	DATA 	Keypress: 5
125.7761 	DATA 	Keypress: 5
126.2335 	DATA 	Keypress: 5
126.6922 	DATA 	Keypress: 5
127.1504 	DATA 	Keypress: 5
127.6092 	DATA 	Keypress: 5
128.0923 	DATA 	Keypress: 5
128.5261 	DATA 	Keypress: 5
129.0093 	DATA 	Keypress: 5
129.4585 	DATA 	Keypress: 5
129.9256 	DATA 	Keypress: 5
130.3756 	DATA 	Keypress: 5
130.8339 	DATA 	Keypress: 5
131.2927 	DATA 	Keypress: 5
131.7509 	DATA 	Keypress: 5
132.2097 	DATA 	Keypress: 5
132.6927 	DATA 	Keypress: 5
133.1253 	DATA 	Keypress: 5
133.6082 	DATA 	Keypress: 5
134.0588 	DATA 	Keypress: 5
134.5253 	DATA 	Keypress: 5
134.9757 	DATA 	Keypress: 5
135.4340 	DATA 	Keypress: 5
135.8927 	DATA 	Keypress: 5
136.3509 	DATA 	Keypress: 5
136.8095 	DATA 	Keypress: 5
137.2928 	DATA 	Keypress: 5
137.7255 	DATA 	Keypress: 5
138.2087 	DATA 	Keypress: 5
138.6594 	DATA 	Keypress: 5
139.1256 	DATA 	Keypress: 5
139.5757 	DATA 	Keypress: 5
140.0340 	DATA 	Keypress: 5
140.4927 	DATA 	Keypress: 5
140.9509 	DATA 	Keypress: 5
141.4093 	DATA 	Keypress: 5
141.8928 	DATA 	Keypress: 5
142.3254 	DATA 	Keypress: 5
142.8096 	DATA 	Keypress: 5
143.2597 	DATA 	Keypress: 5
143.7256 	DATA 	Keypress: 5
144.1754 	DATA 	Keypress: 5
144.6339 	DATA 	Keypress: 5
145.0926 	DATA 	Keypress: 5
145.5509 	DATA 	Keypress: 5
146.0091 	DATA 	Keypress: 5
146.4926 	DATA 	Keypress: 5
146.9256 	DATA 	Keypress: 5
147.4099 	DATA 	Keypress: 5
147.8597 	DATA 	Keypress: 5
148.3257 	DATA 	Keypress: 5
148.7753 	DATA 	Keypress: 5
149.2340 	DATA 	Keypress: 5
149.6927 	DATA 	Keypress: 5
150.1509 	DATA 	Keypress: 5
150.6096 	DATA 	Keypress: 5
151.0928 	DATA 	Keypress: 5
151.5255 	DATA 	Keypress: 5
152.0098 	DATA 	Keypress: 5
152.4597 	DATA 	Keypress: 5
152.9255 	DATA 	Keypress: 5
153.3756 	DATA 	Keypress: 5
153.8339 	DATA 	Keypress: 5
154.2926 	DATA 	Keypress: 5
154.7509 	DATA 	Keypress: 5
155.2097 	DATA 	Keypress: 5
155.6923 	DATA 	Keypress: 5
156.1509 	DATA 	Keypress: 5
156.6095 	DATA 	Keypress: 5
157.0597 	DATA 	Keypress: 5
157.5257 	DATA 	Keypress: 5
157.9756 	DATA 	Keypress: 5
