	onset	duration	phase	condition
0	2.8100333999900613	1.4830512999906205	cue	Abdomen
1	4.293084699980682	16.508505899779266	movement	Abdomen
2	20.852670199994463	1.4833311999973375	cue	Chest
3	22.3360013999918	16.51138050001464	movement	Chest
4	38.8365436999884	18.010748650005553	rest	Rest
5	56.88475149997976	1.4833411000145134	cue	Right Face
6	58.36809259999427	16.51445789996069	movement	Right Face
7	74.86959439999191	18.01186605001567	rest	Rest
8	92.91783479999867	1.4833442000090145	cue	Left Face
9	94.40117900000769	16.51551600001403	movement	Left Face
10	110.9462883999804	1.4831099000002723	cue	Right Leg
11	112.42939829998068	16.509171549987514	movement	Right Leg
12	128.9982204999833	1.4831084000179544	cue	Left Arm
13	130.48132890000124	16.505535299977055	movement	Left Arm
14	146.98663329999545	18.01228835002985	rest	Rest
15	165.0421720999875	1.4664442999928724	cue	Right Arm
16	166.50861639998038	16.518236799980514	movement	Right Arm
17	183.02063590000034	18.011507949995575	rest	Rest
18	201.06785959997796	1.4831263999803923	cue	Left Leg
19	202.55098599995836	16.5007945499965	movement	Left Leg
20	219.10260899999412	1.483352899987949	cue	Abdomen
21	220.58596189998207	16.514632900012657	movement	Abdomen
22	237.14216540000052	1.4841851000091992	cue	Right Arm
23	238.62635050000972	16.501640999980737	movement	Right Arm
24	255.1685157000029	1.466685299994424	cue	Left Face
25	256.6352009999973	16.516728299990064	movement	Left Face
26	273.13774139998714	18.012091449985746	rest	Rest
27	291.1879610999895	1.4833362999779638	cue	Chest
28	292.67129739996744	16.51176380002289	movement	Chest
29	309.2159270999837	1.483205900003668	cue	Left Leg
30	310.69913299998734	16.50630554999225	movement	Left Leg
31	327.2060782999906	18.009587750042556	rest	Rest
32	345.25066140000126	1.4835261999978684	cue	Right Leg
33	346.73418759999913	16.503732549987035	movement	Right Leg
34	363.23885470000096	18.0112623499881	rest	Rest
35	381.3125509999809	1.4831224999797996	cue	Left Arm
36	382.7956734999607	16.514153650030494	movement	Left Arm
37	399.30587359998026	18.01112954999553	rest	Rest
38	417.35448569999426	1.4833274999982677	cue	Right Face
39	418.8378131999925	16.514051100006327	movement	Right Face
40	Condition Order: 	['Abdomen', 'Chest', 'Rest', 'Right Face', 'Rest', 'Left Face', 'Right Leg', 'Left Arm', 'Rest', 'Right Arm', 'Rest', 'Left Leg', 'Abdomen', 'Right Arm', 'Left Face', 'Rest', 'Chest', 'Left Leg', 'Rest', 'Right Leg', 'Rest', 'Left Arm', 'Rest', 'Right Face']		
