RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
1,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,73.0000696000061,None,,,,,,,,,,,,,,,,,,,,,,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,346.63539059998584,None,space,44.20326280000154,346.63539059998584,None,,,,,,,,,,,,,,,,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,0,0,0,,,,,,,,,None,None,None,None,[],None,None,None,None,None,None,[],[],None,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,None,None,[],None,None,None,None,None,None,[],[],None,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,None,None,[],None,None,None,None,None,None,[],[],None,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,None,None,[],None,None,None,None,None,None,[],[],None,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,None,None,[],None,None,None,None,None,None,[],[],None,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,9,"[0.2, -0.2]",1,0,1,1,1,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,None,None,0,402.4524877999793,None,402.4524877999793,403.4524875000061,403.4191210999852,None,0,0,402.4524877999793,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,None,None,0,403.88578509999206,None,403.88578509999206,404.8857909000071,404.86914080000133,405.8691467999888,0,1,403.88578509999206,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,None,None,0,405.8858084999956,None,405.8858084999956,406.8858089999994,406.8691591999959,407.8691448000027,0,1,405.8858084999956,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,None,None,0,407.88582520000637,None,407.88582520000637,408.88583559999825,408.8691906000022,409.8691642000049,0,1,407.88582520000637,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,None,None,0,409.88584879998234,None,409.88584879998234,410.88584929998615,410.86918809998315,411.86921629999415,0,1,409.88584879998234,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,5,"[0, 0]",1,0,1,1,1,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,None,None,0,411.8858682999853,None,411.8858682999853,412.8858806999924,412.869185699994,413.86919070000295,0,1,411.8858682999853,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,None,None,0,413.8858670000045,None,413.8858670000045,414.885889600002,414.8691848999879,415.8692186999833,0,1,413.8858670000045,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,None,None,0,415.88587699999334,None,415.88587699999334,416.8858917999896,416.86923549999483,417.8692231999885,0,1,415.88587699999334,None,3,f,16,l,MS,2021_Aug_13_1215,WASABI Nback,2020.2.10,59.98026649567994,
