RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
1,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,46.080730099987704,None,,,,,,,,,,,,,,,,,,,,,,5,m,22,r,MH,2022_Feb_25_1418,WASABI Nback,2020.2.10,59.984835829765245,
0,1,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,331.86636980000185,None,space,25.701313300000038,331.86636980000185,None,,,,,,,,,,,,,,,,5,m,22,r,MH,2022_Feb_25_1418,WASABI Nback,2020.2.10,59.984835829765245,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,0,0,0,,,,,,,,,None,None,None,None,[],None,None,None,None,None,None,[],[],None,None,5,m,22,r,MH,2022_Feb_25_1418,WASABI Nback,2020.2.10,59.984835829765245,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,None,None,0,361.9166083000018,None,361.9166083000018,None,None,None,0,1,361.9166083000018,None,5,m,22,r,MH,2022_Feb_25_1418,WASABI Nback,2020.2.10,59.984835829765245,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,None,None,0,362.6166256000288,None,362.6166256000288,363.6166140999994,363.5999863999896,364.5999524000217,0,1,362.6166256000288,None,5,m,22,r,MH,2022_Feb_25_1418,WASABI Nback,2020.2.10,59.984835829765245,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,None,None,0,364.6166315000155,None,364.6166315000155,365.616629199998,365.599965100002,366.59997590002604,0,1,364.6166315000155,None,5,m,22,r,MH,2022_Feb_25_1418,WASABI Nback,2020.2.10,59.984835829765245,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,None,None,0,366.61663340002997,None,366.61663340002997,367.61663420003606,367.5999723999994,368.59999860002426,0,1,366.61663340002997,None,5,m,22,r,MH,2022_Feb_25_1418,WASABI Nback,2020.2.10,59.984835829765245,
0,1,9,"[0.2, -0.2]",1,0,1,1,1,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,None,None,0,368.6166496000369,None,368.6166496000369,369.6166598999989,369.60000100004254,370.59999810002046,0,1,368.6166496000369,None,5,m,22,r,MH,2022_Feb_25_1418,WASABI Nback,2020.2.10,59.984835829765245,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,None,None,0,370.6167238000198,None,370.6167238000198,371.6166579000419,371.6000101999962,372.60001260001445,0,1,370.6167238000198,None,5,m,22,r,MH,2022_Feb_25_1418,WASABI Nback,2020.2.10,59.984835829765245,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,None,None,0,372.616683500004,None,372.616683500004,373.61668129998725,373.6000205000164,374.60005300003104,0,1,372.616683500004,None,5,m,22,r,MH,2022_Feb_25_1418,WASABI Nback,2020.2.10,59.984835829765245,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,None,None,0,374.61668420000933,None,374.61668420000933,375.6167052999954,375.60003800003324,376.60005320003256,0,1,374.61668420000933,None,5,m,22,r,MH,2022_Feb_25_1418,WASABI Nback,2020.2.10,59.984835829765245,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,None,None,0,376.61671000003116,None,376.61671000003116,377.6167259000358,377.6000616000383,378.6000638999976,0,1,376.61671000003116,None,5,m,22,r,MH,2022_Feb_25_1418,WASABI Nback,2020.2.10,59.984835829765245,
0,1,5,"[0, 0]",1,0,1,1,1,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,None,None,0,378.6167309000157,None,378.6167309000157,379.61672789999284,379.6000694000395,380.60009309998713,0,1,378.6167309000157,None,5,m,22,r,MH,2022_Feb_25_1418,WASABI Nback,2020.2.10,59.984835829765245,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,None,None,0,380.6167504999903,None,380.6167504999903,381.6167490000371,381.6000821000198,382.6001004000427,0,1,380.6167504999903,None,5,m,22,r,MH,2022_Feb_25_1418,WASABI Nback,2020.2.10,59.984835829765245,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,None,None,0,382.61675059999106,None,382.61675059999106,383.61676020000596,383.60011629998917,384.6001188000082,0,1,382.61675059999106,None,5,m,22,r,MH,2022_Feb_25_1418,WASABI Nback,2020.2.10,59.984835829765245,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,None,None,0,384.61676410003565,None,384.61676410003565,385.61678969999775,385.60011400002986,386.600142100011,0,1,384.61676410003565,None,5,m,22,r,MH,2022_Feb_25_1418,WASABI Nback,2020.2.10,59.984835829765245,
0,1,8,"[0, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,None,None,0,386.61679200001527,None,386.61679200001527,387.6167922000168,387.60013259999687,388.6001367000281,0,1,386.61679200001527,None,5,m,22,r,MH,2022_Feb_25_1418,WASABI Nback,2020.2.10,59.984835829765245,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,None,None,0,388.61681660002796,None,388.61681660002796,389.6168136000051,389.60014250001404,390.6001613000408,0,1,388.61681660002796,None,5,m,22,r,MH,2022_Feb_25_1418,WASABI Nback,2020.2.10,59.984835829765245,
