RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,fixation_1.started,fixation_1.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,,,,0,0,0,0,,,,,0,0,0,0,,,,,28.68681690003723,None,space,62.683627699967474,28.68681690003723,None,,,,,,,,,,,,,,,,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,None,None,None,None,[],None,None,None,None,None,None,[],[],None,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,2,"[0, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,None,None,[],None,None,None,None,None,None,[],[],None,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,6,"[0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,None,None,[],None,None,None,None,None,None,[],[],None,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,9,"[0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,None,None,[],None,None,None,None,None,None,[],[],None,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,3,"[0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,4,4,4,,,,,,,,,None,None,[],None,None,None,None,None,None,[],[],None,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,9,"[0.2, -0.2]",1,0,0,0,0,,,,,0,0,0,0,0,5,5,5,,,,,,,,,None,None,[],None,None,None,None,None,None,[],[],None,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,6,6,6,,,,,,,,,None,None,[],None,None,None,None,None,None,[],[],None,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,1,"[-0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,7,7,7,,,,,,,,,None,None,[],None,None,None,None,None,None,[],[],None,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,8,8,8,,,,,,,,,None,None,[],None,None,None,None,None,None,[],[],None,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,9,9,9,,,,,,,,,None,None,[],None,None,None,None,None,None,[],[],None,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,5,"[0, 0]",1,0,0,0,0,,,,,0,0,0,0,0,10,10,10,,,,,,,,,None,None,[],None,None,None,None,None,None,[],[],None,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
0,1,6,"[0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,11,11,11,,,,,,,,,None,None,[],None,None,None,None,None,None,[],[],None,None,,,00006,m,2,r,CJM,2021_Aug_17_1610,WASABI Nback,2020.2.10,59.98976573787374,
