runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,fix_cross.started,fix_cross.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,EndingText.started,EndingText.stopped,ConfirmEnd.keys,ConfirmEnd.rt,ConfirmEnd.started,ConfirmEnd.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
,,,,,,,,,,19.204329899977893,None,space,0.41386190010234714,19.204329899977893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,M,2,1,r,MS,2021_Apr_29_0851,2020.2.5,bodymap2,60.00628865105037,"['Chest', 'Abdomen', 'Left Leg', 'Right Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,4,4,4,,,,,,,19.764506899751723,19.764506899751723,None,space,444.9019332998432,19.764506899751723,None,464.7009183000773,space,80.78169800015166,464.7009183000773,None,596.1020371001214,596.1020371001214,609.1354725998826,None,609.1354725998826,None,,,,,,,,,,,,,,,,,,,2,M,2,1,r,MS,2021_Apr_29_0851,2020.2.5,bodymap2,60.00628865105037,"['Chest', 'Abdomen', 'Left Leg', 'Right Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,6,6,6,,,,,,,,,,,,,,,,,,,622.1353155998513,None,635.1359326997772,None,635.1359326997772,None,,,,,,,,,,,,,,,,,,,2,M,2,1,r,MS,2021_Apr_29_0851,2020.2.5,bodymap2,60.00628865105037,"['Chest', 'Abdomen', 'Left Leg', 'Right Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,8,8,8,,,,,,,,,,,,,,,,,,,648.1358467000537,None,661.1360582998022,None,661.1360582998022,None,,,,,,,,,,,,,,,,,,,2,M,2,1,r,MS,2021_Apr_29_0851,2020.2.5,bodymap2,60.00628865105037,"['Chest', 'Abdomen', 'Left Leg', 'Right Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,9,9,9,,,,,,,,,,,,,,,,,,,,,674.1358786001801,674.1358786001801,674.1358786001801,674.1358786001801,,,,,,,,,,,,,,,,,,,2,M,2,1,r,MS,2021_Apr_29_0851,2020.2.5,bodymap2,60.00628865105037,"['Chest', 'Abdomen', 'Left Leg', 'Right Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,11,11,11,,,,,,,,,,,,,,,,,,,687.1361023001373,None,700.135987599846,None,700.135987599846,None,,,,,,,,,,,,,,,,,,,2,M,2,1,r,MS,2021_Apr_29_0851,2020.2.5,bodymap2,60.00628865105037,"['Chest', 'Abdomen', 'Left Leg', 'Right Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,14,14,14,,,,,,,,,,,,,,,,,,,726.1363177997991,726.1363177997991,739.1366674001329,None,739.1366674001329,None,,,,,,,,,,,,,,,,,,,2,M,2,1,r,MS,2021_Apr_29_0851,2020.2.5,bodymap2,60.00628865105037,"['Chest', 'Abdomen', 'Left Leg', 'Right Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,18,18,18,,,,,,,,,,,,,,,,,,,778.1367266997695,778.1367266997695,791.1366653000005,None,791.1366653000005,None,,,,,,,,,,,,,,,,,,,2,M,2,1,r,MS,2021_Apr_29_0851,2020.2.5,bodymap2,60.00628865105037,"['Chest', 'Abdomen', 'Left Leg', 'Right Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,21,21,21,,,,,,,,,,,,,,,,,,,817.1370143997483,817.1370143997483,830.1372107998468,None,830.1372107998468,None,,,,,,,,,,,,,,,,,,,2,M,2,1,r,MS,2021_Apr_29_0851,2020.2.5,bodymap2,60.00628865105037,"['Chest', 'Abdomen', 'Left Leg', 'Right Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,24,24,24,,,,,,,,,,,,,,,,,,,856.1373568000272,856.1373568000272,869.1371785998344,None,869.1371785998344,None,,,,,,,,,,,,,,,,,,,2,M,2,1,r,MS,2021_Apr_29_0851,2020.2.5,bodymap2,60.00628865105037,"['Chest', 'Abdomen', 'Left Leg', 'Right Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,28,28,28,,,,,,,,,,,,,,,,,,,908.1377134998329,908.1377134998329,921.1375989001244,None,921.1375989001244,None,,,,,,,,,,,,,,,,,,,2,M,2,1,r,MS,2021_Apr_29_0851,2020.2.5,bodymap2,60.00628865105037,"['Chest', 'Abdomen', 'Left Leg', 'Right Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,31,31,31,,,,,,,,,,,,,,,,,,,947.1380170001648,947.1380170001648,960.1383715001866,None,960.1383715001866,None,,,,,,,,,,,,,,,,,,,2,M,2,1,r,MS,2021_Apr_29_0851,2020.2.5,bodymap2,60.00628865105037,"['Chest', 'Abdomen', 'Left Leg', 'Right Leg']",
