square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,,,,,982.3116215000045,None,983.328310900004,None,983.328310900004,984.3283068000019,984.3115361000091,985.3116403000022,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,983.328310900004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
6,"[0.2, 0]",1,0,1,1,1,,,,,,,985.3283654999977,None,985.3283654999977,986.3283297000016,986.3116832000087,987.3116509999963,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,985.3283654999977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
2,"[0, 0.2]",0,0,2,2,2,,,,,,,987.3283339000045,None,987.3283339000045,988.3283160999999,988.3116588999983,989.3116574000014,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,987.3283339000045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
9,"[0.2, -0.2]",0,0,3,3,3,,,,,,,989.328330999997,None,989.328330999997,990.3283544000005,990.3116787000035,991.3116833999957,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,989.328330999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
9,"[0.2, -0.2]",1,0,4,4,4,,,,,,,991.3283448000002,None,991.3283448000002,992.3283534000075,992.311700899998,993.3116936000006,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,991.3283448000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
6,"[0.2, 0]",0,0,5,5,5,,,,,,,993.3283155999961,None,993.3283155999961,994.3283727000089,994.3117035000032,995.3117081000091,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,993.3283155999961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
4,"[-0.2, 0]",0,0,6,6,6,,,,,,,995.3283835000038,None,995.3283835000038,996.3283768999972,996.311721799997,997.3117252000084,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,995.3283835000038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
3,"[0.2, 0.2]",0,0,7,7,7,,,,,,,997.3283902999974,None,997.3283902999974,998.3284150999971,998.3117225000024,999.311735700001,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,997.3283902999974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
3,"[0.2, 0.2]",1,0,8,8,8,,,,,,,999.3284000999993,None,999.3284000999993,1000.3284585000074,1000.3117534000048,1001.3117501000088,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,999.3284000999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
8,"[0, -0.2]",0,0,9,9,9,,,,,,,1001.3284071999951,None,1001.3284071999951,1002.3284413000074,1002.3117539000086,1003.3117662000004,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,1001.3284071999951,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
1,"[-0.2, 0.2]",0,0,10,10,10,,,,,,,1003.3284473000094,None,1003.3284473000094,1004.328456800009,1004.311776100003,1005.3117901000078,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,1003.3284473000094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
2,"[0, 0.2]",0,0,11,11,11,,,,,,,1005.3283607000049,None,1005.3283607000049,1006.3284648999979,1006.3117771999969,1007.3117901000078,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,1005.3283607000049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
4,"[-0.2, 0]",0,0,12,12,12,,,,,,,1007.3284641000064,None,1007.3284641000064,1008.3284798000095,1008.3118000999966,1009.3118203000049,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,1007.3284641000064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
4,"[-0.2, 0]",1,0,13,13,13,,,,,,,1009.3284658000048,None,1009.3284658000048,1010.3284969000088,1010.3118226000079,1011.3118237000017,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,1009.3284658000048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
8,"[0, -0.2]",0,0,14,14,14,,,,,,,1011.3285002000048,None,1011.3285002000048,1012.3284963000042,1012.3118317000044,1013.3118409000017,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,1011.3285002000048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
5,"[0, 0]",0,0,15,15,15,,,,,,,1013.3285081000067,None,1013.3285081000067,1014.3285200999962,1014.311809699997,1015.3118648000091,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,1013.3285081000067,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
5,"[0, 0]",1,0,16,16,16,,,,,,,1015.3285159000079,None,1015.3285159000079,1016.328529499995,1016.3118626000069,1017.3118661000044,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,1015.3285159000079,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
1,"[-0.2, 0.2]",0,0,17,17,17,,,,,,,1017.3285404000053,None,1017.3285404000053,1018.3284489000071,1018.3118852000043,1019.3118813000037,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,1017.3285404000053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
3,"[0.2, 0.2]",0,0,18,18,18,,,,,,,1019.3285591000022,None,1019.3285591000022,1020.328582400005,1020.311886800002,1021.3118648000091,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,1019.3285591000022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
6,"[0.2, 0]",0,0,19,19,19,,,,,,,1021.3285614000051,None,1021.3285614000051,1022.328576800006,1022.3119115000009,1023.3119085000071,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,1021.3285614000051,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
1,"[-0.2, 0.2]",0,0,20,20,20,,,,,,,1023.3285829000088,None,1023.3285829000088,1024.3285718999978,1024.3119154000015,1025.3119271000032,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,1023.3285829000088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
1,"[-0.2, 0.2]",1,0,21,21,21,,,,,,,1025.3285923000076,None,1025.3285923000076,1026.328598299995,1026.3119370000059,1027.3119404000026,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,1025.3285923000076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
1,"[-0.2, 0.2]",1,0,22,22,22,,,,,,,1027.3286175999965,None,1027.3286175999965,1028.328622800007,1028.311946300004,1029.3119555000012,1,0.03425925925925926,0.08425925925925926,"[0, 0, 0]",0,0,1027.3286175999965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,f,2,14,r,ARB,2022_Feb_08_1225,2020.2.10,distractmap2,59.99689216002131,"['Right Face', 'Left Face', 'Chest', 'Left Arm']",
