square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,176.72805269999662,None,None,None,"[0, 0, 0]",177.76140329998452,None,177.76140329998452,178.76140950003173,178.74472389998846,None,"[0, 0, 0]",1,177.76140329998452,None,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",179.74475050001638,181.74480310000945,179.74475050001638,180.74475240003085,180.72797350003384,181.72808710002573,"[0, 0, 0]",0,179.74475050001638,181.74480310000945,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",1.0,0,2,2,2,,,None,None,"[0, 0, 0]",181.7614220000105,183.76146240002709,181.7614220000105,182.76142629998503,182.7448013999965,183.74476540001342,"[0, 0, 0]",0,181.7614220000105,183.76146240002709,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
2,"[0, 0.2]",0.0,0,3,3,3,,,None,None,"[0, 0, 0]",183.7781202000333,185.7781339000212,183.7781202000333,184.77813170000445,184.76147050003055,185.76152410003124,"[0, 0, 0]",0,183.7781202000333,185.7781339000212,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",0.0,0,4,4,4,,,None,None,"[0, 0, 0]",185.7948017999879,187.7948405999923,185.7948017999879,186.79482870001812,186.77814439998474,187.77814680000301,"[0, 0, 0]",0,185.7948017999879,187.7948405999923,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
4,"[-0.2, 0]",0.0,0,5,5,5,,,None,None,"[0, 0, 0]",187.81147960003,189.81149039999582,187.81147960003,188.81148909998592,188.79482830001507,189.79485519998707,"[0, 0, 0]",0,187.81147960003,189.81149039999582,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
4,"[-0.2, 0]",0.0,0,6,6,6,,,None,None,"[0, 0, 0]",189.82817240001168,191.8281892000232,189.82817240001168,190.82816680002725,190.81152009998914,191.8115046999883,"[0, 0, 0]",0,189.82817240001168,191.8281892000232,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",0.0,0,7,7,7,,,None,None,"[0, 0, 0]",191.8447429999942,193.84486419998575,191.8447429999942,192.84487430000445,192.82819120003842,193.82819680002285,"[0, 0, 0]",0,191.8447429999942,193.84486419998575,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
4,"[-0.2, 0]",1.0,0,8,8,8,,,None,None,"[0, 0, 0]",193.86152820003917,195.86152620002395,193.86152820003917,194.8615408000187,194.84487020003144,195.8448945999844,"[0, 0, 0]",0,193.86152820003917,195.86152620002395,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
3,"[0.2, 0.2]",0.0,0,9,9,9,,,None,None,"[0, 0, 0]",195.8782279000152,197.87822800001595,195.8782279000152,196.87821320001967,196.8615446999902,197.8615821999847,"[0, 0, 0]",0,195.8782279000152,197.87822800001595,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",0.0,0,10,10,10,,,None,None,"[0, 0, 0]",197.89490190002834,199.89491239999188,197.89490190002834,198.89493240002776,198.87824400002137,199.87828910001554,"[0, 0, 0]",0,197.89490190002834,199.89491239999188,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
3,"[0.2, 0.2]",1.0,0,11,11,11,,,None,None,"[0, 0, 0]",199.91156179999234,201.91157669998938,199.91156179999234,200.91158920002636,200.8949117999873,201.8949082000181,"[0, 0, 0]",0,199.91156179999234,201.91157669998938,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
1,"[-0.2, 0.2]",0.0,0,12,12,12,,,None,None,"[0, 0, 0]",201.9282844000263,203.9283002000302,201.9282844000263,202.92828190000728,202.91161409998313,203.91162930004066,"[0, 0, 0]",0,201.9282844000263,203.9283002000302,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
9,"[0.2, -0.2]",0.0,0,13,13,13,,,None,None,"[0, 0, 0]",203.94495979999192,205.94496739999158,203.94495979999192,204.94497320003575,204.92829370003892,205.9283072000253,"[0, 0, 0]",0,203.94495979999192,205.94496739999158,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
9,"[0.2, -0.2]",0.0,0,14,14,14,,,None,None,"[0, 0, 0]",205.96164789999602,207.96163570001954,205.96164789999602,206.961652100028,206.94498760002898,207.94498610001756,"[0, 0, 0]",0,205.96164789999602,207.96163570001954,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
8,"[0, -0.2]",0.0,0,15,15,15,,,None,None,"[0, 0, 0]",207.97834440000588,209.97833930002525,207.97834440000588,208.9783441000036,208.96165300003486,209.96165140002267,"[0, 0, 0]",0,207.97834440000588,209.97833930002525,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",0.0,0,16,16,16,,,None,None,"[0, 0, 0]",209.99501740001142,211.9950048000319,209.99501740001142,210.99502740002936,210.97835440002382,211.97836930002086,"[0, 0, 0]",0,209.99501740001142,211.9950048000319,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
3,"[0.2, 0.2]",0.0,0,17,17,17,,,None,None,"[0, 0, 0]",212.01169010001468,214.0117040000041,212.01169010001468,213.01166120002745,212.99505490000593,213.9950560000143,"[0, 0, 0]",0,212.01169010001468,214.0117040000041,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",1.0,0,18,18,18,,,None,None,"[0, 0, 0]",214.02839689998655,216.0284558000276,214.02839689998655,215.02839870000025,215.01167859998532,216.01175489998423,"[0, 0, 0]",0,214.02839689998655,216.0284558000276,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",0.0,0,19,19,19,,,None,None,"[0, 0, 0]",216.04509770002915,218.04508750000969,216.04509770002915,217.04506899998523,217.0284162000171,218.02841680002166,"[0, 0, 0]",0,216.04509770002915,218.04508750000969,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",0.0,0,20,20,20,,,None,None,"[0, 0, 0]",218.061731600028,220.0617549000308,218.061731600028,219.06176320003578,219.04510630003642,220.04507210000884,"[0, 0, 0]",0,218.061731600028,220.0617549000308,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",1.0,0,21,21,21,,,None,None,"[0, 0, 0]",220.07835910003632,222.07844860001933,220.07835910003632,221.07846220000647,221.06179890001658,222.06177159998333,"[0, 0, 0]",0,220.07835910003632,222.07844860001933,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
1,"[-0.2, 0.2]",0.0,0,22,22,22,,,None,None,"[0, 0, 0]",222.0951210000203,224.09512600000016,222.0951210000203,223.09512320003705,223.07846769999014,224.07847780000884,"[0, 0, 0]",0,222.0951210000203,224.09512600000016,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",0.0,0,23,23,23,,,None,None,"[0, 0, 0]",224.11176709999563,226.111818400037,224.11176709999563,225.11182380001992,225.09515030001057,226.0951403999934,"[0, 0, 0]",0,224.11176709999563,226.111818400037,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
9,"[0.2, -0.2]",0.0,0,24,24,24,,,None,None,"[0, 0, 0]",226.1284977000323,228.1284113000147,226.1284977000323,227.12851030001184,227.1118518000003,228.1118496999843,"[0, 0, 0]",0,226.1284977000323,228.1284113000147,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
3,"[0.2, 0.2]",0.0,0,25,25,25,,,None,None,"[0, 0, 0]",228.14519290003227,230.1451892000041,228.14519290003227,229.14518390002195,229.1285302999895,230.12854450003942,"[0, 0, 0]",0,228.14519290003227,230.1451892000041,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
9,"[0.2, -0.2]",1.0,0,26,26,26,,,None,None,"[0, 0, 0]",230.16185730003053,232.16188410000177,230.16185730003053,231.16185520001454,231.14520800003083,232.14520070003346,"[0, 0, 0]",0,230.16185730003053,232.16188410000177,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",0.0,0,27,27,27,,,None,None,"[0, 0, 0]",232.17854440002702,234.17855409998447,232.17854440002702,233.17854440002702,233.1618829999934,234.16190100001404,"[0, 0, 0]",0,232.17854440002702,234.17855409998447,,,,,,9,F,1,12,R,MS MH,49,49,2022_Dec_11_1400,2020.2.10,distractmap1,60.00607260490249,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
