square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,fixation_rest.started,fixation_rest.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,314.42400060000364,None,None,None,"[0, 0, 0]",315.45734719990287,None,315.45734719990287,316.45734309998807,316.4406641999958,None,"[0, 0, 0]",1,315.45734719990287,None,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",317.4406805000035,319.4406808000058,317.4406805000035,318.44068479991984,318.4240047999192,319.4240857999539,"[0, 0, 0]",1,317.4406805000035,319.4406808000058,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
6,"[0.2, 0]",1.0,0,2,2,2,,,None,None,"[0, 0, 0]",319.4572063999949,321.45737989991903,319.4572063999949,320.45735609997064,320.4406690999167,321.44069869990926,"[0, 0, 0]",1,319.4572063999949,321.45737989991903,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
2,"[0, 0.2]",0.0,0,3,3,3,,,None,None,"[0, 0, 0]",321.47401409992017,323.47405889991205,321.47401409992017,322.4740532999858,322.4573924000142,323.4573807999259,"[0, 0, 0]",1,321.47401409992017,323.47405889991205,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
5,"[0, 0]",0.0,0,4,4,4,,,None,None,"[0, 0, 0]",323.4907021999825,325.49081300001126,323.4907021999825,324.4907341999933,324.4740807999624,325.47407369990833,"[0, 0, 0]",1,323.4907021999825,325.49081300001126,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
4,"[-0.2, 0]",0.0,0,5,5,5,,,None,None,"[0, 0, 0]",325.50744680000935,327.50743279990274,325.50744680000935,326.50743229989894,326.4907463999698,327.4907845999114,"[0, 0, 0]",1,325.50744680000935,327.50743279990274,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
4,"[-0.2, 0]",0.0,0,6,6,6,,,None,None,"[0, 0, 0]",327.52409449999686,329.5240793999983,327.52409449999686,328.5241102,328.5073174999561,329.5074592999881,"[0, 0, 0]",0,327.52409449999686,329.5240793999983,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
7,"[-0.2, -0.2]",0.0,0,7,7,7,,,None,None,"[0, 0, 0]",329.5407547999639,331.5407989999512,329.5407547999639,330.54079020000063,330.52413379994687,331.5241095999954,"[0, 0, 0]",1,329.5407547999639,331.5407989999512,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
4,"[-0.2, 0]",1.0,0,8,8,8,,,None,None,"[0, 0, 0]",331.5574736999115,333.55750150000677,331.5574736999115,332.55747080000583,332.5408055000007,333.5408095999155,"[0, 0, 0]",1,331.5574736999115,333.55750150000677,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
3,"[0.2, 0.2]",0.0,0,9,9,9,,,None,None,"[0, 0, 0]",333.57413660001475,335.5741630999837,333.57413660001475,334.5741555999266,334.5573908999795,335.55751289997716,"[0, 0, 0]",1,333.57413660001475,335.5741630999837,,,,,,,,,,,,,,,,,,,9,F,2,13,R,MS MH,49,49,2022_Dec_15_1245,2020.2.10,distractmap2,59.9743669558746,"['Left Face', 'Abdomen', 'Left Face', 'Abdomen']",
