square,location,corrAns,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,response_2.rt,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
,,,0,0,0,0,,,,,20.48899710000842,None,space,1.9768714999954682,20.48899710000842,None,,,,,,,,,,,,,,,,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
5,"[0, 0]",None,0,0,0,0,0,0,0,0,,,,,,,23.336377500003437,None,None,None,0,23.59181760001229,None,23.59181760001229,24.604369000007864,24.57140270000673,None,0,0,23.59181760001229,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
2,"[0, 0.2]",None,0,0,0,0,0,1,1,1,,,,,,,,,None,None,0,25.50539979999303,None,25.50539979999303,26.505329000006896,26.488726400013547,27.489538599998923,0,0,25.50539979999303,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
6,"[0.2, 0]",None,0,0,0,0,0,2,2,2,,,,,,,,,None,None,0,27.50591120001627,None,27.50591120001627,28.506150100001832,28.489797699992778,29.489934300014284,0,0,27.50591120001627,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
9,"[0.2, -0.2]",None,0,0,0,0,0,3,3,3,,,,,,,,,None,None,0,29.50724160001846,None,29.50724160001846,30.507416800013743,30.49061150001944,None,0,0,29.50724160001846,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
3,"[0.2, 0.2]",None,0,0,0,0,0,4,4,4,,,,,,,,,None,None,0,31.491120599996066,None,31.491120599996066,32.49144610000076,32.47486050002044,33.475287800014485,0,0,31.491120599996066,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
9,"[0.2, -0.2]",1,0,0,0,0,0,5,5,5,,,,,,,,,None,None,1,33.49196200000006,None,33.49196200000006,34.49231780000264,34.47568100001081,35.4762968000141,1,1,33.49196200000006,None,1.9350320000085048,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
7,"[-0.2, -0.2]",None,0,0,0,0,0,6,6,6,,,,,,,,,None,None,0,35.49343800000497,None,35.49343800000497,36.49374900001567,36.47731780001777,37.477272899996024,0,0,35.49343800000497,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
1,"[-0.2, 0.2]",None,0,0,0,0,0,7,7,7,,,,,,,,,None,None,0,37.49442060000729,None,37.49442060000729,38.51189260001411,38.494002499995986,None,0,0,37.49442060000729,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
5,"[0, 0]",None,0,0,0,0,0,8,8,8,,,,,,,,,None,None,0,39.494803500012495,None,39.494803500012495,40.49531399999978,40.478436600009445,41.47887160000391,0,0,39.494803500012495,None,,99,m,99,r,MS,2021_Jun_03_1154,WASABI Nback,2020.2.10,59.797203760904985,
