RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
1,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,31.83475409995299,None,,,,,,,,,,,,,,,,,,,,,,1,M,14,R,KB,2021_Jun_15_1359,WASABI Nback,2020.2.10,59.992105048699464,
0,1,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,328.7703665999579,None,space,48.97771269996883,328.7703665999579,None,,,,,,,,,,,,,,,,1,M,14,R,KB,2021_Jun_15_1359,WASABI Nback,2020.2.10,59.992105048699464,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,0,0,0,,,,,,,,,None,None,None,None,0,379.53743859997485,None,379.53743859997485,380.53743859997485,380.52076419995865,None,0,1,379.53743859997485,None,1,M,14,R,KB,2021_Jun_15_1359,WASABI Nback,2020.2.10,59.992105048699464,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,None,None,0,380.787460499967,None,380.787460499967,381.78745770000387,381.7707810999709,382.7707878999645,0,1,380.787460499967,None,1,M,14,R,KB,2021_Jun_15_1359,WASABI Nback,2020.2.10,59.992105048699464,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,None,None,0,382.7874746999587,None,382.7874746999587,383.787466699956,383.77078019996407,384.7708057999844,0,1,382.7874746999587,None,1,M,14,R,KB,2021_Jun_15_1359,WASABI Nback,2020.2.10,59.992105048699464,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,None,None,0,384.78748800000176,None,384.78748800000176,385.7874710999895,385.7708258999628,386.7708661999786,0,1,384.78748800000176,None,1,M,14,R,KB,2021_Jun_15_1359,WASABI Nback,2020.2.10,59.992105048699464,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,None,None,0,386.7875087999855,None,386.7875087999855,387.78751749999356,387.7708279999788,388.77083299995866,0,1,386.7875087999855,None,1,M,14,R,KB,2021_Jun_15_1359,WASABI Nback,2020.2.10,59.992105048699464,
0,1,9,"[0.2, -0.2]",1,0,1,1,1,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,None,None,0,388.78757990000304,None,388.78757990000304,389.78750279999804,389.7708519999869,390.7708520999877,0,1,388.78757990000304,None,1,M,14,R,KB,2021_Jun_15_1359,WASABI Nback,2020.2.10,59.992105048699464,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,None,None,0,390.7875357999583,None,390.7875357999583,391.7875264000031,391.770856899966,392.7708675999893,0,1,390.7875357999583,None,1,M,14,R,KB,2021_Jun_15_1359,WASABI Nback,2020.2.10,59.992105048699464,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,None,None,0,392.78752399998484,None,392.78752399998484,393.78742750000674,393.77087879995815,394.7708918999997,0,1,392.78752399998484,None,1,M,14,R,KB,2021_Jun_15_1359,WASABI Nback,2020.2.10,59.992105048699464,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,None,None,0,394.7875490000006,None,394.7875490000006,395.7875765999779,395.77089539996814,396.7708990999963,0,1,394.7875490000006,None,1,M,14,R,KB,2021_Jun_15_1359,WASABI Nback,2020.2.10,59.992105048699464,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,None,None,0,396.7875636999961,None,396.7875636999961,397.7875677999691,397.77091530000325,398.7709198999801,0,1,396.7875636999961,None,1,M,14,R,KB,2021_Jun_15_1359,WASABI Nback,2020.2.10,59.992105048699464,
0,1,5,"[0, 0]",1,0,1,1,1,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,None,None,0,398.7876050999621,None,398.7876050999621,399.78758109995397,399.7709227000014,400.7709296999965,0,0,398.7876050999621,None,1,M,14,R,KB,2021_Jun_15_1359,WASABI Nback,2020.2.10,59.992105048699464,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,None,None,0,400.7875995999784,None,400.7875995999784,401.7876205999637,401.7709399999585,402.7709420999745,0,1,400.7875995999784,None,1,M,14,R,KB,2021_Jun_15_1359,WASABI Nback,2020.2.10,59.992105048699464,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,None,None,0,402.78762799996184,None,402.78762799996184,403.7876345999539,403.7709603999974,404.7709583999822,0,1,402.78762799996184,None,1,M,14,R,KB,2021_Jun_15_1359,WASABI Nback,2020.2.10,59.992105048699464,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,None,None,0,404.7876266000094,None,404.7876266000094,405.7876280999626,405.7709652999765,406.7709909999976,0,1,404.7876266000094,None,1,M,14,R,KB,2021_Jun_15_1359,WASABI Nback,2020.2.10,59.992105048699464,
0,1,8,"[0, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,None,None,0,406.78765899996506,None,406.78765899996506,407.787671099999,407.77099140000064,408.77099319995614,0,1,406.78765899996506,None,1,M,14,R,KB,2021_Jun_15_1359,WASABI Nback,2020.2.10,59.992105048699464,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,None,None,0,408.78766009997344,None,408.78766009997344,409.78765519999433,409.77101099997526,410.771011099976,0,1,408.78766009997344,None,1,M,14,R,KB,2021_Jun_15_1359,WASABI Nback,2020.2.10,59.992105048699464,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,None,None,0,410.7876965999603,None,410.7876965999603,411.7876971999649,411.7710181999719,412.7710320999613,0,1,410.7876965999603,None,1,M,14,R,KB,2021_Jun_15_1359,WASABI Nback,2020.2.10,59.992105048699464,
