runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,fix_cross.started,fix_cross.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,EndingText.started,EndingText.stopped,ConfirmEnd.keys,ConfirmEnd.rt,ConfirmEnd.started,ConfirmEnd.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
,,,,,,,,,,137.09988809993956,None,space,13.067222699988633,137.09988809993956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,M,2,11,r,SK,2021_Aug_17_1145,2020.2.5,bodymapST2,60.00085200461607,"['Left Arm', 'Abdomen', 'Right Arm', 'Right Face']",
stimuli/orders/stimOrder16.xlsx,3,0,0,0,3,0,4,4,4,,,,,,,150.32860169990454,150.32860169990454,None,space,914.5584627001081,150.32860169990454,None,1064.9189493999584,space,83.06491479999386,1064.9189493999584,None,1217.1034552999772,1215.1201681999955,1215.1201681999955,1217.119991799933,1215.1201681999955,1217.119991799933,,,,,,,,,,,,,,,,,,,2,M,2,11,r,SK,2021_Aug_17_1145,2020.2.5,bodymapST2,60.00085200461607,"['Left Arm', 'Abdomen', 'Right Arm', 'Right Face']",
stimuli/orders/stimOrder16.xlsx,3,0,0,0,3,0,6,6,6,,,,,,,,,,,,,,,,,,,1243.086994900019,1241.1036549999844,1241.1036549999844,1243.1036600999068,1241.1036549999844,1243.1036600999068,,,,,,,,,,,,,,,,,,,2,M,2,11,r,SK,2021_Aug_17_1145,2020.2.5,bodymapST2,60.00085200461607,"['Left Arm', 'Abdomen', 'Right Arm', 'Right Face']",
stimuli/orders/stimOrder16.xlsx,3,0,0,0,3,0,8,8,8,,,,,,,,,,,,,,,,,,,1269.070516299922,1267.0871763000032,1267.0871763000032,1269.0872420999222,1267.0871763000032,1269.0872420999222,,,,,,,,,,,,,,,,,,,2,M,2,11,r,SK,2021_Aug_17_1145,2020.2.5,bodymapST2,60.00085200461607,"['Left Arm', 'Abdomen', 'Right Arm', 'Right Face']",
stimuli/orders/stimOrder16.xlsx,3,0,0,0,3,0,9,9,9,,,,,,,,,,,,,,,,,,,1282.0539726999123,1280.0706119999522,1280.0706119999522,1282.0706216999097,1280.0706119999522,1282.0706216999097,,,,,,,,,,,,,,,,,,,2,M,2,11,r,SK,2021_Aug_17_1145,2020.2.5,bodymapST2,60.00085200461607,"['Left Arm', 'Abdomen', 'Right Arm', 'Right Face']",
stimuli/orders/stimOrder16.xlsx,3,0,0,0,3,0,11,11,11,,,,,,,,,,,,,,,,,,,1308.037492299918,1306.0541450999444,1306.0541450999444,1308.0541571999202,1306.0541450999444,1308.0541571999202,,,,,,,,,,,,,,,,,,,2,M,2,11,r,SK,2021_Aug_17_1145,2020.2.5,bodymapST2,60.00085200461607,"['Left Arm', 'Abdomen', 'Right Arm', 'Right Face']",
stimuli/orders/stimOrder16.xlsx,3,0,0,0,3,0,14,14,14,,,,,,,,,,,,,,,,,,,1347.021134099923,1345.0377783000004,1345.0377783000004,1347.0377962999046,1345.0377783000004,1347.0377962999046,,,,,,,,,,,,,,,,,,,2,M,2,11,r,SK,2021_Aug_17_1145,2020.2.5,bodymapST2,60.00085200461607,"['Left Arm', 'Abdomen', 'Right Arm', 'Right Face']",
stimuli/orders/stimOrder16.xlsx,3,0,0,0,3,0,18,18,18,,,,,,,,,,,,,,,,,,,1399.004859699984,1397.0215168999275,1397.0215168999275,1399.0215257999953,1397.0215168999275,1399.0215257999953,,,,,,,,,,,,,,,,,,,2,M,2,11,r,SK,2021_Aug_17_1145,2020.2.5,bodymapST2,60.00085200461607,"['Left Arm', 'Abdomen', 'Right Arm', 'Right Face']",
stimuli/orders/stimOrder16.xlsx,3,0,0,0,3,0,21,21,21,,,,,,,,,,,,,,,,,,,1437.9884934999282,1436.005142699927,1436.005142699927,1438.0050392999547,1436.005142699927,1438.0050392999547,,,,,,,,,,,,,,,,,,,2,M,2,11,r,SK,2021_Aug_17_1145,2020.2.5,bodymapST2,60.00085200461607,"['Left Arm', 'Abdomen', 'Right Arm', 'Right Face']",
stimuli/orders/stimOrder16.xlsx,3,0,0,0,3,0,24,24,24,,,,,,,,,,,,,,,,,,,1476.972133699921,1474.9887594999745,1474.9887594999745,1476.9887896999717,1474.9887594999745,1476.9887896999717,,,,,,,,,,,,,,,,,,,2,M,2,11,r,SK,2021_Aug_17_1145,2020.2.5,bodymapST2,60.00085200461607,"['Left Arm', 'Abdomen', 'Right Arm', 'Right Face']",
