square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response.click,response_2.rt_left,response_2.rt_right,response.rt_left,response.rt_right,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,,,,,382.38348789990414,None,383.4168134999927,None,383.4168134999927,384.41681079997215,384.4001589999534,None,1,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,383.4168134999927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
6,"[0.2, 0]",1,0,1,1,1,,,,,,,385.40012989996467,None,385.40012989996467,386.4001500000013,386.3834827999817,387.38350110000465,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,385.40012989996467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
2,"[0, 0.2]",0,0,2,2,2,,,,,,,387.40015120001044,None,387.40015120001044,388.4001615999732,388.3835015000077,389.3835052999202,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,387.40015120001044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
9,"[0.2, -0.2]",0,0,3,3,3,,,,,,,389.4001703999238,None,389.4001703999238,390.4001905999612,390.3835138999857,391.3835246999515,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,389.4001703999238,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
9,"[0.2, -0.2]",1,0,4,4,4,,,,,,,391.40018369990867,None,391.40018369990867,392.40019079996273,392.38353110000025,393.38353679992724,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,391.40018369990867,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
6,"[0.2, 0]",0,0,5,5,5,,,,,,,393.4002226999728,None,393.4002226999728,394.40021250001155,394.38355639996007,395.3835778000066,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,393.4002226999728,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
4,"[-0.2, 0]",0,0,6,6,6,,,,,,,395.40023579995614,None,395.40023579995614,396.4002590000164,396.38357539998833,397.38360589998774,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,395.40023579995614,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
3,"[0.2, 0.2]",0,0,7,7,7,,,,,,,397.4002413999988,None,397.4002413999988,398.4002650999464,398.3835791000165,399.38359420001507,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,397.4002413999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
3,"[0.2, 0.2]",1,0,8,8,8,,,,,,,399.40027529990766,None,399.40027529990766,400.4002632999327,400.38359889993444,401.3836089000106,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,399.40027529990766,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
8,"[0, -0.2]",0,0,9,9,9,,,,,,,401.40029079990927,None,401.40029079990927,402.40031489997637,402.3836381000001,403.38364669994917,0,0.022222222222222223,0.08611111111111111,"[0, 0, 0]",0,0,401.40029079990927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,39,r,EIM,2022_Apr_12_1306,2020.2.10,distractmap1,59.992033067184366,"['Right Face', 'Left Arm', 'Chest', 'Right Leg']",
