square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,fixation_rest.started,fixation_rest.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,1109.508491900051,None,None,None,"[0, 0, 0]",1110.5418581000995,None,1110.5418581000995,1111.5418563999701,1111.5251979001332,None,"[0, 0, 0]",1,1110.5418581000995,None,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
7,"[-0.2, -0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",1112.5252102001105,1114.5252231000923,1112.5252102001105,1113.5251921999734,1113.5085563000757,1114.508552600164,"[0, 0, 0]",1,1112.5252102001105,1114.5252231000923,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
6,"[0.2, 0]",1,0,2,2,2,,,None,None,"[0, 0, 0]",1114.5418889001012,1116.5418948000297,1114.5418889001012,1115.5418893999886,1115.5251587000675,1116.5252205000725,"[0, 0, 0]",1,1114.5418889001012,1116.5418948000297,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
2,"[0, 0.2]",0,0,3,3,3,,,None,None,"[0, 0, 0]",1116.5585615001619,1118.5585813000798,1116.5585615001619,1117.5585667002015,1117.5419126001652,1118.5419161000755,"[0, 0, 0]",1,1116.5585615001619,1118.5585813000798,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
5,"[0, 0]",0,0,4,4,4,,,None,None,"[0, 0, 0]",1118.575258700177,1120.5752642001025,1118.575258700177,1119.5752626999747,1119.5585833999794,1120.5585442001466,"[0, 0, 0]",1,1118.575258700177,1120.5752642001025,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
4,"[-0.2, 0]",0,0,5,5,5,,,None,None,"[0, 0, 0]",1120.5919353000354,1122.5919652001467,1120.5919353000354,1121.5919286001008,1121.5752692001406,1122.5752677000128,"[0, 0, 0]",1,1120.5919353000354,1122.5919652001467,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
4,"[-0.2, 0]",0,0,6,6,6,,,None,None,"[0, 0, 0]",1122.6086146000307,1124.6085990001447,1122.6086146000307,1123.6086196000688,1123.5919584000949,1124.5914732001256,"[0, 0, 0]",1,1122.6086146000307,1124.6085990001447,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
7,"[-0.2, -0.2]",0,0,7,7,7,,,None,None,"[0, 0, 0]",1124.6252837001812,1126.625315300189,1124.6252837001812,1125.6253182000946,1125.60865249997,1126.6086463001557,"[0, 0, 0]",0,1124.6252837001812,1126.625315300189,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
4,"[-0.2, 0]",1,0,8,8,8,,,None,None,"[0, 0, 0]",1126.641975400038,1128.6420130000915,1126.641975400038,1127.6419973999728,1127.6253392000217,1128.6253629000857,"[0, 0, 0]",1,1126.641975400038,1128.6420130000915,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
3,"[0.2, 0.2]",0,0,9,9,9,,,None,None,"[0, 0, 0]",1128.6585654001683,1130.658693900099,1128.6585654001683,1129.6586824001279,1129.6420253000688,1130.642023500055,"[0, 0, 0]",1,1128.6585654001683,1130.658693900099,,,,,,,,,,,,,,,,,,,1,M,1,40,r,MH,49,49,2022_Jul_01_1351,2020.2.10,distractmap1,59.99376062932182,"['Left Leg', 'Left Face', 'Left Leg', 'Left Face']",
