	onset	duration	rt	response	correct	bodySite	temperature	condition	pretrial-jitter
0	2.7847275999374688	7.801437499932945				Left Leg	45.5	1back Instructions	
1	10.818770499899983	1.9987361798994243			1.0	Left Leg	45.5	1back	
2	12.823495900025591	2.0059968896675855	0.7799519000109285	0.0	1.0	Left Leg	45.5	1back	3.0
3	14.82484110002406	2.0033465900924057	0.8465944000054151	2.0	1.0	Left Leg	45.5	1back	
4	16.824852999998257	2.0033778899814934	1.1133477999828756	0.0	0.0	Left Leg	45.5	1back	
5	18.872200599871576	1.9586798602249473	0.9296536999754608	2.0	1.0	Left Leg	45.5	1back	
6	20.839572600089014	2.00733829010278	0.8966512000188231	2.0	1.0	Left Leg	45.5	1back	
7	22.840753399999812	2.0049958899617195	0.8965986000839621	2.0	1.0	Left Leg	45.5	1back	
8	24.840865399921313	2.004801189992577	0.829961400013417	2.0	1.0	Left Leg	45.5	1back	
9	26.84079480008222	2.0049629900604486	0.7160984999500215	2.0	1.0	Left Leg	45.5	1back	
10	28.840785699896514	2.005009189946577	0.7298783999867737	0.0	1.0	Left Leg	45.5	1back	
11	35.83712069992907	5.01315009011887		30.679012345679013		Left Leg	45.5	1back Rating	5.0
12	40.86285359994508	45.86842030007392				Left Leg	45.5	2back Instructions	
13	50.88783359993249	1.994597579818219			1.0	Left Leg	45.5	2back	
14	52.89063340006396	2.0057088900357485			1.0	Left Leg	45.5	2back	5.0
15	54.90635449998081	2.0076277900952846	0.0	2.0	1.0	Left Leg	45.5	2back	
16	56.92302910005674	2.007608789950609	0.0	2.0	1.0	Left Leg	45.5	2back	
17	58.96508520003408	1.9735662799794227	0.9669834000524133	0.0	1.0	Left Leg	45.5	2back	
18	60.95661949994974	2.0072016902267933	0.0	2.0	1.0	Left Leg	45.5	2back	
19	62.97303249989636	2.007750489981845	0.0	2.0	0.0	Left Leg	45.5	2back	
20	64.98986419988796	2.007431589998305	0.0	2.0	1.0	Left Leg	45.5	2back	
21	67.06238000001758	1.94576336001046	1.0540171000175178	0.0	1.0	Left Leg	45.5	2back	
22	69.02326270006597	2.0073885899037123	0.0	2.0	0.0	Left Leg	45.5	2back	
23	76.03814939991571	5.01169179007411		26.111111111111114		Left Leg	45.5	2back Rating	5.0
24	81.06287529994734	86.06876729987562				Left Leg	45.5	1back Instructions	
25	91.1022594999522	1.9997325798030943			1.0	Left Leg	45.5	1back	
26	93.10750750009902	2.0059530900325626	1.0299624998588115	2.0	1.0	Left Leg	45.5	1back	5.0
27	95.10876780003309	2.00345818977803	0.9131072999443859	2.0	1.0	Left Leg	45.5	1back	
28	97.10884130001068	2.0033537899143994	0.7964987999293953	2.0	1.0	Left Leg	45.5	1back	
29	99.14335800008848	1.9676407701335847	0.7632026998326182	0.0	1.0	Left Leg	45.5	1back	
30	101.12350159999914	2.0074101898353547	0.8133185999467969	2.0	1.0	Left Leg	45.5	1back	
31	103.12482109991834	2.00482869008556			0.0	Left Leg	45.5	1back	
32	105.12499259994365	2.004532089922577	1.4130597000475973	0.0	1.0	Left Leg	45.5	1back	
33	107.12498739990406	2.0045539899729192	0.979929800145328	2.0	1.0	Left Leg	45.5	1back	
34	109.12475640000775	2.0050209898035973			0.0	Left Leg	45.5	1back	
35	118.12120709987357	5.0129760899581015		26.358024691358022		Left Leg	45.5	1back Rating	7.0
36	123.1467696998734	128.15252680005506				Left Leg	45.5	2back Instructions	
37	131.18781140004285	1.9959206802304834			1.0	Left Leg	45.5	2back	
38	133.1912602998782	2.005766490008682			1.0	Left Leg	45.5	2back	3.0
39	135.20695209992118	2.007746390067041	1.2003597000148147	0.0	1.0	Left Leg	45.5	2back	
40	137.2236379000824	2.0077242897823453	0.0	2.0	1.0	Left Leg	45.5	2back	
41	139.26913499995135	1.966764880111441	0.0	2.0	1.0	Left Leg	45.5	2back	
42	141.2571177999489	2.0075107901357114	0.0	2.0	1.0	Left Leg	45.5	2back	
43	143.2737493000459	2.0076145899947733	0.0	2.0	0.0	Left Leg	45.5	2back	
44	145.2904419999104	2.007605090038851	0.0	2.0	0.0	Left Leg	45.5	2back	
45	147.30717479996383	2.007487890077755	0.0	2.0	0.0	Left Leg	45.5	2back	
46	149.3241638999898	2.006892389850691	0.0	2.0	1.0	Left Leg	45.5	2back	
47	154.3381880999077	5.0130682901944965		26.172839506172842		Left Leg	45.5	2back Rating	3.0
48	159.36412889999337	164.36942499992438				Left Leg	45.5	1back Instructions	
49	171.40253169997595	1.9838373900856823			1.0	Left Leg	45.5	1back	
50	173.40829819999635	2.005659489892423	0.7162236000876874	0.0	1.0	Left Leg	45.5	1back	7.0
51	175.4090084999334	2.0042711899150163	0.846659200033173	2.0	1.0	Left Leg	45.5	1back	
52	177.4089065999724	2.0044811898842454			0.0	Left Leg	45.5	1back	
53	179.47762860008515	1.9337224499322474	0.9465634999796748	2.0	1.0	Left Leg	45.5	1back	
54	181.42393839987926	2.00771519029513	0.9667454999871552	2.0	1.0	Left Leg	45.5	1back	
55	183.4258417999372	2.0040633897297084	0.813257799949497	2.0	1.0	Left Leg	45.5	1back	
56	185.42580149997957	2.0041974899359047	0.7632365000899881	2.0	1.0	Left Leg	45.5	1back	
57	187.4259190999437	2.0040063899941742	0.8298194000963122	2.0	0.0	Left Leg	45.5	1back	
58	189.42596170003526	2.0039288899861276	1.2465016001369804	2.0	0.0	Left Leg	45.5	1back	
59	198.42219100007787	5.012416590005159		24.320987654320987		Left Leg	45.5	1back Rating	7.0
60	203.448292999994	208.4531205999665				Left Leg	45.5	2back Instructions	
61	211.48837519995868	1.9960881802253425			1.0	Left Leg	45.5	2back	
62	213.49187809997238	2.005840089870617			1.0	Left Leg	45.5	2back	3.0
63	215.50786080001853	2.0072395897004753	0.8503203999716789	0.0	1.0	Left Leg	45.5	2back	
64	217.5243172000628	2.0075566901359707	0.0	2.0	1.0	Left Leg	45.5	2back	
65	219.584529499989	1.953937069978565	0.0	2.0	1.0	Left Leg	45.5	2back	
66	221.55784819996916	2.0073814899660647	0.0	2.0	1.0	Left Leg	45.5	2back	
67	223.57454219995998	2.007321790093556	0.8003032000269741	0.0	1.0	Left Leg	45.5	2back	
68	225.59119859989733	2.0073657899629325	0.0	2.0	1.0	Left Leg	45.5	2back	
69	227.6079281999264	2.007154389983043	0.0	2.0	1.0	Left Leg	45.5	2back	
70	229.62446189997718	2.0075592899229378	0.0	2.0	0.0	Left Leg	45.5	2back	
71	238.63928549992852	5.012294590007514		50.0		Left Leg	45.5	2back Rating	7.0
72	243.66394490003586	248.67018619994633				Left Leg	45.5	1back Instructions	
73	251.70310740009882	1.9839638900011778			1.0	Left Leg	45.5	1back	
74	253.70893560000695	2.0056842900812626			0.0	Left Leg	45.5	1back	3.0
75	255.7100436000619	2.00350378989242	1.1463750000111759	0.0	1.0	Left Leg	45.5	1back	
76	257.70998209994286	2.0036545898765326	0.9799125001300126	2.0	1.0	Left Leg	45.5	1back	
77	259.746167199919	1.9646495699416846	0.916969400132075	2.0	1.0	Left Leg	45.5	1back	
78	261.72471740003675	2.007566289976239	0.9297090000472963	2.0	1.0	Left Leg	45.5	1back	
79	263.7271237000823	2.0027853900101036	0.896546000149101	2.0	1.0	Left Leg	45.5	1back	
80	265.7269691999536	2.0031587900593877	0.8299289001151919	2.0	1.0	Left Leg	45.5	1back	
81	267.7271829000674	2.002753990003839	0.8131120998878032	2.0	1.0	Left Leg	45.5	1back	
82	269.7270221998915	2.003125590039417	0.7468491001054645	2.0	0.0	Left Leg	45.5	1back	
83	276.72331949998625	5.011285190004855		24.320987654320987		Left Leg	45.5	1back Rating	5.0
84	281.7480824999511	286.7536919999402				Left Leg	45.5	2back Instructions	
85	291.77285060007125	1.995103979948908			1.0	Left Leg	45.5	2back	
86	293.77589729987085	2.005719490116462			1.0	Left Leg	45.5	2back	5.0
87	295.79163049999624	2.0076700900681317			0.0	Left Leg	45.5	2back	
88	297.8084414000623	2.007416590116918	0.0	2.0	1.0	Left Leg	45.5	2back	
89	299.8661992000416	1.95855556987226	1.483645600033924	0.0	1.0	Left Leg	45.5	2back	
90	301.84171160007827	2.007590090157464	0.0	2.0	0.0	Left Leg	45.5	2back	
91	303.85839479998685	2.0075838898774236	0.0	2.0	1.0	Left Leg	45.5	2back	
92	305.8750459998846	2.0076624900102615			0.0	Left Leg	45.5	2back	
93	307.8918687000405	2.0074050901457667	0.0	2.0	1.0	Left Leg	45.5	2back	
