	onset	duration	rt	response	correct	bodySite	temperature	condition	pretrial-jitter
0	7.761005900101736	20.01375838019885				Right Arm	32.0	Rest-NoStim	5.0
1	27.76116260001436	5.01371307997033				Right Arm		PostTrialFixation	
2	37.76102610002272	20.014270880026743				Right Arm	32.0	Rest-NoStim	5.0
3	57.7621736000292	3.012191580142826				Right Arm		PostTrialFixation	
4	67.7621691999957	20.012564580189064				Right Arm	32.0	Rest-NoStim	7.0
5	87.76221309998073	3.0126594800967723				Right Arm		PostTrialFixation	
6	90.7689921001438	95.77856070012785				Right Arm	32.0	2back Instructions	
7	102.80268889991567	1.9819725800771266			1.0	Right Arm	49.0	2back-stim	
8	104.79718640004285	2.009585779858753			1.0	Right Arm	49.0	2back-stim	7.0
9	106.81327580008656	2.0109016799833626	0.0	2.0	1.0	Right Arm	49.0	2back-stim	
10	108.83001099992543	2.010770980035886	0.0	2.0	1.0	Right Arm	49.0	2back-stim	
11	110.8907725000754	1.9558749401476234	0.6165171000175178	0.0	1.0	Right Arm	49.0	2back-stim	
12	112.86359510011971	2.0103677802253515	0.8168723999988288	0.0	1.0	Right Arm	49.0	2back-stim	
13	114.87996380007826	2.0109562801662832	0.0	2.0	1.0	Right Arm	49.0	2back-stim	
14	116.89673359994777	2.0108206800650805	0.0	2.0	1.0	Right Arm	49.0	2back-stim	
15	118.91349770012312	2.0106636800337583	0.0	2.0	1.0	Right Arm	49.0	2back-stim	
16	120.93023480009288	2.010509179905057	0.5004092999733984	0.0	1.0	Right Arm	49.0	2back-stim	
17	127.94739530002698	5.010013379855081		43.2716049382716		Right Arm	49.0	2back-stim Rating	5.0
18	132.95407700003125	137.96102960011922				Right Arm	32.0	2back Instructions	
19	142.98582480009645	1.9830717800650746			1.0	Right Arm	49.0	2back-stim	
20	144.98096040007658	2.0095460799057037			1.0	Right Arm	49.0	2back-stim	5.0
21	146.99741880013607	2.0099962800741196	0.0	2.0	1.0	Right Arm	49.0	2back-stim	
22	149.0137666000519	2.0106395797338337	0.0	2.0	1.0	Right Arm	49.0	2back-stim	
23	151.06043109996244	1.9673384597990662	0.5832122000865638	0.0	1.0	Right Arm	49.0	2back-stim	
24	153.04731129994616	2.0103118801489472	0.0	2.0	1.0	Right Arm	49.0	2back-stim	
25	155.06399139994755	2.0103323799557984	0.0	2.0	1.0	Right Arm	49.0	2back-stim	
26	157.08045480004512	2.0107765798456967	0.5335637000389397	0.0	1.0	Right Arm	49.0	2back-stim	
27	159.09714820003137	2.010743380058557	0.0	2.0	1.0	Right Arm	49.0	2back-stim	
28	161.11384210013784	2.0107143803033978	0.0	2.0	1.0	Right Arm	49.0	2back-stim	
29	170.1309686000459	5.0102434798609465		44.25925925925926		Right Arm	49.0	2back-stim Rating	7.0
30	175.13752559991553	180.14407579996623				Right Arm	32.0	2back Instructions	
31	183.1527015999891	2.0000978799071163			1.0	Right Arm	49.0	2back-stim	
32	185.16448129992932	2.009908779989928			1.0	Right Arm	49.0	2back-stim	3.0
33	187.18084669997916	2.0105378800071776	1.0168699000496417	0.0	1.0	Right Arm	49.0	2back-stim	
34	189.19768130010925	2.010247580241412	0.0	2.0	1.0	Right Arm	49.0	2back-stim	
35	191.2753381000366	1.9381370199844241	0.0	2.0	1.0	Right Arm	49.0	2back-stim	
36	193.2314132999163	2.009563480038196	0.0	2.0	1.0	Right Arm	49.0	2back-stim	
37	195.2476818000432	2.0103439800441265	0.0	2.0	1.0	Right Arm	49.0	2back-stim	
38	197.26418170006946	2.0106815800536424	0.0	2.0	1.0	Right Arm	49.0	2back-stim	
39	199.28083209996112	2.010779479984194	0.7168723000213504	0.0	1.0	Right Arm	49.0	2back-stim	
40	201.29750069999136	2.01080888020806	0.0	2.0	1.0	Right Arm	49.0	2back-stim	
