	onset	duration	rt	response	correct	bodySite	temperature	condition	pretrial-jitter
0	2.784317500074394	7.801883400068618				Right Leg	47.5	1back Instructions	
1	10.818238300038502	1.9839705800404772	1.411118899937719	2.0	0.0	Right Leg	47.5	1back	
2	12.823870900087059	2.0061053798999637	0.4629767999285832	0.0	1.0	Right Leg	47.5	1back	3.0
3	14.824853500002064	2.0041760799940675	0.7997313999803737	2.0	1.0	Right Leg	47.5	1back	
4	16.825070000020787	2.003785579930991	0.513166300021112	2.0	1.0	Right Leg	47.5	1back	
5	18.886616100091487	1.9473842000588775	0.412557499948889	2.0	1.0	Right Leg	47.5	1back	
6	20.839861100073904	2.007580479956232	0.38257739995606244	2.0	1.0	Right Leg	47.5	1back	
7	22.841949700028636	2.003458979888819	0.046127400011755526	2.0	1.0	Right Leg	47.5	1back	
8	24.841997500043362	2.003385980031453	0.3963085999712348	2.0	1.0	Right Leg	47.5	1back	
9	26.84178860008251	2.0038300800370052	0.01519980002194643	2.0	1.0	Right Leg	47.5	1back	
10	28.842076000059023	2.0032769800163805	0.212601299979724	2.0	0.0	Right Leg	47.5	1back	
11	35.83810530009214	5.0120166800916195		47.22222222222223		Right Leg	47.5	1back Rating	5.0
12	40.84325610008091	45.85230540006887				Right Leg	47.5	1back Instructions	
13	50.8848831000505	1.9846738800406456	1.094408500008285	2.0	0.0	Right Leg	47.5	1back	
14	52.89098280004691	2.005866879946552	0.6128470000112429	2.0	1.0	Right Leg	47.5	1back	5.0
15	54.89171730005182	2.00443017994985	0.46626569994259626	2.0	1.0	Right Leg	47.5	1back	
16	56.89152549998835	2.0048388799186796	0.49643669999204576	2.0	1.0	Right Leg	47.5	1back	
17	58.92762670002412	1.9660071397665888	0.6297014000592753	0.0	1.0	Right Leg	47.5	1back	
18	60.90674540004693	2.0078032800229266	0.515792699996382	2.0	1.0	Right Leg	47.5	1back	
19	62.90807160001714	2.005110180005431	0.49640479998197407	2.0	1.0	Right Leg	47.5	1back	
20	64.90809849998914	2.00509418011643	0.8965228999732062	0.0	1.0	Right Leg	47.5	1back	
21	66.90806450007949	2.00524517998565	1.013207899988629	2.0	1.0	Right Leg	47.5	1back	
22	68.90811690001283	2.005162979941815	0.6132383999647573	2.0	1.0	Right Leg	47.5	1back	
23	75.90572670008987	5.010738979908638		38.641975308641975		Right Leg	47.5	1back Rating	5.0
24	80.92977679998148	85.93592690001242				Right Leg	47.5	2back Instructions	
25	90.97081020008773	1.9967845600331202	0.0	2.0	0.0	Right Leg	47.5	2back	
26	92.97512299998198	2.0048865800490603	0.0	2.0	0.0	Right Leg	47.5	2back	5.0
27	94.9905402000295	2.007394879939966	0.0	2.0	1.0	Right Leg	47.5	2back	
28	97.00723340001423	2.007368979975581	0.0	2.0	1.0	Right Leg	47.5	2back	
29	99.0764094000915	1.952376120025292	0.6666760999942198	0.0	1.0	Right Leg	47.5	2back	
30	101.04044760006946	2.007685680058785	0.0	2.0	1.0	Right Leg	47.5	2back	
31	103.0570418999996	2.0078942800173536	0.6169391999719664	0.0	1.0	Right Leg	47.5	2back	
32	105.07380500005092	2.007715280051343	0.0	2.0	1.0	Right Leg	47.5	2back	
33	107.09048420004547	2.0077242801198736	0.5003065000055358	0.0	1.0	Right Leg	47.5	2back	
34	109.10715000005439	2.0077263800194487	0.6170634999871254	0.0	1.0	Right Leg	47.5	2back	
35	116.1215160000138	5.013112080050632		30.37037037037037		Right Leg	47.5	2back Rating	5.0
36	121.1276446999982	126.13623070006724				Right Leg	47.5	2back Instructions	
37	131.1709106999915	1.9972189599648118	0.0	2.0	0.0	Right Leg	47.5	2back	
38	133.17503000004217	2.0057250800309703	0.0	2.0	0.0	Right Leg	47.5	2back	5.0
39	135.19079650007188	2.0075276799034327	0.8836251000175253	0.0	1.0	Right Leg	47.5	2back	
40	137.20748199999798	2.0075291799148545	0.0	2.0	1.0	Right Leg	47.5	2back	
41	139.2951824000338	1.9321885000681505	0.0	2.0	1.0	Right Leg	47.5	2back	
42	141.24111130007077	2.0070175799774006	0.0	2.0	1.0	Right Leg	47.5	2back	
43	143.25736729998607	2.0078463800018653	0.8335045999847353	0.0	1.0	Right Leg	47.5	2back	
44	145.2742028000066	2.0075633799424395	0.6336478999583051	0.0	1.0	Right Leg	47.5	2back	
45	147.29077259998303	2.00775618001353	0.6002568999538198	0.0	1.0	Right Leg	47.5	2back	
46	149.30747110000812	2.007720179972239	0.0	2.0	1.0	Right Leg	47.5	2back	
47	154.32246030005626	5.011839580023661		26.97530864197531		Right Leg	47.5	2back Rating	3.0
48	159.34670009999536	164.35322520008776				Right Leg	47.5	1back Instructions	
49	171.3858995999908	1.9845813799183816	0.9610588999930769	2.0	0.0	Right Leg	47.5	1back	
50	173.39199310005642	2.0057544800220057	0.66582620004192	0.0	1.0	Right Leg	47.5	1back	7.0
51	175.39263590006158	2.0044790799729526	0.629766600090079	2.0	1.0	Right Leg	47.5	1back	
52	177.3925798999844	2.0046272800536826	0.7297720999922603	2.0	1.0	Right Leg	47.5	1back	
53	179.44163540005684	1.956558319972828	0.6459450999973342	2.0	1.0	Right Leg	47.5	1back	
54	181.4077796000056	2.007482480024919	0.6631780000170693	2.0	1.0	Right Leg	47.5	1back	
55	183.4097181999823	2.0036380799720064	0.5130773999262601	2.0	1.0	Right Leg	47.5	1back	
56	185.40961490001064	2.0040512799751014	0.4134858000325039	2.0	1.0	Right Leg	47.5	1back	
57	187.4095950999763	2.004153179936111	0.5965391000499949	0.0	1.0	Right Leg	47.5	1back	
58	189.40963560005184	2.004020080086775	0.6133075000252575	0.0	1.0	Right Leg	47.5	1back	
59	194.40581310004927	5.012399479863234		36.60493827160494		Right Leg	47.5	1back Rating	3.0
60	199.41095000004862	204.42018390004523				Right Leg	47.5	1back Instructions	
61	211.45251249999274	1.9853158800397068	1.0609906999161467	2.0	0.0	Right Leg	47.5	1back	
62	213.45883170003071	2.0060081799747422	1.2796138999983668	2.0	1.0	Right Leg	47.5	1back	7.0
63	215.45967410004232	2.00436937995255	0.7796371999429539	0.0	1.0	Right Leg	47.5	1back	
64	217.46018880000338	2.00336607999634	0.6297522999811918	2.0	1.0	Right Leg	47.5	1back	
65	219.48818360001314	1.9807166397804394	0.6959834999870509	2.0	1.0	Right Leg	47.5	1back	
66	221.47469599999022	2.0077726800227538	0.5793665999080986	2.0	1.0	Right Leg	47.5	1back	
67	223.47703900001943	2.003055779961869	0.7462565000168979	2.0	1.0	Right Leg	47.5	1back	
68	225.4760352000594	2.0050890799611807	0.5132668000878766	2.0	1.0	Right Leg	47.5	1back	
69	227.47736160003114	2.002545280032791	0.4131879999767989	2.0	1.0	Right Leg	47.5	1back	
70	229.47725890006404	2.00276667997241	0.663200999959372	0.0	1.0	Right Leg	47.5	1back	
71	234.47372460004408	5.010540979914367		44.01234567901235		Right Leg	47.5	1back Rating	3.0
72	239.47888720000628	244.4875413000118				Right Leg	47.5	1back Instructions	
73	251.5194032000145	1.9854661799035966	0.810626900056377	2.0	0.0	Right Leg	47.5	1back	
74	253.5257878000848	2.006099179852754	0.5318795000202954	0.0	1.0	Right Leg	47.5	1back	7.0
75	255.52681860001758	2.004053679876961	0.47948939993511885	0.0	1.0	Right Leg	47.5	1back	
76	257.52702640008647	2.003691879916005	0.979791900026612	2.0	1.0	Right Leg	47.5	1back	
77	259.58961830008775	1.9451735998736694	0.562646699952893	2.0	1.0	Right Leg	47.5	1back	
78	261.54179300006945	2.007565680076368	0.432459200033918	2.0	1.0	Right Leg	47.5	1back	
79	263.5434570000507	2.0042593800462782	0.46311180002521724	2.0	1.0	Right Leg	47.5	1back	
80	265.5437168000499	2.003775079967454	0.6127310000592843	2.0	1.0	Right Leg	47.5	1back	
81	267.54380169999786	2.003571379929781	0.7128845000406727	2.0	1.0	Right Leg	47.5	1back	
82	269.5436015999876	2.003975780098699	0.5964569000061601	0.0	1.0	Right Leg	47.5	1back	
83	276.53977150004357	5.012420280021615		44.44444444444444		Right Leg	47.5	1back Rating	5.0
84	281.5641890000552	286.5708662000252				Right Leg	47.5	2back Instructions	
85	291.60561299999245	1.996986259939149	0.0	2.0	0.0	Right Leg	47.5	2back	
86	293.60944010003004	2.0060840799706057	0.0	2.0	0.0	Right Leg	47.5	2back	5.0
87	295.6253410000354	2.0076594799757004	0.4502603999571875	0.0	1.0	Right Leg	47.5	2back	
88	297.6419319000561	2.007800280000083	0.0	2.0	1.0	Right Leg	47.5	2back	
89	299.69602570007555	1.9663197400514036	0.0	2.0	1.0	Right Leg	47.5	2back	
90	301.67542510002386	2.007580079953186	0.0	2.0	1.0	Right Leg	47.5	2back	
91	303.69197020004503	2.007835379918106	0.6336223999969661	0.0	1.0	Right Leg	47.5	2back	
92	305.70865719998255	2.0078308801166713	0.0	2.0	1.0	Right Leg	47.5	2back	
93	307.7258388000773	2.0068576799239963	0.0	2.0	1.0	Right Leg	47.5	2back	
94	309.7422238000436	2.0074336800025776	0.6002879999577999	0.0	1.0	Right Leg	47.5	2back	
95	316.7572852000594	5.011391679989174		45.06172839506173		Right Leg	47.5	2back Rating	5.0
96	321.76248470006976	326.77147829998285				Right Leg	47.5	2back Instructions	
97	331.80570260004606	1.997483660117723	0.0	2.0	0.0	Right Leg	47.5	2back	
98	333.80982770002447	2.005944179953076	0.0	2.0	0.0	Right Leg	47.5	2back	5.0
99	335.8257576000178	2.007435080013238	0.0	2.0	1.0	Right Leg	47.5	2back	
100	337.8423521000659	2.0076299799839035	0.0	2.0	1.0	Right Leg	47.5	2back	
101	339.89967930002604	1.9596559398341924	0.7169783000135794	0.0	1.0	Right Leg	47.5	2back	
102	341.87575280002784	2.0075313799316064	0.6004189000232145	0.0	1.0	Right Leg	47.5	2back	
103	343.8927748000715	2.0068757799454033	0.0	2.0	1.0	Right Leg	47.5	2back	
104	345.9089715000009	2.0078332799021155	0.0	2.0	1.0	Right Leg	47.5	2back	
105	347.92590839997865	2.0073296800255775	0.0	2.0	1.0	Right Leg	47.5	2back	
106	349.9424512999831	2.007636080030352	0.6336104000220075	0.0	1.0	Right Leg	47.5	2back	
107	354.9568768000463	5.012842480093241		45.123456790123456		Right Leg	47.5	2back Rating	3.0
108	359.98250300006475	364.9881583000533				Right Leg	47.5	1back Instructions	
109	372.02049620007165	1.9851541799725965	0.7943835000041872	2.0	0.0	Right Leg	47.5	1back	
110	374.0270164000103	2.005515480064787	0.7464155999477953	2.0	1.0	Right Leg	47.5	1back	7.0
111	376.0283573999768	2.002892079995945	0.9465130000608042	2.0	1.0	Right Leg	47.5	1back	
112	378.02796690003015	2.003703680122271	0.963152899988927	2.0	1.0	Right Leg	47.5	1back	
113	380.0685233999975	1.9558991399826482	0.8296147000510246	2.0	0.0	Right Leg	47.5	1back	
114	382.04280280007515	2.0073627800447866	1.1630877000279725	2.0	1.0	Right Leg	47.5	1back	
115	384.04473369999323	2.0035103800473735	0.9460728999692947	2.0	1.0	Right Leg	47.5	1back	
116	386.0444619000191	2.004130079993047	0.42976790003012866	0.0	1.0	Right Leg	47.5	1back	
117	388.0449723000638	2.003169280011207	0.6631164000136778	2.0	1.0	Right Leg	47.5	1back	
118	390.0448601000244	2.0034304799046367	0.7126745000714436	2.0	1.0	Right Leg	47.5	1back	
119	399.04086340009235	5.012209779932164		43.888888888888886		Right Leg	47.5	1back Rating	7.0
120	404.0462678000331	409.05548239999916				Right Leg	47.5	1back Instructions	
121	412.08800590003375	1.9841428800718859	1.4485281000379473	2.0	0.0	Right Leg	47.5	1back	
122	414.0941710000625	2.005204480024986	0.6964335000375286	0.0	1.0	Right Leg	47.5	1back	3.0
123	416.0949052000651	2.0037548799300566	0.6131914999568835	2.0	1.0	Right Leg	47.5	1back	
124	418.09504220006056	2.003482579952106	0.4797817000653595	2.0	1.0	Right Leg	47.5	1back	
125	420.17343940003775	1.9300293800188228	0.5792665000772104	0.0	1.0	Right Leg	47.5	1back	
126	422.10971670004074	2.0075344800716266	0.6298940000124276	2.0	1.0	Right Leg	47.5	1back	
127	424.1115770000033	2.003859280026518	0.5464082999387756	2.0	1.0	Right Leg	47.5	1back	
128	426.11128690000623	2.0044604800641537	0.513234999962151	2.0	1.0	Right Leg	47.5	1back	
129	428.11142420000397	2.004210179904476	0.48001850000582635	2.0	1.0	Right Leg	47.5	1back	
130	430.1114875000203	2.0041299799922854	0.3798939000116661	2.0	0.0	Right Leg	47.5	1back	
131	435.10845950001385	5.01084688003175		43.333333333333336		Right Leg	47.5	1back Rating	3.0
132	440.1327034999849	445.1387576999841				Right Leg	47.5	2back Instructions	
133	452.17338890000246	1.9973434599814937	0.0	2.0	0.0	Right Leg	47.5	2back	
134	454.177809100016	2.005312280030921	0.0	2.0	0.0	Right Leg	47.5	2back	7.0
135	456.19328530004714	2.007636580034159	0.0	2.0	1.0	Right Leg	47.5	2back	
136	458.20998400007375	2.0076068800408393	0.0	2.0	1.0	Right Leg	47.5	2back	
137	460.2626439000014	1.9689431398874149	0.5333311998983845	0.0	1.0	Right Leg	47.5	2back	
138	462.2434040000662	2.0074978799093515	0.0	2.0	1.0	Right Leg	47.5	2back	
139	464.26030130009167	2.006942779989913	0.0	2.0	1.0	Right Leg	47.5	2back	
140	466.2769547000062	2.0070866799214855	0.5336086000315845	0.0	1.0	Right Leg	47.5	2back	
141	468.29327700007707	2.0078394799493253	0.0	2.0	1.0	Right Leg	47.5	2back	
142	470.3099547000602	2.007816780009307	0.0	2.0	1.0	Right Leg	47.5	2back	
143	475.32489110005554	5.012003479991108		45.0		Right Leg	47.5	2back Rating	3.0
144	480.35057040001266	485.35574180004187				Right Leg	47.5	1back Instructions	
145	492.38829220004845	1.9848115800414234	0.8776042000390589	2.0	0.0	Right Leg	47.5	1back	
146	494.3944844000507	2.005862080026418	0.679822999984026	2.0	1.0	Right Leg	47.5	1back	7.0
147	496.396042700042	2.002758680144325	0.515737900044769	0.0	1.0	Right Leg	47.5	1back	
148	498.3959198000375	2.003014480113052	0.662614099914208	2.0	1.0	Right Leg	47.5	1back	
149	500.43344920000527	1.9612950399750844	0.695996499969624	2.0	1.0	Right Leg	47.5	1back	
150	502.4103937000036	2.007539079990238	0.8131882000016049	2.0	1.0	Right Leg	47.5	1back	
151	504.41281840007287	2.0025935800513253	0.49614089995156974	2.0	1.0	Right Leg	47.5	1back	
152	506.41301530005876	2.0022119799396023	0.9799471000442281	2.0	1.0	Right Leg	47.5	1back	
153	508.4128076999914	2.0027652800781652	0.7298196000047028	0.0	1.0	Right Leg	47.5	1back	
154	510.41256359999534	2.003276880015619	0.7466388000175357	2.0	1.0	Right Leg	47.5	1back	
155	519.4090443000896	5.0110744800185785		45.98765432098765		Right Leg	47.5	1back Rating	7.0
156	524.4335838999832	529.439426500001				Right Leg	47.5	2back Instructions	
157	532.473933900008	1.9808611598564312			1.0	Right Leg	47.5	2back	
158	534.4614871999947	2.005888279993087	0.0	2.0	0.0	Right Leg	47.5	2back	3.0
159	536.4773312000325	2.007466879906133	0.5365994999883696	0.0	1.0	Right Leg	47.5	2back	
160	538.4938769000582	2.0077584800310433	0.0	2.0	1.0	Right Leg	47.5	2back	
161	540.5751803000458	1.9451485000317916	0.0	2.0	1.0	Right Leg	47.5	2back	
162	542.5273473000852	2.0075282799080014	0.0	2.0	1.0	Right Leg	47.5	2back	
163	544.5440825000405	2.0075391801074147	0.0	2.0	1.0	Right Leg	47.5	2back	
164	546.5606475999812	2.0076307801064104	0.0	2.0	1.0	Right Leg	47.5	2back	
165	548.5775387000758	2.0072726799407974	0.7863693999825045	0.0	1.0	Right Leg	47.5	2back	
166	550.5944015000714	2.006872780038975	0.0	2.0	1.0	Right Leg	47.5	2back	
167	559.609685500036	5.010418380028568		44.629629629629626		Right Leg	47.5	2back Rating	7.0
168	564.6148884000722	569.6233902000822				Right Leg	47.5	2back Instructions	
169	572.6573909000726	1.997874060063623	0.0	2.0	0.0	Right Leg	47.5	2back	
170	574.6617337000789	2.005918679991737	0.0	2.0	0.0	Right Leg	47.5	2back	3.0
171	576.6778665999882	2.007044880068861	0.0	2.0	1.0	Right Leg	47.5	2back	
172	578.6943484999938	2.007463779998943	0.6001660000765696	0.0	1.0	Right Leg	47.5	2back	
173	580.7687937000301	1.9419009198900312	0.0	2.0	1.0	Right Leg	47.5	2back	
174	582.727683300036	2.0074919799808413	0.0	2.0	1.0	Right Leg	47.5	2back	
175	584.7443566999864	2.0075145800365135	0.0	2.0	1.0	Right Leg	47.5	2back	
176	586.7609133999795	2.0077725800219923	0.0	2.0	0.0	Right Leg	47.5	2back	
177	588.7777685000328	2.007415479980409	0.0	2.0	1.0	Right Leg	47.5	2back	
178	590.7943155000685	2.0077234799973667	0.4502862999215722	0.0	1.0	Right Leg	47.5	2back	
179	595.8098505000817	5.010656579979695		43.7037037037037		Right Leg	47.5	2back Rating	3.0
180	600.8146430000197	605.8237273000414				Right Leg	47.5	2back Instructions	
181	612.8576703000581	1.9812202600296587	0.0	2.0	0.0	Right Leg	47.5	2back	
182	614.84542040003	2.0058763799024746	0.0	2.0	0.0	Right Leg	47.5	2back	7.0
183	616.8613648000173	2.007369179977104	0.700273200054653	0.0	1.0	Right Leg	47.5	2back	
184	618.877830500016	2.0077750799246132	0.0	2.0	1.0	Right Leg	47.5	2back	
185	620.9406156000914	1.9655482199741527	0.6832526000216603	0.0	1.0	Right Leg	47.5	2back	
186	622.9113216000842	2.0074330798815936	0.0	2.0	1.0	Right Leg	47.5	2back	
187	624.9277971000411	2.007826380082406	0.0	2.0	1.0	Right Leg	47.5	2back	
188	626.9446887000231	2.0074857799336314	0.0	2.0	1.0	Right Leg	47.5	2back	
189	628.961277000024	2.0076999800512567	0.0	2.0	1.0	Right Leg	47.5	2back	
190	630.9779542000033	2.007716679945588	0.6702898999210447	0.0	1.0	Right Leg	47.5	2back	
191	637.9931190999923	5.011493280064315		42.283950617283956		Right Leg	47.5	2back Rating	5.0
