square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,77.16818549996242,None,None,None,"[0, 0, 0]",78.18486989999656,None,78.18486989999656,79.18485389999114,79.16818989999592,80.16819799994119,"[0, 0, 0]",1,78.18486989999656,None,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1409,2020.2.10,distractmap2,59.97976282754257,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",80.18488209997304,82.18489369994495,80.18488209997304,81.18487399991136,81.16814429999795,82.16820049996022,"[0, 0, 0]",1,80.18488209997304,82.18489369994495,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1409,2020.2.10,distractmap2,59.97976282754257,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
6,"[0.2, 0]",1,0,2,2,2,,,None,None,"[0, 0, 0]",82.2015363998944,84.20155949995387,82.2015363998944,83.20154839998577,83.18490799993742,84.18490719993133,"[0, 0, 0]",0,82.2015363998944,84.20155949995387,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1409,2020.2.10,distractmap2,59.97976282754257,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
2,"[0, 0.2]",0,0,3,3,3,,,None,None,"[0, 0, 0]",84.21823419991415,86.21823499992024,84.21823419991415,85.21824779990129,85.20156909991056,86.20156779990066,"[0, 0, 0]",1,84.21823419991415,86.21823499992024,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1409,2020.2.10,distractmap2,59.97976282754257,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",0,0,4,4,4,,,None,None,"[0, 0, 0]",86.23492939991411,88.23494130000472,86.23492939991411,87.23492949991487,87.21825279993936,88.21826359990519,"[0, 0, 0]",1,86.23492939991411,88.23494130000472,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1409,2020.2.10,distractmap2,59.97976282754257,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",0,0,5,5,5,,,None,None,"[0, 0, 0]",88.25159050000366,90.25160299998242,88.25159050000366,89.25158919999376,89.23494039999787,90.23495630000252,"[0, 0, 0]",1,88.25159050000366,90.25160299998242,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1409,2020.2.10,distractmap2,59.97976282754257,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",0,0,6,6,6,,,None,None,"[0, 0, 0]",90.26826959999744,92.26829389994964,90.26826959999744,91.26828279998153,91.25161659996957,92.25162999995518,"[0, 0, 0]",1,90.26826959999744,92.26829389994964,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1409,2020.2.10,distractmap2,59.97976282754257,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",0,0,7,7,7,,,None,None,"[0, 0, 0]",92.2849766999716,94.28499359998386,92.2849766999716,93.28497059992515,93.26829979999457,94.2683154999977,"[0, 0, 0]",1,92.2849766999716,94.28499359998386,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1409,2020.2.10,distractmap2,59.97976282754257,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",1,0,8,8,8,,,None,None,"[0, 0, 0]",94.30164479999803,96.30165289994329,94.30164479999803,95.30165539996233,95.28501279989723,96.28501639992464,"[0, 0, 0]",1,94.30164479999803,96.30165289994329,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1409,2020.2.10,distractmap2,59.97976282754257,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",0,0,9,9,9,,,None,None,"[0, 0, 0]",96.3183308999287,98.3183582999045,96.3183308999287,97.31833239994012,97.3016644999152,98.3016776998993,"[0, 0, 0]",1,96.3183308999287,98.3183582999045,,,,,,,,,,,,,5,m,2,30,r,MS,49,49,2022_Jul_21_1409,2020.2.10,distractmap2,59.97976282754257,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
