	onset	duration	rt	response	correct	bodySite	temperature	condition	pretrial-jitter
0	2.767504999996163	7.773433800088242				Left Face	49.0	2back Instructions	
1	10.782154500018805	1.9826315600657836			1.0	Left Face	32.0	2back-nostim	
2	12.77703440003097	2.0096138599328697			1.0	Left Face	32.0	2back-nostim	3.0
3	14.79317760001868	2.0106909601017833	0.41945410007610917	0.0	1.0	Left Face	32.0	2back-nostim	
4	16.810433500097133	2.0095616600010544	0.0	2.0	1.0	Left Face	32.0	2back-nostim	
5	18.826610299991444	2.0106003598775715	0.0	2.0	1.0	Left Face	32.0	2back-nostim	
6	20.843340100022033	2.010473159956746	0.0	2.0	1.0	Left Face	32.0	2back-nostim	
7	22.86008260003291	2.01039225992281	0.7336112998891622	0.0	1.0	Left Face	32.0	2back-nostim	
8	24.876836900017224	2.0102223600260913	0.5835636999690905	0.0	1.0	Left Face	32.0	2back-nostim	
9	26.89333940006327	2.0105792599497363	0.6168893999420106	0.0	1.0	Left Face	32.0	2back-nostim	
10	28.910068800090812	2.0105139600345865	0.0	2.0	1.0	Left Face	32.0	2back-nostim	
11	33.93435410002712	38.940399400074966				Left Face	49.0	2back Instructions	
12	45.94878510001581	2.000035159988329			1.0	Left Face	32.0	2back-nostim	
13	47.96077600005083	2.009419560083188			1.0	Left Face	32.0	2back-nostim	7.0
14	49.976984000066295	2.0103819600772113	0.4335757000371814	0.0	1.0	Left Face	32.0	2back-nostim	
15	51.99370540003292	2.0102320599835366	0.0	2.0	1.0	Left Face	32.0	2back-nostim	
16	54.010195399983786	2.0106622599996626	0.0	2.0	1.0	Left Face	32.0	2back-nostim	
17	56.02703910006676	2.0103607600321993	0.0	2.0	1.0	Left Face	32.0	2back-nostim	
18	58.043856400065124	2.010104759945534	0.3836961999768391	0.0	1.0	Left Face	32.0	2back-nostim	
19	60.060729800025	2.009711359976791	0.0	2.0	1.0	Left Face	32.0	2back-nostim	
20	62.07699129998218	2.0105434600263834	0.0	2.0	1.0	Left Face	32.0	2back-nostim	
21	64.09366480004974	2.0105915600433946	0.5669008999830112	0.0	1.0	Left Face	32.0	2back-nostim	
22	69.11781870003324	74.12403070006985				Left Face	49.0	2back Instructions	
23	81.13256639998872	1.983052960014902			1.0	Left Face	32.0	2back-nostim	
24	83.12768160004634	2.0095405600732192			1.0	Left Face	32.0	2back-nostim	7.0
25	85.14378990000114	2.0107231598813087	0.0	2.0	1.0	Left Face	32.0	2back-nostim	
26	87.16078520007432	2.010089759947732	0.0	2.0	1.0	Left Face	32.0	2back-nostim	
27	89.17726160003804	2.010492159985006	0.31691319996025413	0.0	1.0	Left Face	32.0	2back-nostim	
28	91.19386970007326	2.0106277599697933	0.4668647999642417	0.0	1.0	Left Face	32.0	2back-nostim	
29	93.210587700014	2.0105675600934774	0.0	2.0	1.0	Left Face	32.0	2back-nostim	
30	95.2272841000231	2.010552060091868	0.0	2.0	1.0	Left Face	32.0	2back-nostim	
31	97.24478419998195	2.008938859915361	0.0	2.0	1.0	Left Face	32.0	2back-nostim	
32	99.2608872000128	2.010122960084118	0.5361296000191942	0.0	1.0	Left Face	32.0	2back-nostim	
33	104.28573770006187	109.29091800004244				Left Face	32.0	2back Instructions	
34	116.29939490009565	2.0000554599100724			1.0	Left Face	49.0	2back-stim	
35	118.31123780005146	2.009212560020387			1.0	Left Face	49.0	2back-stim	7.0
36	120.32740619999822	2.0107458599377424	0.0	2.0	1.0	Left Face	49.0	2back-stim	
37	122.34453250002116	2.0099191600456834	0.0	2.0	1.0	Left Face	49.0	2back-stim	
38	124.41282680002041	1.9566561401588842	0.4337072999915108	0.0	1.0	Left Face	49.0	2back-stim	
39	126.37778790004086	2.0100744601804763	0.0	2.0	1.0	Left Face	49.0	2back-stim	
40	128.39426730002742	2.0105084599927068	0.0	2.0	1.0	Left Face	49.0	2back-stim	
41	130.41131080000196	2.009803959983401	0.418708199984394	0.0	1.0	Left Face	49.0	2back-stim	
42	132.42764000000898	2.0105049600824714	0.0	2.0	1.0	Left Face	49.0	2back-stim	
43	134.4446041000774	2.0099554599728435	0.5835598999401554	0.0	0.0	Left Face	49.0	2back-stim	
44	139.4618433000287	5.009228860028088		23.45679012345679		Left Face	49.0	2back-stim Rating	3.0
45	144.46816930000205	149.4750298000872				Left Face	32.0	2back Instructions	
46	156.49980890005827	1.9998904600506648			1.0	Left Face	49.0	2back-stim	
47	158.51160850003362	2.009681659983471			1.0	Left Face	49.0	2back-stim	7.0
48	160.5283870000858	2.0094988599885255	0.5502105999039486	0.0	1.0	Left Face	49.0	2back-stim	
49	162.5445475000888	2.010552759980783	0.0	2.0	1.0	Left Face	49.0	2back-stim	
