square,location,corrAns,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,fixation_rest.started,fixation_rest.stopped,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,bodysite1 temp,bodysite2 temp,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,120.00359129998833,None,None,None,"[0, 0, 0]",121.02028720011003,None,121.02028720011003,122.02029490005225,122.00362089998089,123.00361500005238,"[0, 0, 0]",1,121.02028720011003,None,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",None,0,1,1,1,,,None,None,"[0, 0, 0]",123.02030250011012,125.02032719994895,123.02030250011012,124.02029799995944,124.00364929996431,125.00364669994451,"[0, 0, 0]",1,123.02030250011012,125.02032719994895,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
6,"[0.2, 0]",1,0,2,2,2,,,None,None,"[0, 0, 0]",125.03700309991837,127.03701009997167,125.03700309991837,126.03700389992446,126.02035459992476,127.0203720999416,"[0, 0, 0]",1,125.03700309991837,127.03701009997167,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
2,"[0, 0.2]",0,0,3,3,3,,,None,None,"[0, 0, 0]",127.05365399993025,129.053670699941,127.05365399993025,128.05368139990605,128.03702819999307,129.03703489992768,"[0, 0, 0]",0,127.05365399993025,129.053670699941,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
5,"[0, 0]",0,0,4,4,4,,,None,None,"[0, 0, 0]",129.07032889989205,131.0703833999578,129.07032889989205,130.0703654999379,130.05363329988904,131.05368510005064,"[0, 0, 0]",0,129.07032889989205,131.0703833999578,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",0,0,5,5,5,,,None,None,"[0, 0, 0]",131.0870421999134,133.08705740002915,131.0870421999134,132.08704399992712,132.07037959992886,133.070398400072,"[0, 0, 0]",0,131.0870421999134,133.08705740002915,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",0,0,6,6,6,,,None,None,"[0, 0, 0]",133.10371849988587,135.10371940000914,133.10371849988587,134.1037620001007,134.08707030001096,135.08706649998203,"[0, 0, 0]",1,133.10371849988587,135.10371940000914,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
7,"[-0.2, -0.2]",0,0,7,7,7,,,None,None,"[0, 0, 0]",135.12038760003634,137.12040779995732,135.12038760003634,136.12039189995266,136.1040236998815,137.10374799999408,"[0, 0, 0]",1,135.12038760003634,137.12040779995732,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
4,"[-0.2, 0]",1,0,8,8,8,,,None,None,"[0, 0, 0]",137.13709140010178,139.13699760008603,137.13709140010178,138.13709690002725,138.12043159990571,139.1204669000581,"[0, 0, 0]",1,137.13709140010178,139.13699760008603,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
3,"[0.2, 0.2]",0,0,9,9,9,,,None,None,"[0, 0, 0]",139.15380860003643,141.1537872001063,139.15380860003643,140.15378640010022,140.13659549993463,141.13713550008833,"[0, 0, 0]",1,139.15380860003643,141.1537872001063,,,,,,,,,,,,,,,,,,,7,f,2,20,r,LH,49,49,2022_Aug_06_1033,2020.2.10,distractmap2,60.00740495618469,"['Right Face', 'Left Face', 'Right Face', 'Left Face']",
