	onset	duration	rt	response	correct	bodySite	temperature	condition	pretrial-jitter
0	7.765839500003494	19.9998938900535				Abdomen	32.0	Rest-NoStim	5.0
1	27.766017300018575	7.016439390019514				Abdomen		PostTrialFixation	
2	37.76756750000641	20.013657490024343				Abdomen	32.0	Rest-NoStim	3.0
3	57.76761030004127	7.013817990024108				Abdomen		PostTrialFixation	
4	67.76763780001784	20.014089989999775				Abdomen	32.0	Rest-NoStim	3.0
5	87.76867820002371	5.012258990027476				Abdomen		PostTrialFixation	
6	97.78334160003578	19.99996808997821				Abdomen	49.0	Rest-Stim	5.0
7	117.78354730003048	7.01644259004388				Abdomen		PostTrialFixation	
8	124.78616070002317	5.011427189980168		71.11111111111111		Abdomen	49.0	Rest-Stim Rating	7.0
9	132.80042139999568	19.999777189979795				Abdomen	49.0	Rest-Stim	3.0
10	152.8005487000337	5.016426390036941				Abdomen		PostTrialFixation	
11	157.80316810001386	5.011342589976266		86.41975308641975		Abdomen	49.0	Rest-Stim Rating	5.0
12	167.8173506000312	19.99992808996467				Abdomen	49.0	Rest-Stim	5.0
13	187.817557100032	5.016394889971707				Abdomen		PostTrialFixation	
14	192.82017970003653	5.011368990002666		65.98765432098766		Abdomen	49.0	Rest-Stim Rating	5.0
15	197.83122490003007	202.85137980000582				Abdomen	32.0	2back Instructions	
16	207.88143649999984	1.989108190056868			1.0	Abdomen	49.0	2back-stim	
17	209.89037229999667	2.00457719003316			1.0	Abdomen	49.0	2back-stim	5.0
18	211.90584289998515	2.0070183900534175	0.0	2.0	1.0	Abdomen	49.0	2back-stim	
19	213.9224116000114	2.0071606900310144	0.0	2.0	1.0	Abdomen	49.0	2back-stim	
20	215.98727179999696	1.960806360002607	0.5999779999838211	0.0	1.0	Abdomen	49.0	2back-stim	
21	217.95580530003645	2.007173989957664	0.9858900999533944	0.0	1.0	Abdomen	49.0	2back-stim	
22	219.97267560003093	2.0068536899634637	0.0	2.0	1.0	Abdomen	49.0	2back-stim	
23	221.98920469998848	2.007027790066786	0.0	2.0	1.0	Abdomen	49.0	2back-stim	
24	224.00586909998674	2.0071302900323644	0.0	2.0	1.0	Abdomen	49.0	2back-stim	
25	226.02227130002575	2.0077007900108583	0.9670034000300802	0.0	1.0	Abdomen	49.0	2back-stim	
26	235.0552885000361	5.008646289992612		18.51851851851852		Abdomen	49.0	2back-stim Rating	7.0
27	240.06500980001874	245.08512780000456				Abdomen	32.0	2back Instructions	
28	248.11423870001454	1.9908331900369376			1.0	Abdomen	49.0	2back-stim	
29	250.12372820003657	2.0052481899620034			1.0	Abdomen	49.0	2back-stim	3.0
30	252.13947970001027	2.007085490040481	0.0	2.0	1.0	Abdomen	49.0	2back-stim	
31	254.15596579998964	2.007608190062456	0.0	2.0	1.0	Abdomen	49.0	2back-stim	
32	256.2008167000022	1.9678486800403334	0.5691537000238895	0.0	1.0	Abdomen	49.0	2back-stim	
33	258.18966540001566	2.0068452900159173	1.033653599966783	0.0	0.0	Abdomen	49.0	2back-stim	
34	260.2061795000336	2.00721498997882	0.0	2.0	1.0	Abdomen	49.0	2back-stim	
35	262.22289650002494	2.0071377900312655	0.467012400040403	0.0	1.0	Abdomen	49.0	2back-stim	
36	264.2395236000302	2.007236890029162	0.0	2.0	1.0	Abdomen	49.0	2back-stim	
37	266.2561955000274	2.0072622899897397	0.4837262000073679	0.0	0.0	Abdomen	49.0	2back-stim	
38	271.28932189999614	5.007858489989303		30.617283950617285		Abdomen	49.0	2back-stim Rating	3.0
39	276.29855040000984	281.318788100034				Abdomen	32.0	2back Instructions	
40	288.34783750004135	1.991082290012855			1.0	Abdomen	49.0	2back-stim	
41	290.35761469998397	2.0049355900264345			1.0	Abdomen	49.0	2back-stim	7.0
42	292.373081800004	2.007377890055068	0.5670139999710955	0.0	1.0	Abdomen	49.0	2back-stim	
43	294.3900550000253	2.006789890001528	0.0	2.0	1.0	Abdomen	49.0	2back-stim	
44	296.46267909999005	1.9448843599529937	0.0	2.0	1.0	Abdomen	49.0	2back-stim	
45	298.4231171000283	2.0074835900450125	0.0	2.0	1.0	Abdomen	49.0	2back-stim	
46	300.43999859999167	2.0070041900034994	0.0	2.0	1.0	Abdomen	49.0	2back-stim	
47	302.456559800019	2.0072228900389746	0.0	2.0	1.0	Abdomen	49.0	2back-stim	
48	304.4732100000256	2.007300590048544	0.4503374000196345	0.0	1.0	Abdomen	49.0	2back-stim	
49	306.49000729998806	2.007076690031681	0.0	2.0	1.0	Abdomen	49.0	2back-stim	
50	313.5233938000165	5.007201390049886		28.827160493827158		Abdomen	49.0	2back-stim Rating	5.0
51	318.532591300027	323.5525309999939				Abdomen	49.0	2back Instructions	
52	328.5666748000076	1.9875107900588773			1.0	Abdomen	32.0	2back-nostim	
53	330.57440750004025	2.005490289942827			1.0	Abdomen	32.0	2back-nostim	5.0
54	332.5902217000257	2.0070993899716996	0.0	2.0	1.0	Abdomen	32.0	2back-nostim	
55	334.6069148000097	2.0071655900101177	0.5336501999991015	0.0	1.0	Abdomen	32.0	2back-nostim	
56	336.6235319999978	2.007241990067996	0.0	2.0	1.0	Abdomen	32.0	2back-nostim	
57	338.6403643999947	2.006977690034546	0.0	2.0	1.0	Abdomen	32.0	2back-nostim	
58	340.65699759998824	2.007076890033204	0.0	2.0	1.0	Abdomen	32.0	2back-nostim	
59	342.67361530003836	2.007229489972815	0.7530979000148363	0.0	1.0	Abdomen	32.0	2back-nostim	
60	344.6902919000131	2.0072602900327183	0.0	2.0	1.0	Abdomen	32.0	2back-nostim	
61	346.70692369999597	2.00738079007715	0.8336709000286646	0.0	1.0	Abdomen	32.0	2back-nostim	
62	351.75085760001093	356.76905970001826				Abdomen	49.0	2back Instructions	
63	363.78256940003484	1.9896987900137901			1.0	Abdomen	32.0	2back-nostim	
64	365.7915941000101	2.0050338900182396			1.0	Abdomen	32.0	2back-nostim	7.0
65	367.80717739998363	2.0072613899828866	0.5170326000079513	0.0	1.0	Abdomen	32.0	2back-nostim	
66	369.82393379998393	2.007097689958755	0.0	2.0	1.0	Abdomen	32.0	2back-nostim	
67	371.8406530999928	2.007048890052829	0.4503243000363	0.0	1.0	Abdomen	32.0	2back-nostim	
68	373.8573616000358	2.0071169899892993	0.0	2.0	1.0	Abdomen	32.0	2back-nostim	
69	375.8737589000375	2.007589789980557	0.0	2.0	1.0	Abdomen	32.0	2back-nostim	
