square,location,corrAns,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,response.rt_left,response.rt_right,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,
6,"[0.2, 0]",None,0,0,0,0,0,0,0,0,37.35331820001011,None,38.39099610000267,None,38.39099610000267,39.421895300009055,39.38853409999865,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,38.39099610000267,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
6,"[0.2, 0]",space,0,0,0,0,0,1,1,1,,,40.3559505000012,None,40.3559505000012,41.35679930000333,41.35679930000333,None,0,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,40.3559505000012,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
2,"[0, 0.2]",None,0,0,0,0,0,2,2,2,,,42.37436059999163,None,42.37436059999163,43.375207800010685,43.375207800010685,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,42.37436059999163,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
9,"[0.2, -0.2]",None,0,0,0,0,0,3,3,3,,,44.39270630001556,None,44.39270630001556,45.39362220000476,45.39362220000476,None,0,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,44.39270630001556,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
9,"[0.2, -0.2]",space,0,0,0,0,0,4,4,4,,,46.36101950000739,None,46.36101950000739,47.362082200008444,47.362082200008444,None,0,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,46.36101950000739,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
6,"[0.2, 0]",None,0,0,0,0,0,5,5,5,,,48.37939869999536,None,48.37939869999536,49.38035620001028,49.38035620001028,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,48.37939869999536,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
4,"[-0.2, 0]",None,0,0,0,0,0,6,6,6,,,50.39771250000922,None,50.39771250000922,51.398718999989796,51.398718999989796,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,50.39771250000922,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
3,"[0.2, 0.2]",None,0,0,0,0,0,7,7,7,,,52.36638230000972,None,52.36638230000972,53.36713130000862,53.36713130000862,None,1,0.1375,0.05138888888888889,"[1, 0, 0]",1,0,52.36638230000972,None,1.9384061000018846,1.8522431000019424,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
3,"[0.2, 0.2]",space,0,0,0,0,0,8,8,8,,,54.384692599996924,None,54.384692599996924,55.38556329999119,55.38556329999119,None,0,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,54.384692599996924,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
8,"[0, -0.2]",None,0,0,0,0,0,9,9,9,,,56.40299890001188,None,56.40299890001188,57.404015500011155,57.404015500011155,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,56.40299890001188,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
1,"[-0.2, 0.2]",None,0,0,0,0,0,10,10,10,,,58.37130870000692,None,58.37130870000692,59.37229060000391,59.37229060000391,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,58.37130870000692,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
2,"[0, 0.2]",None,0,0,0,0,0,11,11,11,,,60.38972969999304,None,60.38972969999304,61.390815899998415,61.390815899998415,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,60.38972969999304,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
4,"[-0.2, 0]",None,0,0,0,0,0,12,12,12,,,62.35831529999268,None,62.35831529999268,63.3589895000041,63.3589895000041,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,62.35831529999268,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
4,"[-0.2, 0]",space,0,0,0,0,0,13,13,13,,,64.37639009999111,None,64.37639009999111,65.3773707000073,65.3773707000073,None,0,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,64.37639009999111,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
8,"[0, -0.2]",None,0,0,0,0,0,14,14,14,,,66.39497319998918,None,66.39497319998918,67.39592899999116,67.39592899999116,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,66.39497319998918,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
5,"[0, 0]",None,0,0,0,0,0,15,15,15,,,68.36330200001248,None,68.36330200001248,69.36415499998839,69.36415499998839,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,68.36330200001248,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
5,"[0, 0]",space,0,0,0,0,0,16,16,16,,,70.38171509999665,None,70.38171509999665,71.38259560000733,71.38259560000733,None,0,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,70.38171509999665,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
1,"[-0.2, 0.2]",None,0,0,0,0,0,17,17,17,,,72.40025890001561,None,72.40025890001561,73.40095239999937,73.40095239999937,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,72.40025890001561,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
3,"[0.2, 0.2]",None,0,0,0,0,0,18,18,18,,,74.36850240000058,None,74.36850240000058,75.36930140000186,75.36930140000186,None,1,0.1375,0.05138888888888889,"[0, 0, 0]",0,0,74.36850240000058,None,,,,,,,,999,m,2,99,r,TEST,2021_Jul_29_1453,WASABI distractmap,2020.2.10,59.89680977135016,
