square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,,,,,19.974477699986892,None,21.006888599978993,None,21.006888599978993,22.008113399992,21.991437199991196,None,1,0.5458333333333333,0.059722222222222225,"[0, 0, 0]",0,0,21.006888599978993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
6,"[0.2, 0]",1,0,1,1,1,,,,,,,22.991443299979437,None,22.991443299979437,23.99149679997936,23.974814299988793,24.974709899979644,0,0.5458333333333333,0.059722222222222225,"[0, 0, 0]",0,0,22.991443299979437,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
2,"[0, 0.2]",0,0,2,2,2,,,,,,,24.99144179999712,None,24.99144179999712,25.991497899987735,25.974806799989892,26.974949800001923,0,0.5458333333333333,0.059722222222222225,"[0, 0, 0]",0,0,24.99144179999712,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
9,"[0.2, -0.2]",0,0,3,3,3,,,,,,,26.991647499991814,None,26.991647499991814,27.9914565999934,27.97484730000724,28.97482810000656,0,0.5458333333333333,0.059722222222222225,"[0, 0, 0]",0,0,26.991647499991814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
9,"[0.2, -0.2]",1,0,4,4,4,,,,,,,28.991475599992555,None,28.991475599992555,29.991524799988838,29.974834199994802,30.974841099989135,0,0.5458333333333333,0.059722222222222225,"[0, 0, 0]",0,0,28.991475599992555,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
6,"[0.2, 0]",0,0,5,5,5,,,,,,,30.991479299991624,None,30.991479299991624,31.991489599982742,31.97486309998203,32.97500979999313,0,0.5458333333333333,0.059722222222222225,"[0, 0, 0]",0,0,30.991479299991624,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
4,"[-0.2, 0]",0,0,6,6,6,,,,,,,32.99153729999671,None,32.99153729999671,33.991573599982075,33.97488609998254,34.974832000007154,0,0.5458333333333333,0.059722222222222225,"[0, 0, 0]",0,0,32.99153729999671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
3,"[0.2, 0.2]",0,0,7,7,7,,,,,,,34.99153969998588,None,34.99153969998588,35.991535699984524,35.97487649999675,36.974885699979495,0,0.5458333333333333,0.059722222222222225,"[0, 0, 0]",0,0,34.99153969998588,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
3,"[0.2, 0.2]",1,0,8,8,8,,,,,,,36.991594899998745,None,36.991594899998745,37.991537099995185,37.974883299990324,38.974892800004454,0,0.5458333333333333,0.059722222222222225,"[0, 0, 0]",0,0,36.991594899998745,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
8,"[0, -0.2]",0,0,9,9,9,,,,,,,38.991571199992904,None,38.991571199992904,39.99158489998081,39.97490169998491,40.97494819998974,0,0.5458333333333333,0.059722222222222225,"[0, 0, 0]",0,0,38.991571199992904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
1,"[-0.2, 0.2]",0,0,10,10,10,,,,,,,40.99160259999917,None,40.99160259999917,41.99161309999181,41.974929899995914,42.974981100007426,0,0.5458333333333333,0.059722222222222225,"[0, 0, 0]",0,0,40.99160259999917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
2,"[0, 0.2]",0,0,11,11,11,,,,,,,42.991591900005005,None,42.991591900005005,43.99164399999427,43.974966499983566,44.97497680000379,0,0.5458333333333333,0.059722222222222225,"[0, 0, 0]",0,0,42.991591900005005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
4,"[-0.2, 0]",0,0,12,12,12,,,,,,,44.991606800002046,None,44.991606800002046,45.991603700007545,45.97501249998459,46.97505999999703,0,0.5458333333333333,0.059722222222222225,"[0, 0, 0]",0,0,44.991606800002046,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
4,"[-0.2, 0]",1,0,13,13,13,,,,,,,46.99164550000569,None,46.99164550000569,47.99166329999571,47.97493249998661,48.97498239998822,0,0.5458333333333333,0.059722222222222225,"[0, 0, 0]",0,0,46.99164550000569,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
8,"[0, -0.2]",0,0,14,14,14,,,,,,,48.99164560000645,None,48.99164560000645,49.99168279999867,49.97502240000176,50.97499160000007,0,0.5458333333333333,0.059722222222222225,"[0, 0, 0]",0,0,48.99164560000645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
5,"[0, 0]",0,0,15,15,15,,,,,,,50.9916464999842,None,50.9916464999842,51.99164229998132,51.97499190000235,52.97501289998763,0,0.5458333333333333,0.059722222222222225,"[0, 0, 0]",0,0,50.9916464999842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_13_1443,distractmap,2020.2.10,59.942694783577224,"['Left Leg', 'Left Arm', 'Left Face', 'Right Leg', 'Right Face', 'Right Arm', 'Abdomen', 'Chest']",
