12.9120 	WARNING 	Requested an unavailable screen number - using first available.
14.4703 	EXP 	Created Begin = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Begin', opacity=1, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
14.6032 	EXP 	Created movie = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=-1.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie', noAudio=False, opacity=1, ori=method-wrapper(...), pos=array([0., 0.]), size=method-wrapper(...), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
25.0721 	EXP 	Created movie = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=-1.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie', noAudio=False, opacity=1, ori=method-wrapper(...), pos=array([0., 0.]), size=method-wrapper(...), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
27.5218 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.3, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
27.5220 	EXP 	window1: mouseVisible = False
27.5535 	DATA 	Keypress: 5
27.6075 	EXP 	movie: autoLog = True
27.6075 	EXP 	movie: movie = 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\kungfury.mp4'
27.6075 	EXP 	movie: size = array([1920., 1080.])
27.6075 	EXP 	movie: ori = 0
27.6075 	EXP 	movie: autoLog = True
27.6075 	EXP 	movie: movie = 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\01_Inscapes_NoScannerSound_h264.wmv'
27.6075 	EXP 	movie: size = array([1024.,  800.])
27.6075 	EXP 	movie: ori = 0
27.6075 	EXP 	Begin: autoDraw = True
53.6922 	EXP 	Created sequence: sequential, trialTypes=1, nReps=1, seed=None
53.6925 	EXP 	New trial (rep=0, index=0): OrderedDict([('runSeq', [OrderedDict([('moviefile', 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\kungfury.mp4')]), OrderedDict([('moviefile', 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\01_Inscapes_NoScannerSound_h264.wmv')])])])
53.6927 	EXP 	Created sequence: sequential, trialTypes=2, nReps=1, seed=None
53.6929 	EXP 	New trial (rep=0, index=0): OrderedDict([('moviefile', 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\kungfury.mp4')])
53.7132 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-0.5, -0.5, -0.5]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
53.7141 	DATA 	Keypress: space
53.7211 	EXP 	Begin: autoDraw = False
54.4328 	DATA 	Keypress: s
62.5018 	DATA 	Keypress: 5
65.0628 	DATA 	Keypress: 5
65.0631 	DATA 	Keypress: 5
65.0633 	DATA 	Keypress: 5
65.0635 	DATA 	Keypress: 5
65.0637 	DATA 	Keypress: 5
65.2616 	DATA 	Keypress: 5
65.2625 	EXP 	Sound  started
65.2878 	EXP 	movie: autoDraw = True
65.7318 	DATA 	Keypress: 5
66.1903 	DATA 	Keypress: 5
66.6496 	DATA 	Keypress: 5
67.1068 	DATA 	Keypress: 5
67.5660 	DATA 	Keypress: 5
68.0497 	DATA 	Keypress: 5
68.4826 	DATA 	Keypress: 5
68.9662 	DATA 	Keypress: 5
69.4163 	DATA 	Keypress: 5
69.8826 	DATA 	Keypress: 5
70.3328 	DATA 	Keypress: 5
70.7903 	DATA 	Keypress: 5
71.2486 	DATA 	Keypress: 5
71.7070 	DATA 	Keypress: 5
72.1658 	DATA 	Keypress: 5
72.6497 	DATA 	Keypress: 5
73.0825 	DATA 	Keypress: 5
73.5657 	DATA 	Keypress: 5
74.0160 	DATA 	Keypress: 5
74.4822 	DATA 	Keypress: 5
74.9325 	DATA 	Keypress: 5
75.3905 	DATA 	Keypress: 5
75.8497 	DATA 	Keypress: 5
76.3071 	DATA 	Keypress: 5
76.7655 	DATA 	Keypress: 5
77.2499 	DATA 	Keypress: 5
77.6825 	DATA 	Keypress: 5
78.1660 	DATA 	Keypress: 5
78.6162 	DATA 	Keypress: 5
79.0825 	DATA 	Keypress: 5
79.5331 	DATA 	Keypress: 5
79.9899 	DATA 	Keypress: 5
80.4495 	DATA 	Keypress: 5
80.9070 	DATA 	Keypress: 5
81.3660 	DATA 	Keypress: 5
81.8493 	DATA 	Keypress: 5
82.2828 	DATA 	Keypress: 5
82.7657 	DATA 	Keypress: 5
83.2156 	DATA 	Keypress: 5
83.6833 	DATA 	Keypress: 5
84.1331 	DATA 	Keypress: 5
84.5903 	DATA 	Keypress: 5
85.0491 	DATA 	Keypress: 5
85.5073 	DATA 	Keypress: 5
85.9657 	DATA 	Keypress: 5
86.4491 	DATA 	Keypress: 5
86.8821 	DATA 	Keypress: 5
87.3671 	DATA 	Keypress: 5
87.8162 	DATA 	Keypress: 5
88.2825 	DATA 	Keypress: 5
88.7321 	DATA 	Keypress: 5
89.1901 	DATA 	Keypress: 5
89.6493 	DATA 	Keypress: 5
90.1075 	DATA 	Keypress: 5
90.5667 	DATA 	Keypress: 5
91.0497 	DATA 	Keypress: 5
91.4819 	DATA 	Keypress: 5
91.9666 	DATA 	Keypress: 5
92.4170 	DATA 	Keypress: 5
92.8822 	DATA 	Keypress: 5
93.3328 	DATA 	Keypress: 5
93.7905 	DATA 	Keypress: 5
94.2493 	DATA 	Keypress: 5
94.7070 	DATA 	Keypress: 5
95.1662 	DATA 	Keypress: 5
95.6490 	DATA 	Keypress: 5
96.0829 	DATA 	Keypress: 5
96.5659 	DATA 	Keypress: 5
97.0153 	DATA 	Keypress: 5
97.4827 	DATA 	Keypress: 5
97.9329 	DATA 	Keypress: 5
98.3902 	DATA 	Keypress: 5
98.8499 	DATA 	Keypress: 5
99.3067 	DATA 	Keypress: 5
99.7667 	DATA 	Keypress: 5
100.2491 	DATA 	Keypress: 5
100.6826 	DATA 	Keypress: 5
101.1661 	DATA 	Keypress: 5
101.6160 	DATA 	Keypress: 5
102.0828 	DATA 	Keypress: 5
102.5318 	DATA 	Keypress: 5
102.9901 	DATA 	Keypress: 5
103.4492 	DATA 	Keypress: 5
103.9074 	DATA 	Keypress: 5
104.3667 	DATA 	Keypress: 5
104.8495 	DATA 	Keypress: 5
105.2825 	DATA 	Keypress: 5
105.7664 	DATA 	Keypress: 5
106.2159 	DATA 	Keypress: 5
106.6833 	DATA 	Keypress: 5
107.1329 	DATA 	Keypress: 5
107.5909 	DATA 	Keypress: 5
