25.2048 	WARNING 	Requested an unavailable screen number - using first available.
26.7700 	EXP 	Created Begin = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Begin', opacity=1, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
26.9026 	EXP 	Created movie = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=-1.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie', noAudio=False, opacity=1, ori=method-wrapper(...), pos=array([0., 0.]), size=method-wrapper(...), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
38.4897 	EXP 	Created movie = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=-1.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie', noAudio=False, opacity=1, ori=method-wrapper(...), pos=array([0., 0.]), size=method-wrapper(...), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
40.9295 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.3, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
40.9297 	EXP 	window1: mouseVisible = False
41.0075 	EXP 	movie: autoLog = True
41.0075 	EXP 	movie: movie = 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\kungfury.mp4'
41.0075 	EXP 	movie: size = array([1920., 1080.])
41.0075 	EXP 	movie: ori = 0
41.0075 	EXP 	movie: autoLog = True
41.0075 	EXP 	movie: movie = 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\01_Inscapes_NoScannerSound_h264.wmv'
41.0075 	EXP 	movie: size = array([1024.,  800.])
41.0075 	EXP 	movie: ori = 0
41.0075 	EXP 	Begin: autoDraw = True
55.4663 	EXP 	Created sequence: sequential, trialTypes=1, nReps=1, seed=None
55.4666 	EXP 	New trial (rep=0, index=0): OrderedDict([('runSeq', [OrderedDict([('moviefile', 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\kungfury.mp4')]), OrderedDict([('moviefile', 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\01_Inscapes_NoScannerSound_h264.wmv')])])])
55.4668 	EXP 	Created sequence: sequential, trialTypes=2, nReps=1, seed=None
55.4669 	EXP 	New trial (rep=0, index=0): OrderedDict([('moviefile', 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\kungfury.mp4')])
55.4878 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-0.5, -0.5, -0.5]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
55.4888 	DATA 	Keypress: space
55.4957 	EXP 	Begin: autoDraw = False
57.6031 	DATA 	Keypress: s
74.8520 	DATA 	Keypress: 5
77.4123 	DATA 	Keypress: 5
77.4126 	DATA 	Keypress: 5
77.4128 	DATA 	Keypress: 5
77.4131 	DATA 	Keypress: 5
77.4133 	DATA 	Keypress: 5
77.6120 	DATA 	Keypress: 5
77.6122 	EXP 	Sound  started
77.6290 	EXP 	movie: autoDraw = True
78.0727 	DATA 	Keypress: 5
78.5561 	DATA 	Keypress: 5
79.0144 	DATA 	Keypress: 5
79.4735 	DATA 	Keypress: 5
79.9231 	DATA 	Keypress: 5
80.3905 	DATA 	Keypress: 5
80.8395 	DATA 	Keypress: 5
81.2977 	DATA 	Keypress: 5
81.7569 	DATA 	Keypress: 5
82.2152 	DATA 	Keypress: 5
82.6739 	DATA 	Keypress: 5
83.1572 	DATA 	Keypress: 5
83.6070 	DATA 	Keypress: 5
84.0742 	DATA 	Keypress: 5
84.5242 	DATA 	Keypress: 5
84.9809 	DATA 	Keypress: 5
85.4405 	DATA 	Keypress: 5
85.8982 	DATA 	Keypress: 5
86.3573 	DATA 	Keypress: 5
86.8151 	DATA 	Keypress: 5
87.2735 	DATA 	Keypress: 5
87.7575 	DATA 	Keypress: 5
88.2148 	DATA 	Keypress: 5
88.6735 	DATA 	Keypress: 5
89.1239 	DATA 	Keypress: 5
89.5908 	DATA 	Keypress: 5
90.0409 	DATA 	Keypress: 5
90.4974 	DATA 	Keypress: 5
90.9570 	DATA 	Keypress: 5
91.4400 	DATA 	Keypress: 5
91.8739 	DATA 	Keypress: 5
92.3567 	DATA 	Keypress: 5
92.8150 	DATA 	Keypress: 5
93.2741 	DATA 	Keypress: 5
93.7242 	DATA 	Keypress: 5
94.1910 	DATA 	Keypress: 5
94.6408 	DATA 	Keypress: 5
95.0985 	DATA 	Keypress: 5
95.5573 	DATA 	Keypress: 5
96.0151 	DATA 	Keypress: 5
96.4742 	DATA 	Keypress: 5
96.9570 	DATA 	Keypress: 5
97.4150 	DATA 	Keypress: 5
97.8742 	DATA 	Keypress: 5
98.3244 	DATA 	Keypress: 5
98.7905 	DATA 	Keypress: 5
99.2402 	DATA 	Keypress: 5
99.6980 	DATA 	Keypress: 5
100.1566 	DATA 	Keypress: 5
100.6148 	DATA 	Keypress: 5
101.0743 	DATA 	Keypress: 5
101.5569 	DATA 	Keypress: 5
102.0151 	DATA 	Keypress: 5
102.4740 	DATA 	Keypress: 5
102.9241 	DATA 	Keypress: 5
103.3906 	DATA 	Keypress: 5
103.8405 	DATA 	Keypress: 5
104.2977 	DATA 	Keypress: 5
104.7571 	DATA 	Keypress: 5
105.2150 	DATA 	Keypress: 5
105.6743 	DATA 	Keypress: 5
106.1566 	DATA 	Keypress: 5
106.6153 	DATA 	Keypress: 5
107.0744 	DATA 	Keypress: 5
107.5238 	DATA 	Keypress: 5
107.9913 	DATA 	Keypress: 5
108.4405 	DATA 	Keypress: 5
108.8987 	DATA 	Keypress: 5
109.3573 	DATA 	Keypress: 5
109.8149 	DATA 	Keypress: 5
110.2736 	DATA 	Keypress: 5
110.7574 	DATA 	Keypress: 5
111.2151 	DATA 	Keypress: 5
111.6740 	DATA 	Keypress: 5
112.1243 	DATA 	Keypress: 5
112.5902 	DATA 	Keypress: 5
113.0410 	DATA 	Keypress: 5
113.4989 	DATA 	Keypress: 5
113.9569 	DATA 	Keypress: 5
114.4152 	DATA 	Keypress: 5
114.8741 	DATA 	Keypress: 5
115.3569 	DATA 	Keypress: 5
115.8154 	DATA 	Keypress: 5
116.2746 	DATA 	Keypress: 5
116.7238 	DATA 	Keypress: 5
117.1913 	DATA 	Keypress: 5
117.6399 	DATA 	Keypress: 5
118.0985 	DATA 	Keypress: 5
118.5576 	DATA 	Keypress: 5
119.0148 	DATA 	Keypress: 5
119.4738 	DATA 	Keypress: 5
119.9568 	DATA 	Keypress: 5
120.4147 	DATA 	Keypress: 5
120.8743 	DATA 	Keypress: 5
121.3244 	DATA 	Keypress: 5
121.7906 	DATA 	Keypress: 5
122.2406 	DATA 	Keypress: 5
122.6985 	DATA 	Keypress: 5
123.1577 	DATA 	Keypress: 5
123.6154 	DATA 	Keypress: 5
124.0742 	DATA 	Keypress: 5
124.5578 	DATA 	Keypress: 5
125.0146 	DATA 	Keypress: 5
125.4748 	DATA 	Keypress: 5
125.9244 	DATA 	Keypress: 5
126.3901 	DATA 	Keypress: 5
126.8408 	DATA 	Keypress: 5
127.2983 	DATA 	Keypress: 5
127.7571 	DATA 	Keypress: 5
128.2147 	DATA 	Keypress: 5
128.6744 	DATA 	Keypress: 5
129.1572 	DATA 	Keypress: 5
129.6154 	DATA 	Keypress: 5
130.0740 	DATA 	Keypress: 5
130.5244 	DATA 	Keypress: 5
130.9911 	DATA 	Keypress: 5
131.4411 	DATA 	Keypress: 5
131.8984 	DATA 	Keypress: 5
132.3567 	DATA 	Keypress: 5
132.8150 	DATA 	Keypress: 5
133.2747 	DATA 	Keypress: 5
133.7577 	DATA 	Keypress: 5
134.2151 	DATA 	Keypress: 5
134.6750 	DATA 	Keypress: 5
135.1244 	DATA 	Keypress: 5
135.5910 	DATA 	Keypress: 5
136.0408 	DATA 	Keypress: 5
136.4991 	DATA 	Keypress: 5
136.9585 	DATA 	Keypress: 5
137.4151 	DATA 	Keypress: 5
137.8744 	DATA 	Keypress: 5
138.3578 	DATA 	Keypress: 5
138.8152 	DATA 	Keypress: 5
139.2742 	DATA 	Keypress: 5
139.7247 	DATA 	Keypress: 5
140.1909 	DATA 	Keypress: 5
140.6399 	DATA 	Keypress: 5
141.0984 	DATA 	Keypress: 5
141.5572 	DATA 	Keypress: 5
142.0148 	DATA 	Keypress: 5
