	onset	duration	phase	condition
0	1380.097246899968	-1362.103798675118	cue	Left Arm
1	1381.5800697999075	-1363.5866215750575	movement	Left Arm
2	1398.1304440998938	-1380.1365528397728	cue	Right Face
3	1399.6135680000298	-1381.6196767399088	movement	Right Face
4	1416.1139215999283	-1398.1041490598582	rest	Rest
5	1434.1640556999482	-1416.169105740264	cue	Chest
6	1435.6471911999397	-1417.6522412402555	movement	Chest
7	1452.1973375999369	-1434.2105950799305	cue	Abdomen
8	1453.6806816000026	-1435.6939390799962	movement	Abdomen
9	1470.1806644999888	-1452.170080959797	rest	Rest
10	1488.23099179985	-1470.2459605797194	cue	Left Leg
11	1489.714314899873	-1471.7292836797424	movement	Left Leg
12	1506.2813951000571	-1488.298048040131	cue	Right Arm
13	1507.7478069998324	-1489.7644599399064	movement	Right Arm
14	1524.2979415999725	-1506.3141933795996	cue	Left Face
15	1525.7811992999632	-1507.7974510795902	movement	Left Face
16	1542.2816101999488	-1524.2712781596929	rest	Rest
17	1560.3317976999097	-1542.3436639797874	cue	Right Leg
18	1561.8149444998708	-1543.8268107797485	movement	Right Leg
19	1578.3153947000392	-1560.303875559941	rest	Rest
20	1596.3820950998925	-1578.394496739842	cue	Left Arm
21	1597.8652460000012	-1579.8776476399507	movement	Left Arm
22	1614.4322386998683	-1596.434721839847	cue	Right Arm
23	1615.9153805000242	-1597.917863640003	movement	Right Arm
24	1632.465755000012	-1614.4693295399193	cue	Right Face
25	1633.9488713999745	-1615.9524459398817	movement	Right Face
26	1650.4501743	-1632.4394976599142	rest	Rest
27	1668.5161379999481	-1650.5203838802408	cue	Right Leg
28	1669.9991887998767	-1652.0034346801694	movement	Right Leg
29	1686.549547099974	-1668.5526756402105	cue	Abdomen
30	1688.0326727000065	-1670.035801240243	movement	Abdomen
31	1704.5827879998833	-1686.597754679853	cue	Left Face
32	1706.0661599999294	-1688.0811266798992	movement	Left Face
33	1722.5667268000543	-1704.55729926005	rest	Rest
34	1740.6163243998308	-1722.6189270399045	cue	Left Leg
35	1742.0997858999763	-1724.10238854005	movement	Left Leg
36	1758.6499401999172	-1740.6538714396302	cue	Chest
37	1760.1332838998642	-1742.1372151395772	movement	Chest
38	1776.633489199914	-1758.6246100601275	rest	Rest
39	Condition Order: 	['Left Arm', 'Right Face', 'Rest', 'Chest', 'Abdomen', 'Rest', 'Left Leg', 'Right Arm', 'Left Face', 'Rest', 'Right Leg', 'Rest', 'Left Arm', 'Right Arm', 'Right Face', 'Rest', 'Right Leg', 'Abdomen', 'Left Face', 'Rest', 'Left Leg', 'Chest', 'Rest']		
