RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.rt,response_2.started,response_2.stopped,fixation_1.started,fixation_1.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
0,1,,,,0,0,0,0,,,,,0,0,0,0,,,,,33.91869299998507,None,space,51.77750670001842,33.91869299998507,None,,,,,,,,,,,,,,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,None,None,None,None,None,None,None,None,[],[],[],None,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,2,"[0, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,None,None,None,None,None,None,[],[],[],None,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,6,"[0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,91.62282219994813,None,91.62282219994813,92.62361000012606,92.62361000012606,None,None,1,,91.62282219994813,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,9,"[0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,92.74026270001195,None,92.74026270001195,93.74028680007905,93.72360839997418,94.72360770008527,None,1,,92.74026270001195,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,3,"[0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,4,4,4,,,,,,,,,94.74027800001204,None,94.74027800001204,95.74028289993294,95.7236167001538,96.72365260007791,None,1,,94.74027800001204,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,9,"[0.2, -0.2]",1,0,0,0,0,,,,,0,0,0,0,0,5,5,5,,,,,,,,,96.74032430001535,None,96.74032430001535,97.74031309993006,97.72356500010937,98.72366659995168,None,0,,96.74032430001535,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,6,6,6,,,,,,,,,98.74020370002836,None,98.74020370002836,99.7403428000398,99.7236504999455,100.72368180006742,None,1,,98.74020370002836,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,1,"[-0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,7,7,7,,,,,,,,,100.74033470009454,None,100.74033470009454,101.74035040009767,101.72365729999729,102.72369559993967,None,1,,100.74033470009454,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,8,8,8,,,,,,,,,102.74036860000342,None,102.74036860000342,103.7403617000673,103.72371360007674,104.72365440009162,None,1,,102.74036860000342,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,9,9,9,,,,,,,,,104.74038490001112,None,104.74038490001112,105.74039019993506,105.72370840003714,106.72371540009044,None,1,,104.74038490001112,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,5,"[0, 0]",1,0,0,0,0,,,,,0,0,0,0,0,10,10,10,,,,,,,,,106.74043929995969,None,106.74043929995969,107.7403917000629,107.72373159998097,108.72373090009205,None,0,,106.74043929995969,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,6,"[0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,11,11,11,,,,,,,,,108.74041630001739,None,108.74041630001739,109.74040980008431,109.7237380000297,110.72376510011964,None,1,,108.74041630001739,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,3,"[0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,12,12,12,,,,,,,,,110.74044229998253,None,110.74044229998253,111.7404432001058,111.72375380015,112.72385139996186,None,1,,110.74044229998253,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,6,"[0.2, 0]",1,0,0,0,0,,,,,0,0,0,0,0,13,13,13,,,,,,,,,112.74045959999785,None,112.74045959999785,113.7404692999553,113.72371609997936,114.7237772999797,None,0,,112.74045959999785,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,8,"[0, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,14,14,14,,,,,,,,,114.74035290000029,None,114.74035290000029,115.74046609993093,115.7238036999479,116.72380940010771,None,1,,114.74035290000029,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,9,"[0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,15,15,15,,,,,,,,,116.74040010012686,None,116.74040010012686,117.74049039999954,117.72382890013978,118.72381939995103,None,1,,116.74040010012686,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,9,"[0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,16,16,16,,,,,,,,,118.74051259993576,None,118.74051259993576,119.74054370005615,119.72384670004249,120.72383769997396,None,1,,118.74051259993576,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,1,"[-0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,17,17,17,,,,,,,,,120.74052250012755,None,120.74052250012755,121.74056329997256,121.72386729996651,122.72385499998927,None,1,,120.74052250012755,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,3,"[0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,18,18,18,,,,,,,,,122.74053529999219,None,122.74053529999219,123.74054450006224,123.72385870013386,124.72389329993166,None,1,,122.74053529999219,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,19,19,19,,,,,,,,,124.74055849993601,None,124.74055849993601,125.74056049995124,125.72387939994223,126.72390630003065,None,1,,124.74055849993601,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,3,"[0.2, 0.2]",1,0,0,0,0,,,,,0,0,0,0,0,20,20,20,,,,,,,,,126.74057870008983,None,126.74057870008983,127.74045930011198,127.72391459997743,128.72392620006576,None,0,,126.74057870008983,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,4,"[-0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,21,21,21,,,,,,,,,128.74057679995894,None,128.74057679995894,129.74059329996817,129.72390500013717,130.7239471001085,None,1,,128.74057679995894,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,22,22,22,,,,,,,,,130.74048750009388,None,130.74048750009388,131.7405997000169,131.72394099994563,132.72396100009792,None,1,,130.74048750009388,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,4,"[-0.2, 0]",1,0,0,0,0,,,,,0,0,0,0,0,23,23,23,,,,,,,,,132.74062240007333,None,132.74062240007333,133.7406246000901,133.7239771001041,134.7239759999793,None,0,,132.74062240007333,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,4,"[-0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,24,24,24,,,,,,,,,134.7406274001114,None,134.7406274001114,135.7406490999274,135.72398170013912,136.72399720014073,None,1,,134.7406274001114,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,25,25,25,,,,,,,,,136.74064720002934,None,136.74064720002934,137.74065140006132,137.72399840014987,138.72399840014987,None,1,,136.74064720002934,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,2,"[0, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,26,26,26,,,,,,,,,138.74065409996547,None,138.74065409996547,139.74068649997935,139.7240260001272,140.72403179993853,None,1,,138.74065409996547,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,6,"[0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,27,27,27,,,,,,,,,140.74068260006607,None,140.74068260006607,141.7406897000037,141.72402220009826,142.72406110004522,None,1,,140.74068260006607,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,28,28,28,,,,,,,,,142.74070920003578,None,142.74070920003578,143.74071400007233,143.72405660012737,144.7240667999722,None,1,,142.74070920003578,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,6,"[0.2, 0]",1,0,0,0,0,,,,,0,0,0,0,0,29,29,29,,,,,,,,,144.74072919995524,None,144.74072919995524,145.7407394000329,145.7240820999723,146.72406810009852,None,0,,144.74072919995524,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,6,"[0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,30,30,30,,,,,,,,,146.7407273000572,None,146.7407273000572,147.74074160004966,147.7240728000179,148.72410079999827,None,1,,146.7407273000572,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,31,31,31,,,,,,,,,148.7407671001274,None,148.7407671001274,149.74075370002538,149.72408820013516,150.72413030010648,None,1,,148.7407671001274,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,6,"[0.2, 0]",1,0,0,0,0,,,,,0,0,0,0,0,32,32,32,,,,,,,,,150.74084300012328,None,150.74084300012328,151.74078150000423,151.7241318000015,152.72412080015056,None,0,,150.74084300012328,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,2,"[0, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,33,33,33,,,,,,,,,152.74066919996403,None,152.74066919996403,153.7407943001017,153.72412599995732,154.72415850008838,None,1,,152.74066919996403,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,5,"[0, 0]",None,0,0,0,0,,,,,0,0,0,0,0,34,34,34,,,,,,,,,154.74080900009722,None,154.74080900009722,155.74081640015356,155.72415030002594,156.72415290004574,None,1,,154.74080900009722,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,4,"[-0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,35,35,35,,,,,,,,,156.74081739992835,None,156.74081739992835,157.7408485999331,157.72415750008076,158.72418799996376,None,1,,156.74081739992835,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,4,"[-0.2, 0]",None,0,0,0,0,,,,,0,0,0,0,0,36,36,36,,,,,,,,,158.74083609995432,None,158.74083609995432,159.7408714001067,159.72419239999726,160.7241810001433,None,1,,158.74083609995432,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,7,"[-0.2, -0.2]",None,0,0,0,0,,,,,0,0,0,0,0,37,37,37,,,,,,,,,160.74086649995297,None,160.74086649995297,161.74089480005205,161.7241861000657,162.72421310003847,None,1,,160.74086649995297,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,4,"[-0.2, 0]",1,0,0,0,0,,,,,0,0,0,0,0,38,38,38,,,,,,,,,162.7408921001479,None,162.7408921001479,163.74088230007328,163.7242107000202,164.72423860011622,None,0,,162.7408921001479,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
0,1,3,"[0.2, 0.2]",None,0,0,0,0,,,,,0,0,0,0,0,39,39,39,,,,,,,,,164.74089010013267,None,164.74089010013267,165.7409028999973,165.72423820011318,166.72425920004025,None,1,,164.74089010013267,None,,,2,m,5,r,CIB,2021_May_25_1140,WASABI Nback,2020.2.10,59.98544748946163,
