square,location,corrAns,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,response_2.rt,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
,,,0,0,0,0,,,,,18.257362000003923,None,space,2.0920242999854963,18.257362000003923,None,,,,,,,,,,,,,,,,,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
5,"[0, 0]",None,0,0,0,0,0,0,0,0,,,,,,,None,None,0.24722222222222223,-0.15555555555555556,1,1.6481199000263587,21.676731800020207,None,21.676731800020207,22.692210000008345,22.65854920001584,None,1,0,21.676731800020207,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
2,"[0, 0.2]",None,0,0,0,0,0,1,1,1,,,,,,,,,0.025,-0.19583333333333333,1,1.9695913000032306,23.390654700022424,None,23.390654700022424,24.39195090002613,24.374531200010097,25.375424000027124,1,0,23.390654700022424,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
6,"[0.2, 0]",None,0,0,0,0,0,2,2,2,,,,,,,,,0.019444444444444445,-0.19722222222222222,0,0.0,25.39261500001885,None,25.39261500001885,26.392020900006173,26.3747048000223,None,None,1,25.39261500001885,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
9,"[0.2, -0.2]",None,0,0,0,0,0,3,3,3,,,,,,,,,-0.029166666666666667,-0.2,0,1.1525984999898355,27.376006300008157,None,27.376006300008157,28.376595300011104,28.359977000014624,29.360215000022436,None,1,27.376006300008157,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
3,"[0.2, 0.2]",None,0,0,0,0,0,4,4,4,,,,,,,,,-0.016666666666666666,-0.31527777777777777,0,0.733689000015147,29.3767063000123,None,29.3767063000123,30.376276700000744,30.361329000006663,31.36133820001851,None,1,29.3767063000123,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
9,"[0.2, -0.2]",1,0,0,0,0,0,5,5,5,,,,,,,,,-0.025,-0.3277777777777778,0,1.7704932000197005,31.376780600025086,None,31.376780600025086,32.37728930002777,32.36144800001057,33.36269090001588,None,0,31.376780600025086,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
7,"[-0.2, -0.2]",None,0,0,0,0,0,6,6,6,,,,,,,,,-0.0375,-0.3388888888888889,0,1.369910900015384,33.37772800002131,None,33.37772800002131,34.37806350001483,34.362589100026526,35.363921900017885,None,1,33.37772800002131,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
1,"[-0.2, 0.2]",None,0,0,0,0,0,7,7,7,,,,,,,,,-0.04027777777777778,-0.3458333333333333,0,0.8507082000141963,35.37983190000523,None,35.37983190000523,36.37914330000058,36.3633612000267,37.36378130002413,None,1,35.37983190000523,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
5,"[0, 0]",None,0,0,0,0,0,8,8,8,,,,,,,,,-0.04027777777777778,-0.3458333333333333,1,1.8695287000155076,37.38023080001585,None,37.38023080001585,38.379941100021824,38.3631964000233,39.365965600009076,1,0,37.38023080001585,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
7,"[-0.2, -0.2]",None,0,0,0,0,0,9,9,9,,,,,,,,,-0.029166666666666667,-0.34444444444444444,0,1.5354434000037145,39.382396300003165,None,39.382396300003165,40.38300560001517,40.366333800018765,41.367057100025704,None,1,39.382396300003165,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
5,"[0, 0]",1,0,0,0,0,0,10,10,10,,,,,,,,,-0.027777777777777776,-0.34305555555555556,0,1.300631299993256,41.3833597000048,None,41.3833597000048,42.385606499999994,42.36843200001749,None,None,0,41.3833597000048,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
6,"[0.2, 0]",None,0,0,0,0,0,11,11,11,,,,,,,,,-0.027777777777777776,-0.34305555555555556,0,1.016666899988195,43.38337320002029,None,43.38337320002029,44.382820300001185,44.36617010002374,45.36653330002446,None,1,43.38337320002029,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
3,"[0.2, 0.2]",None,0,0,0,0,0,12,12,12,,,,,,,,,-0.027777777777777776,-0.34305555555555556,0,0.7343694000155665,45.38337200001115,None,45.38337200001115,46.384602200007066,46.367186200019205,47.36808560002828,None,1,45.38337200001115,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
6,"[0.2, 0]",1,0,0,0,0,0,13,13,13,,,,,,,,,-0.027777777777777776,-0.34305555555555556,0,1.4846623999765143,47.38536290000775,None,47.38536290000775,48.385962900007144,48.369077200011816,49.3686682000116,None,0,47.38536290000775,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
8,"[0, -0.2]",None,0,0,0,0,0,14,14,14,,,,,,,,,-0.027777777777777776,-0.34305555555555556,0,1.3848920000018552,49.38639900000999,None,49.38639900000999,50.386580300022615,50.36904560000403,51.370420200022636,None,1,49.38639900000999,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
9,"[0.2, -0.2]",None,0,0,0,0,0,15,15,15,,,,,,,,,-0.027777777777777776,-0.34305555555555556,0,1.3162938999885228,51.38829680002527,None,51.38829680002527,52.38779180002166,52.370703200023854,53.371776000014506,None,1,51.38829680002527,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
9,"[0.2, -0.2]",None,0,0,0,0,0,16,16,16,,,,,,,,,-0.027777777777777776,-0.34305555555555556,0,0.884453200007556,53.38807870002347,None,53.38807870002347,54.38879550001002,54.37157600000501,55.3724218000134,None,1,53.38807870002347,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
1,"[-0.2, 0.2]",None,0,0,0,0,0,17,17,17,,,,,,,,,-0.027777777777777776,-0.34305555555555556,0,0.8351965000038035,55.389146500005154,None,55.389146500005154,56.3894553000282,56.3733351000119,57.372583000018494,None,1,55.389146500005154,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
3,"[0.2, 0.2]",None,0,0,0,0,0,18,18,18,,,,,,,,,-0.025,-0.3472222222222222,0,1.80284320001374,57.390091500012204,None,57.390091500012204,58.390496300009545,58.373445300007006,59.37334499999997,None,1,57.390091500012204,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
5,"[0, 0]",None,0,0,0,0,0,19,19,19,,,,,,,,,-0.019444444444444445,-0.3486111111111111,0,0.8889560000097845,59.391006800025934,None,59.391006800025934,60.39150160001009,60.37513090000721,61.374322700023185,None,1,59.391006800025934,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
3,"[0.2, 0.2]",1,0,0,0,0,0,20,20,20,,,,,,,,,-0.019444444444444445,-0.3486111111111111,0,0.937166999996407,61.39201160002267,None,61.39201160002267,62.39235670000198,62.37530130002415,None,None,0,61.39201160002267,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
4,"[-0.2, 0]",None,0,0,0,0,0,21,21,21,,,,,,,,,-0.019444444444444445,-0.35,0,1.3177366000018083,63.37646090000635,None,63.37646090000635,64.37629380001454,64.3598803000059,65.36044080002466,None,1,63.37646090000635,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
7,"[-0.2, -0.2]",None,0,0,0,0,0,22,22,22,,,,,,,,,-0.019444444444444445,-0.35,0,1.5354907999862917,65.3759987000085,None,65.3759987000085,66.37732630001847,66.36092760000611,67.36157070001354,None,1,65.3759987000085,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
4,"[-0.2, 0]",1,0,0,0,0,0,23,23,23,,,,,,,,,-0.019444444444444445,-0.35,0,1.0261356999981217,67.3776367000246,None,67.3776367000246,68.37829090000014,68.36206180002773,69.36215780000202,None,0,67.3776367000246,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
4,"[-0.2, 0]",None,0,0,0,0,0,24,24,24,,,,,,,,,-0.019444444444444445,-0.35,0,0.6184159999829717,69.37882750001154,None,69.37882750001154,70.37985610001488,70.36315640000976,71.36381360000814,None,1,69.37882750001154,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
5,"[0, 0]",None,0,0,0,0,0,25,25,25,,,,,,,,,-0.005555555555555556,-0.3333333333333333,0,1.5018217000178993,71.38038330001291,None,71.38038330001291,72.37926360001438,72.36358750000363,73.36423650002689,None,1,71.38038330001291,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
2,"[0, 0.2]",None,0,0,0,0,0,26,26,26,,,,,,,,,-0.006944444444444444,-0.3375,0,0.7680315000179689,73.37998060000245,None,73.37998060000245,74.38115140001173,74.36460890001035,75.36530260002473,None,1,73.37998060000245,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
6,"[0.2, 0]",None,0,0,0,0,0,27,27,27,,,,,,,,,-0.009722222222222222,-0.34444444444444444,0,1.4367583999992348,75.38073060000897,None,75.38073060000897,76.38169380000909,76.36567890000879,77.36639100001776,None,1,75.38073060000897,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
7,"[-0.2, -0.2]",None,0,0,0,0,0,28,28,28,,,,,,,,,-0.0125,-0.3486111111111111,0,1.7052404999849387,77.38319150000461,None,77.38319150000461,78.38301040002261,78.36655480001355,79.36708980001276,None,1,77.38319150000461,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
6,"[0.2, 0]",1,0,0,0,0,0,29,29,29,,,,,,,,,-0.0125,-0.3541666666666667,1,1.8690788999956567,79.38261350002722,None,79.38261350002722,80.3843783000193,80.3679355000204,81.36830040000496,1,1,79.38261350002722,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
6,"[0.2, 0]",None,0,0,0,0,0,30,30,30,,,,,,,,,-0.0125,-0.3597222222222222,0,1.4025499000272248,81.38364320000983,None,81.38364320000983,82.38579420000315,82.36882880001212,83.36788410000736,None,1,81.38364320000983,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
7,"[-0.2, -0.2]",None,0,0,0,0,0,31,31,31,,,,,,,,,-0.0125,-0.3597222222222222,0,0.5191385000071023,83.38587940001162,None,83.38587940001162,84.3865547000023,84.36923730000854,85.36861240002327,None,1,83.38587940001162,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
6,"[0.2, 0]",1,0,0,0,0,0,32,32,32,,,,,,,,,-0.0125,-0.3597222222222222,1,1.8341936000215355,85.38714820001042,None,85.38714820001042,86.38749840002856,86.36917300001369,87.37053830001969,1,1,85.38714820001042,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
2,"[0, 0.2]",None,0,0,0,0,0,33,33,33,,,,,,,,,-0.0125,-0.3597222222222222,0,1.272199399973033,87.38738060000469,None,87.38738060000469,88.38795670002582,88.37107940000715,89.3721835000033,None,1,87.38738060000469,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
5,"[0, 0]",None,0,0,0,0,0,34,34,34,,,,,,,,,-0.0125,-0.3597222222222222,0,0.6668207999900915,89.38916050002445,None,89.38916050002445,90.38928160001524,90.37216300002183,91.3725897000113,None,1,89.38916050002445,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
4,"[-0.2, 0]",None,0,0,0,0,0,35,35,35,,,,,,,,,-0.0125,-0.3597222222222222,0,0.18649500000174157,91.38952680001967,None,91.38952680001967,92.38980170001741,92.37348430001293,93.37290340001346,None,1,91.38952680001967,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
4,"[-0.2, 0]",None,0,0,0,0,0,36,36,36,,,,,,,,,-0.24583333333333332,-0.4652777777777778,0,0.08718639999278821,93.39034680000623,None,93.39034680000623,94.39049870002782,94.3729910000111,None,None,1,93.39034680000623,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
7,"[-0.2, -0.2]",None,0,0,0,0,0,37,37,37,,,,,,,,,-0.24583333333333332,-0.4652777777777778,0,0.0,95.37678450002568,None,95.37678450002568,96.37519550000434,96.3591432000103,97.36012080000364,None,1,95.37678450002568,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
4,"[-0.2, 0]",1,0,0,0,0,0,38,38,38,,,,,,,,,-0.8444444444444444,-0.2513888888888889,0,0.97310970001854,97.37692010001047,None,97.37692010001047,98.39320510000107,98.37988849999965,None,None,0,97.37692010001047,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
3,"[0.2, 0.2]",None,0,0,0,0,0,39,39,39,,,,,,,,,-0.8444444444444444,-0.2513888888888889,0,0.0,99.37592560000485,None,99.37592560000485,100.3761692000262,100.35921180000878,101.36389890001738,None,1,99.37592560000485,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
5,"[0, 0]",None,0,0,0,0,0,40,40,40,,,,,,,,,-0.8444444444444444,-0.2513888888888889,0,0.0,101.37985800000024,None,101.37985800000024,102.39379100000951,102.36077920001117,103.360697600001,None,1,101.37985800000024,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
3,"[0.2, 0.2]",1,0,0,0,0,0,41,41,41,,,,,,,,,-0.8444444444444444,-0.2513888888888889,0,0.0,103.3774328000145,None,103.3774328000145,104.37756300001638,104.36089740000898,105.36134680002579,None,0,103.3774328000145,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
1,"[-0.2, 0.2]",None,0,0,0,0,0,42,42,42,,,,,,,,,-0.2833333333333333,-0.002777777777777778,1,1.9733460000134073,105.3779751000111,None,105.3779751000111,106.37864100001752,106.36218920000829,107.36871820001397,1,0,105.3779751000111,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
9,"[0.2, -0.2]",None,0,0,0,0,0,43,43,43,,,,,,,,,-0.39861111111111114,-0.04861111111111111,0,0.0,107.38130560002173,None,107.38130560002173,108.39618070001598,108.36286310001742,109.36324630002491,None,1,107.38130560002173,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
9,"[0.2, -0.2]",None,0,0,0,0,0,44,44,44,,,,,,,,,-0.8027777777777778,0.0125,0,0.0,109.37982230001944,None,109.37982230001944,110.38180860001012,110.3647327000217,111.3641454000026,None,1,109.37982230001944,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
8,"[0, -0.2]",None,0,0,0,0,0,45,45,45,,,,,,,,,-0.8027777777777778,0.0125,0,0.0,111.3808203000226,None,111.3808203000226,112.3816423000244,112.36494890000904,113.36540270000114,None,1,111.3808203000226,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
6,"[0.2, 0]",None,0,0,0,0,0,46,46,46,,,,,,,,,-0.8027777777777778,0.0125,0,0.0,113.38235030000214,None,113.38235030000214,114.38226380001288,114.36574030001066,115.36617660001502,None,1,113.38235030000214,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
3,"[0.2, 0.2]",None,0,0,0,0,0,47,47,47,,,,,,,,,-0.8027777777777778,0.0125,0,0.0,115.38278550002724,None,115.38278550002724,116.38314520000131,116.3664835000236,117.36708310001995,None,1,115.38278550002724,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
6,"[0.2, 0]",1,0,0,0,0,0,48,48,48,,,,,,,,,-0.8027777777777778,0.0125,0,0.0,117.38378320002812,None,117.38378320002812,118.3840381000191,118.36767460001283,119.36817990001873,None,0,117.38378320002812,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
5,"[0, 0]",None,0,0,0,0,0,49,49,49,,,,,,,,,-0.8027777777777778,0.0125,0,0.0,119.38458720000926,None,119.38458720000926,120.38502530002734,120.36839020001935,None,None,1,119.38458720000926,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
7,"[-0.2, -0.2]",None,0,0,0,0,0,50,50,50,,,,,,,,,-0.8027777777777778,0.0125,0,0.0,121.3888033000112,None,121.3888033000112,122.40261940000346,122.3693132000044,123.374252300011,None,1,121.3888033000112,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
5,"[0, 0]",1,0,0,0,0,0,51,51,51,,,,,,,,,-0.8027777777777778,0.0125,0,0.0,123.38731700001517,None,123.38731700001517,124.38741560000926,124.37103690000367,125.37156880000839,None,0,123.38731700001517,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
1,"[-0.2, 0.2]",None,0,0,0,0,0,52,52,52,,,,,,,,,-0.8027777777777778,0.0125,0,0.0,125.38781090002158,None,125.38781090002158,126.38797570002498,126.37229610001668,127.3720658000093,None,1,125.38781090002158,None,99,m,99,r,MS,2021_Jun_03_0943,WASABI Nback,2020.2.10,61.247488850992916,
