RestT1,TaskT1,square,location,corrAns,counterbalancer.thisRepN,counterbalancer.thisTrialN,counterbalancer.thisN,counterbalancer.thisIndex,RestT1Loop.thisRepN,RestT1Loop.thisTrialN,RestT1Loop.thisN,RestT1Loop.thisIndex,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,NbackInstructions.started,NbackInstructions.stopped,NbackStart.keys,NbackStart.rt,NbackStart.started,NbackStart.stopped,fixation_2.started,fixation_2.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,
1,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,75.16478349990211,None,,,,,,,,,,,,,,,,,,,,,,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,347.5338377999142,None,space,54.213076800107956,347.5338377999142,None,,,,,,,,,,,,,,,,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,0,0,0,,,,,,,,,None,None,None,None,[],None,None,None,None,None,None,[],[],None,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,None,None,0,406.00096209999174,None,406.00096209999174,None,None,None,0,1,406.00096209999174,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,None,None,0,406.7843279999215,None,406.7843279999215,407.7843243998941,407.7676494999323,408.76767319999635,0,1,406.7843279999215,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,None,None,0,408.7843386998866,None,408.7843386998866,409.7843378998805,409.7676823998336,410.76767680002376,0,1,408.7843386998866,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,None,None,0,410.7843424999155,None,410.7843424999155,411.78436599997804,411.76769849983975,412.7677096000407,0,1,410.7843424999155,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,9,"[0.2, -0.2]",1,0,1,1,1,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,None,None,0,412.78436439996585,None,412.78436439996585,413.7843766999431,413.7677136999555,414.7677125998307,0,1,412.78436439996585,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,None,None,0,414.7843891000375,None,414.7843891000375,415.7843931999523,415.7677167998627,416.7677281999495,0,1,414.7843891000375,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,None,None,0,416.784399199998,None,416.784399199998,417.7844099998474,417.767737200018,418.767738699913,0,1,416.784399199998,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,None,None,0,418.7844146999996,None,418.7844146999996,419.784425499849,419.767747099977,420.76777100004256,0,1,418.7844146999996,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,None,None,0,420.78442829987034,None,420.78442829987034,421.7844372999389,421.76779039995745,422.7677901999559,0,1,420.78442829987034,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,5,"[0, 0]",1,0,1,1,1,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,None,None,0,422.78445059992373,None,422.78445059992373,423.78445110004395,423.76786719984375,424.76780899986625,0,1,422.78445059992373,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,None,None,0,424.7844673998188,None,424.7844673998188,425.7844847999513,425.7677912998479,426.76780309993774,0,1,424.7844673998188,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,None,None,0,426.7844860998448,None,426.7844860998448,427.78449509991333,427.7678272998892,428.76783539983444,0,1,426.7844860998448,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,None,None,0,428.784506799886,None,428.784506799886,429.7844992999453,429.7678525999654,430.7678551999852,0,1,428.784506799886,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,8,"[0, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,None,None,0,430.7845171999652,None,430.7845171999652,431.7845306999516,431.7678731000051,432.7678576000035,0,1,430.7845171999652,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,None,None,0,432.78454110003076,None,432.78454110003076,433.7845423000399,433.76789749995805,434.7678823999595,0,1,432.78454110003076,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,None,None,0,434.78455839981325,None,434.78455839981325,435.78456229995936,435.7679133999627,436.7679081999231,0,1,434.78455839981325,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,None,None,0,436.7845810998697,None,436.7845810998697,437.78461329988204,437.7679047000129,438.7679280999582,0,1,436.7845810998697,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,None,None,0,438.78458999982104,None,438.78458999982104,439.78458589990623,439.7679375000298,440.76793249999173,0,1,438.78458999982104,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,None,None,0,440.784607199952,None,440.784607199952,441.7846050998196,441.76794429984875,442.767961199861,0,1,440.784607199952,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,3,"[0.2, 0.2]",1,0,1,1,1,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,None,None,0,442.7846240999643,None,442.7846240999643,443.7846266999841,443.76795549993403,444.7679591998458,0,0,442.7846240999643,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,None,None,0,444.78464069985785,None,444.78464069985785,445.7846476000268,445.76797699998133,446.76798469992355,0,1,444.78464069985785,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,None,None,0,446.7846490999218,None,446.7846490999218,447.78466039989144,447.7680093999952,448.76802139985375,0,1,446.7846490999218,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,4,"[-0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,None,None,0,448.7846270999871,None,448.7846270999871,449.78468649997376,449.7680128000211,450.7680104000028,0,1,448.7846270999871,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,24,24,24,,,,,,,,,,,None,None,0,450.78469510003924,None,450.78469510003924,451.7846955000423,451.7680227998644,452.76802759990096,0,1,450.78469510003924,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,None,None,0,452.78470700001344,None,452.78470700001344,453.7847153998446,453.7680328998249,454.76805529999547,0,1,452.78470700001344,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,26,26,26,,,,,,,,,,,None,None,0,454.78472809982486,None,454.78472809982486,455.78473800001666,455.7679645998869,456.76807939982973,0,1,454.78472809982486,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,27,27,27,,,,,,,,,,,None,None,0,456.7847936998587,None,456.7847936998587,457.78473720001057,457.76807989994995,458.7680856999941,0,1,456.7847936998587,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,28,28,28,,,,,,,,,,,None,None,0,458.784758299822,None,458.784758299822,459.78476589987986,459.7680856999941,460.7681014998816,0,1,458.784758299822,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,29,29,29,,,,,,,,,,,None,None,0,460.78478039987385,None,460.78478039987385,461.78478610003367,461.7681268998422,462.76814139983617,0,1,460.78478039987385,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,30,30,30,,,,,,,,,,,None,None,0,462.78478639991954,None,462.78478639991954,463.78479800000787,463.7680809998419,464.7681446999777,0,1,462.78478639991954,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,31,31,31,,,,,,,,,,,None,None,0,464.78481670003384,None,464.78481670003384,465.7848020000383,465.76815879996866,466.7681356999092,0,1,464.78481670003384,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,6,"[0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,32,32,32,,,,,,,,,,,None,None,0,466.78482669987716,None,466.78482669987716,467.78484299988486,467.7681674999185,468.7681709998287,0,1,466.78482669987716,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,2,"[0, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,33,33,33,,,,,,,,,,,None,None,0,468.7848376999609,None,468.7848376999609,469.78484969981946,469.7681907999795,470.76819529989734,0,1,468.7848376999609,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,34,34,34,,,,,,,,,,,None,None,0,470.78484739991836,None,470.78484739991836,471.784873199882,471.7682431000285,472.76808589999564,0,1,470.78484739991836,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,35,35,35,,,,,,,,,,,None,None,0,472.78488309984095,None,472.78488309984095,473.78487899992615,473.7682336999569,474.7682399000041,0,1,472.78488309984095,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,4,"[-0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,36,36,36,,,,,,,,,,,None,None,0,474.78491159994155,None,474.78491159994155,475.78480289992876,475.76823149994016,476.7682594000362,0,1,474.78491159994155,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,7,"[-0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,37,37,37,,,,,,,,,,,None,None,0,476.7849188998807,None,476.7849188998807,477.7849206998944,477.76826829998754,478.7682647998445,0,1,476.7849188998807,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,4,"[-0.2, 0]",1,0,1,1,1,,,,,0,0,0,0,0,38,38,38,,,,,,,,,,,None,None,0,478.7849202998914,None,478.7849202998914,479.78492859983817,479.76832619984634,480.76827259990387,0,1,478.7849202998914,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,3,"[0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,39,39,39,,,,,,,,,,,None,None,0,480.784941899823,None,480.784941899823,481.7849626999814,481.7682918999344,482.7683047999162,0,1,480.784941899823,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,5,"[0, 0]",None,0,1,1,1,,,,,0,0,0,0,0,40,40,40,,,,,,,,,,,None,None,0,482.7849697000347,None,482.7849697000347,483.78496850002557,483.76830399991013,484.76831820001826,0,1,482.7849697000347,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,3,"[0.2, 0.2]",1,0,1,1,1,,,,,0,0,0,0,0,41,41,41,,,,,,,,,,,None,None,0,484.7849687000271,None,484.7849687000271,485.7849727999419,485.76832699985243,486.76832389994524,0,1,484.7849687000271,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,1,"[-0.2, 0.2]",None,0,1,1,1,,,,,0,0,0,0,0,42,42,42,,,,,,,,,,,None,None,0,486.78499439987354,None,486.78499439987354,487.78500569984317,487.76833399990574,488.7683529998176,0,1,486.78499439987354,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,43,43,43,,,,,,,,,,,None,None,0,488.785021699965,None,488.785021699965,489.78502209996805,489.76836630003527,490.7683723999653,0,1,488.785021699965,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,9,"[0.2, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,44,44,44,,,,,,,,,,,None,None,0,490.78502389998175,None,490.78502389998175,491.7850214999635,491.76838539983146,492.768375699874,0,1,490.78502389998175,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,8,"[0, -0.2]",None,0,1,1,1,,,,,0,0,0,0,0,45,45,45,,,,,,,,,,,None,None,0,492.7850460000336,None,492.7850460000336,493.78503829985857,493.768385599833,494.7684110000264,0,1,492.7850460000336,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
0,1,6,"[0.2, 0]",None,0,1,1,1,,,,,0,0,0,0,0,46,46,46,,,,,,,,,,,None,None,0,494.78506369981915,None,494.78506369981915,495.78506759996526,495.7684055999853,496.7684108999092,0,1,494.78506369981915,None,1,m,32,r,MCK,2022_Jan_06_1409,WASABI Nback,2020.2.10,59.97803602957353,
