runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,fix_cross.started,fix_cross.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,EndingText.started,EndingText.stopped,ConfirmEnd.keys,ConfirmEnd.rt,ConfirmEnd.started,ConfirmEnd.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
,,,,,,,,,,89.11938669998199,None,space,2.4380119000561535,89.11938669998199,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_16_1247,bodysite,2020.2.5,60.016660695976555,"['Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Chest', 'Left Arm', 'Left Face']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,7,0,0,0,0,,,,,,,91.67549300007522,91.67549300007522,None,space,134.5358549002558,91.67549300007522,None,226.24317250028253,space,202.38665620004758,226.24317250028253,None,467.2284093000926,None,467.2284093000926,None,,,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_16_1247,bodysite,2020.2.5,60.016660695976555,"['Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Chest', 'Left Arm', 'Left Face']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,7,0,2,2,2,,,,,,,,,,,,,,,,,,,493.74538790015504,None,493.74538790015504,None,480.22849560016766,None,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_16_1247,bodysite,2020.2.5,60.016660695976555,"['Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Chest', 'Left Arm', 'Left Face']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,7,0,6,6,6,,,,,,,,,,,,,,,,,,,546.078856300097,None,546.078856300097,None,533.0622518002056,None,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_16_1247,bodysite,2020.2.5,60.016660695976555,"['Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Chest', 'Left Arm', 'Left Face']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,7,0,8,8,8,,,,,,,,,,,,,,,,,,,572.8792981998995,None,572.8792981998995,None,559.0790987000801,None,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_16_1247,bodysite,2020.2.5,60.016660695976555,"['Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Chest', 'Left Arm', 'Left Face']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,7,0,24,24,24,,,,,,,,,,,,,,,,,,,783.9976498000324,None,783.9976498000324,None,770.1141210002825,770.1141210002825,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_16_1247,bodysite,2020.2.5,60.016660695976555,"['Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Chest', 'Left Arm', 'Left Face']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,7,0,29,29,29,,,,,,,,,,,,,,,,,,,849.8315051002428,None,849.8315051002428,None,836.8312627002597,836.8312627002597,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_16_1247,bodysite,2020.2.5,60.016660695976555,"['Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Chest', 'Left Arm', 'Left Face']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,7,0,30,30,30,,,,,,,,,,,,,,,,,,,863.6149665000848,863.6149665000848,863.6149665000848,863.6149665000848,,,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_16_1247,bodysite,2020.2.5,60.016660695976555,"['Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Chest', 'Left Arm', 'Left Face']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,7,0,32,32,32,,,,,,,,,,,,,,,,,,,889.9485190999694,None,889.9485190999694,None,876.6149201001972,None,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_16_1247,bodysite,2020.2.5,60.016660695976555,"['Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Chest', 'Left Arm', 'Left Face']",
stimuli/orders/stimOrder15.xlsx,3,0,0,0,7,0,34,34,34,,,,,,,,,,,,,,,,,,,915.9486357001588,None,915.9486357001588,None,902.948455600068,None,,,,,,,,,,,,,,,,,,,1,M,1,r,CIB,2021_Apr_16_1247,bodysite,2020.2.5,60.016660695976555,"['Left Leg', 'Right Arm', 'Right Face', 'Abdomen', 'Right Leg', 'Chest', 'Left Arm', 'Left Face']",
