runSeq,trial_type,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Begin.started,Begin.stopped,BeginTask.keys,BeginTask.rt,BeginTask.started,BeginTask.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,ImagineInstructionText.started,ImaginationInstructionRead.keys,ImaginationInstructionRead.rt,ImaginationInstructionRead.started,ImaginationInstructionRead.stopped,fix_cross.started,fix_cross.stopped,BodySiteCue.started,BodySiteCue.stopped,NonStimTrialText.started,NonStimTrialText.stopped,ValenceRating.response,ValenceRating.rt,ValenceRating.started,ValenceRating.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,ComfortRating.response,ComfortRating.rt,ComfortRating.started,ComfortRating.stopped,EndingText.started,EndingText.stopped,ConfirmEnd.keys,ConfirmEnd.rt,ConfirmEnd.started,ConfirmEnd.stopped,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
,,,,,,,,,,106.43293760000961,None,space,1.7704910000029486,106.43293760000961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,M,2,4,r,CIB,2021_May_10_1102,2020.2.5,bodymap2,59.99890801854398,"['Abdomen', 'Right Leg', 'Chest', 'Left Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,4,4,4,,,,,,,108.32772380000097,108.32772380000097,None,space,878.6919655000092,108.32772380000097,None,987.0506580000219,space,154.20054869999876,987.0506580000219,None,1196.9191406000173,1196.9191406000173,1209.9525490000087,None,1209.9525490000087,None,,,,,,,,,,,,,,,,,,,2,M,2,4,r,CIB,2021_May_10_1102,2020.2.5,bodymap2,59.99890801854398,"['Abdomen', 'Right Leg', 'Chest', 'Left Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,6,6,6,,,,,,,,,,,,,,,,,,,1222.9526515000034,None,1235.952723000024,None,1235.952723000024,None,,,,,,,,,,,,,,,,,,,2,M,2,4,r,CIB,2021_May_10_1102,2020.2.5,bodymap2,59.99890801854398,"['Abdomen', 'Right Leg', 'Chest', 'Left Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,8,8,8,,,,,,,,,,,,,,,,,,,1248.9530619000143,None,1261.9534140000178,None,1261.9534140000178,None,,,,,,,,,,,,,,,,,,,2,M,2,4,r,CIB,2021_May_10_1102,2020.2.5,bodymap2,59.99890801854398,"['Abdomen', 'Right Leg', 'Chest', 'Left Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,9,9,9,,,,,,,,,,,,,,,,,,,,,1274.9525515999994,1274.9525515999994,1274.9525515999994,1274.9525515999994,,,,,,,,,,,,,,,,,,,2,M,2,4,r,CIB,2021_May_10_1102,2020.2.5,bodymap2,59.99890801854398,"['Abdomen', 'Right Leg', 'Chest', 'Left Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,11,11,11,,,,,,,,,,,,,,,,,,,1287.9530029000016,None,1300.9534730000014,None,1300.9534730000014,None,,,,,,,,,,,,,,,,,,,2,M,2,4,r,CIB,2021_May_10_1102,2020.2.5,bodymap2,59.99890801854398,"['Abdomen', 'Right Leg', 'Chest', 'Left Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,14,14,14,,,,,,,,,,,,,,,,,,,1326.9534167000093,1326.9534167000093,1339.9537885000173,None,1339.9537885000173,None,,,,,,,,,,,,,,,,,,,2,M,2,4,r,CIB,2021_May_10_1102,2020.2.5,bodymap2,59.99890801854398,"['Abdomen', 'Right Leg', 'Chest', 'Left Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,18,18,18,,,,,,,,,,,,,,,,,,,1378.9537586000224,1378.9537586000224,1391.953779500007,None,1391.953779500007,None,,,,,,,,,,,,,,,,,,,2,M,2,4,r,CIB,2021_May_10_1102,2020.2.5,bodymap2,59.99890801854398,"['Abdomen', 'Right Leg', 'Chest', 'Left Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,21,21,21,,,,,,,,,,,,,,,,,,,1417.9540884000016,1417.9540884000016,1430.9544374000106,None,1430.9544374000106,None,,,,,,,,,,,,,,,,,,,2,M,2,4,r,CIB,2021_May_10_1102,2020.2.5,bodymap2,59.99890801854398,"['Abdomen', 'Right Leg', 'Chest', 'Left Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,24,24,24,,,,,,,,,,,,,,,,,,,1456.954325300001,1456.954325300001,1469.9548375000013,None,1469.9548375000013,None,,,,,,,,,,,,,,,,,,,2,M,2,4,r,CIB,2021_May_10_1102,2020.2.5,bodymap2,59.99890801854398,"['Abdomen', 'Right Leg', 'Chest', 'Left Leg']",
stimuli/orders/stimOrder14.xlsx,3,0,0,0,2,0,28,28,28,,,,,,,,,,,,,,,,,,,1508.9547783000162,1508.9547783000162,1521.9552194999997,None,1521.9552194999997,None,,,,,,,,,,,,,,,,,,,2,M,2,4,r,CIB,2021_May_10_1102,2020.2.5,bodymap2,59.99890801854398,"['Abdomen', 'Right Leg', 'Chest', 'Left Leg']",
