square,location,corrAns,runSeq,TaskT1Loop.thisRepN,TaskT1Loop.thisTrialN,TaskT1Loop.thisN,TaskT1Loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,runLoop.thisRepN,runLoop.thisTrialN,runLoop.thisN,runLoop.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,subject number,gender,session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
6,"[0.2, 0]",None,,0,0,0,0,0,0,0,0,,,,,,,,,114.04707880038768,None,115.06293050013483,None,115.06293050013483,116.06375099997967,116.06375099997967,None,1,0.17314814814814813,-0.07777777777777778,"[0, 0, 0]",0,0,115.06293050013483,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1547,WASABI distractmap,2020.2.10,60.002292091040594,"['Right Arm', 'Left Leg', 'Right Face', 'Left Arm', 'Left Arm', 'Right Leg', 'Chest', 'Abdomen', 'Chest', 'Right Leg', 'Right Arm', 'Left Face', 'Abdomen', 'Left Face', 'Left Leg', 'Right Face']",
6,"[0.2, 0]",1,,0,0,0,0,0,1,1,1,,,,,,,,,,,117.06377240037546,None,117.06377240037546,118.06381330033764,118.04711570031941,119.04710510000587,0,0.17314814814814813,-0.07777777777777778,"[0, 0, 0]",0,0,117.06377240037546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1547,WASABI distractmap,2020.2.10,60.002292091040594,"['Right Arm', 'Left Leg', 'Right Face', 'Left Arm', 'Left Arm', 'Right Leg', 'Chest', 'Abdomen', 'Chest', 'Right Leg', 'Right Arm', 'Left Face', 'Abdomen', 'Left Face', 'Left Leg', 'Right Face']",
2,"[0, 0.2]",0,,0,0,0,0,0,2,2,2,,,,,,,,,,,119.06377530004829,None,119.06377530004829,120.0636736000888,120.04712310014293,121.04711190005764,0,0.17314814814814813,-0.07777777777777778,"[0, 0, 0]",0,0,119.06377530004829,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1547,WASABI distractmap,2020.2.10,60.002292091040594,"['Right Arm', 'Left Leg', 'Right Face', 'Left Arm', 'Left Arm', 'Right Leg', 'Chest', 'Abdomen', 'Chest', 'Right Leg', 'Right Arm', 'Left Face', 'Abdomen', 'Left Face', 'Left Leg', 'Right Face']",
9,"[0.2, -0.2]",0,,0,0,0,0,0,3,3,3,,,,,,,,,,,121.06378810014576,None,121.06378810014576,122.0638121003285,122.04713100008667,123.04714220017195,0,0.17314814814814813,-0.07777777777777778,"[0, 0, 0]",0,0,121.06378810014576,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1547,WASABI distractmap,2020.2.10,60.002292091040594,"['Right Arm', 'Left Leg', 'Right Face', 'Left Arm', 'Left Arm', 'Right Leg', 'Chest', 'Abdomen', 'Chest', 'Right Leg', 'Right Arm', 'Left Face', 'Abdomen', 'Left Face', 'Left Leg', 'Right Face']",
9,"[0.2, -0.2]",1,,0,0,0,0,0,4,4,4,,,,,,,,,,,123.06382540008053,None,123.06382540008053,124.06381219998002,124.04714970011264,125.04714820021763,0,0.17314814814814813,-0.07777777777777778,"[0, 0, 0]",0,0,123.06382540008053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1547,WASABI distractmap,2020.2.10,60.002292091040594,"['Right Arm', 'Left Leg', 'Right Face', 'Left Arm', 'Left Arm', 'Right Leg', 'Chest', 'Abdomen', 'Chest', 'Right Leg', 'Right Arm', 'Left Face', 'Abdomen', 'Left Face', 'Left Leg', 'Right Face']",
6,"[0.2, 0]",0,,0,0,0,0,0,5,5,5,,,,,,,,,,,125.06382290041074,None,125.06382290041074,126.06383730005473,126.04716810025275,127.0471671000123,0,0.17314814814814813,-0.07777777777777778,"[0, 0, 0]",0,0,125.06382290041074,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1547,WASABI distractmap,2020.2.10,60.002292091040594,"['Right Arm', 'Left Leg', 'Right Face', 'Left Arm', 'Left Arm', 'Right Leg', 'Chest', 'Abdomen', 'Chest', 'Right Leg', 'Right Arm', 'Left Face', 'Abdomen', 'Left Face', 'Left Leg', 'Right Face']",
4,"[-0.2, 0]",0,,0,0,0,0,0,6,6,6,,,,,,,,,,,127.0638307002373,None,127.0638307002373,128.06384300021455,128.0471708001569,129.04719470022246,0,0.17314814814814813,-0.07777777777777778,"[0, 0, 0]",0,0,127.0638307002373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1547,WASABI distractmap,2020.2.10,60.002292091040594,"['Right Arm', 'Left Leg', 'Right Face', 'Left Arm', 'Left Arm', 'Right Leg', 'Chest', 'Abdomen', 'Chest', 'Right Leg', 'Right Arm', 'Left Face', 'Abdomen', 'Left Face', 'Left Leg', 'Right Face']",
3,"[0.2, 0.2]",0,,0,0,0,0,0,7,7,7,,,,,,,,,,,129.0638576000929,None,129.0638576000929,130.06386240012944,130.0471863001585,131.04718900006264,0,0.17314814814814813,-0.07777777777777778,"[0, 0, 0]",0,0,129.0638576000929,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1547,WASABI distractmap,2020.2.10,60.002292091040594,"['Right Arm', 'Left Leg', 'Right Face', 'Left Arm', 'Left Arm', 'Right Leg', 'Chest', 'Abdomen', 'Chest', 'Right Leg', 'Right Arm', 'Left Face', 'Abdomen', 'Left Face', 'Left Leg', 'Right Face']",
3,"[0.2, 0.2]",1,,0,0,0,0,0,8,8,8,,,,,,,,,,,131.06386340036988,None,131.06386340036988,132.0638812002726,132.04721360001713,133.04722230043262,0,0.17314814814814813,-0.07777777777777778,"[0, 0, 0]",0,0,131.06386340036988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1547,WASABI distractmap,2020.2.10,60.002292091040594,"['Right Arm', 'Left Leg', 'Right Face', 'Left Arm', 'Left Arm', 'Right Leg', 'Chest', 'Abdomen', 'Chest', 'Right Leg', 'Right Arm', 'Left Face', 'Abdomen', 'Left Face', 'Left Leg', 'Right Face']",
8,"[0, -0.2]",0,,0,0,0,0,0,9,9,9,,,,,,,,,,,133.06387820001692,None,133.06387820001692,134.06376500008628,134.04722530022264,135.04722360009328,0,0.17314814814814813,-0.07777777777777778,"[0, 0, 0]",0,0,133.06387820001692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,M,1,r,CIB,2021_Aug_10_1547,WASABI distractmap,2020.2.10,60.002292091040594,"['Right Arm', 'Left Leg', 'Right Face', 'Left Arm', 'Left Arm', 'Right Leg', 'Chest', 'Abdomen', 'Chest', 'Right Leg', 'Right Arm', 'Left Face', 'Abdomen', 'Left Face', 'Left Leg', 'Right Face']",
