square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,response.click,subject number,gender,bodymap first- or second-half (1 or 2),session,handedness,scanner,date,expName,psychopyVersion,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,,,,,59.35149160004221,None,60.3838182000909,None,60.3838182000909,61.38504770002328,61.36851190007292,None,1,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,60.3838182000909,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
6,"[0.2, 0]",1,0,1,1,1,,,,,,,62.35169250005856,None,62.35169250005856,63.35195920011029,63.33520080009475,64.33539110003039,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,62.35169250005856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
2,"[0, 0.2]",0,0,2,2,2,,,,,,,64.35197090008296,None,64.35197090008296,65.35182040010113,65.33520800003316,66.33520890004002,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,64.35197090008296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
9,"[0.2, -0.2]",0,0,3,3,3,,,,,,,66.35192550008651,None,66.35192550008651,67.3518753000535,67.33522130001802,68.33522430004086,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,66.35192550008651,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
9,"[0.2, -0.2]",1,0,4,4,4,,,,,,,68.35182660003193,None,68.35182660003193,69.35192070004996,69.33522850007284,70.3352198000066,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,68.35182660003193,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
6,"[0.2, 0]",0,0,5,5,5,,,,,,,70.35187470004894,None,70.35187470004894,71.35195660009049,71.33524540008511,72.33526980003808,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,70.35187470004894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
4,"[-0.2, 0]",0,0,6,6,6,,,,,,,72.35196880006697,None,72.35196880006697,73.35191750002559,73.33529489999637,74.33524800010491,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,72.35196880006697,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
3,"[0.2, 0.2]",0,0,7,7,7,,,,,,,74.35193930007517,None,74.35193930007517,75.35199290001765,75.33528120000847,76.33526800002437,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,74.35193930007517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
3,"[0.2, 0.2]",1,0,8,8,8,,,,,,,76.35198050003964,None,76.35198050003964,77.35190060001332,77.33532810001634,78.33531440002844,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,76.35198050003964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
8,"[0, -0.2]",0,0,9,9,9,,,,,,,78.35201420006342,None,78.35201420006342,79.35198940010741,79.33532890002243,80.33530670008622,0,-0.20972222222222223,0.27361111111111114,"[0, 0, 0]",0,0,78.35201420006342,None,,,,,,,,,,,,,,,,,,,,,,,,,,,999,m,2,99,r,TEST,2021_Aug_20_1058,distractmap,2020.2.10,59.99847601313559,"['Left Face', 'Abdomen']",
