square,location,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation_1.started,fixation_1.stopped,grid_lines.started,grid_lines.stopped,target_square.started,target_square.stopped,fixation_2.started,fixation_2.stopped,response.corr,response.x,response.y,response.leftButton,response.click_left,response.click_right,response.started,response.stopped,response.rt_left,response.rt_right,ScoreReportText.started,ScoreReportText.stopped,ScoreReportResponse.keys,ScoreReportResponse.started,ScoreReportResponse.stopped,response_2.x,response_2.y,response_2.leftButton,grid_lines_2.started,grid_lines_2.stopped,target_square_2.started,target_square_2.stopped,fixation_3.started,fixation_3.stopped,response_2.click,response_2.corr,response_2.started,response_2.stopped,BodySiteInstructionText.started,BodySiteImg.started,BodySiteImg.stopped,BodySiteInstructionRead.keys,BodySiteInstructionRead.rt,BodySiteInstructionRead.started,BodySiteInstructionRead.stopped,IntensityRating.response,IntensityRating.rt,IntensityRating.started,IntensityRating.stopped,response.click,subject number,gender,distractMap first- or second-half (1 or 2),session,handedness,scanner,date,psychopyVersion,expName,frameRate,body_site_order,
6,"[0.2, 0]",None,0,0,0,0,,,,,691.4081629000138,None,692.4415247000288,None,692.4415247000288,693.4415023999754,693.4248515999643,None,1,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,692.4415247000288,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
6,"[0.2, 0]",1,0,1,1,1,,,,,,,694.4247687000316,None,694.4247687000316,695.4248692999827,695.4081955000293,696.4082041999791,0,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,694.4247687000316,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
2,"[0, 0.2]",0,0,2,2,2,,,,,,,696.4248920000391,None,696.4248920000391,697.4248740000185,697.408224200015,698.4082346999785,0,0.06759259259259259,0.06481481481481481,"[1, 0, 0]",1,0,696.4248920000391,None,1.6296176000032574,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
9,"[0.2, -0.2]",0,0,3,3,3,,,,,,,698.4249092000537,None,698.4249092000537,699.4248971999623,699.4082479999634,700.4082405000227,0,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,698.4249092000537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
9,"[0.2, -0.2]",1,0,4,4,4,,,,,,,700.4248923000414,None,700.4248923000414,701.4249167999951,701.408256100025,702.4082627999596,0,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,700.4248923000414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
6,"[0.2, 0]",0,0,5,5,5,,,,,,,702.4249165999936,None,702.4249165999936,703.4249332000036,703.4082604999421,704.4082626999589,0,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,702.4249165999936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
4,"[-0.2, 0]",0,0,6,6,6,,,,,,,704.4249151999829,None,704.4249151999829,705.4249691000441,705.4082803999772,706.4078006000491,0,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,704.4249151999829,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
3,"[0.2, 0.2]",0,0,7,7,7,,,,,,,706.4249640000053,None,706.4249640000053,707.4249689000426,707.4082863000222,708.4082891000435,0,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,706.4249640000053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
3,"[0.2, 0.2]",1,0,8,8,8,,,,,,,708.4249612999847,None,708.4249612999847,709.4249794000061,709.40831660002,710.4083024000283,0,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,708.4249612999847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
8,"[0, -0.2]",0,0,9,9,9,,,,,,,710.4249987000367,None,710.4249987000367,711.4249893999659,711.4083182000322,712.4083375999471,0,0.06759259259259259,0.06481481481481481,"[0, 0, 0]",0,0,710.4249987000367,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,M,2,6,R,ARB,2022_Jan_27_1849,2020.2.10,distractmap2,60.004992397498185,"['Chest', 'Right Face', 'Right Leg', 'Left Leg']",
