24.1148 	WARNING 	Requested an unavailable screen number - using first available.
26.0666 	EXP 	Created Begin = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Begin', opacity=1, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
26.2586 	EXP 	Created movie = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=-1.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie', noAudio=False, opacity=1, ori=method-wrapper(...), pos=array([0., 0.]), size=method-wrapper(...), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
39.8674 	EXP 	Created movie = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=-1.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie', noAudio=False, opacity=1, ori=method-wrapper(...), pos=array([0., 0.]), size=method-wrapper(...), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
45.4954 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.3, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
45.4956 	EXP 	window1: mouseVisible = False
45.5788 	EXP 	movie: autoLog = True
45.5788 	EXP 	movie: movie = 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\kungfury.mp4'
45.5788 	EXP 	movie: size = array([1920., 1080.])
45.5788 	EXP 	movie: ori = 0
45.5788 	EXP 	movie: autoLog = True
45.5788 	EXP 	movie: movie = 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\01_Inscapes_NoScannerSound_h264.wmv'
45.5788 	EXP 	movie: size = array([1024.,  800.])
45.5788 	EXP 	movie: ori = 0
45.5788 	EXP 	Begin: autoDraw = True
125.6247 	DATA 	Keypress: 5
132.8414 	DATA 	Keypress: 5
149.6582 	DATA 	Keypress: 5
156.8743 	DATA 	Keypress: 5
171.5579 	EXP 	Created sequence: sequential, trialTypes=1, nReps=1, seed=None
171.5586 	EXP 	New trial (rep=0, index=0): OrderedDict([('runSeq', [OrderedDict([('moviefile', 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\kungfury.mp4')]), OrderedDict([('moviefile', 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\01_Inscapes_NoScannerSound_h264.wmv')])])])
171.5589 	EXP 	Created sequence: sequential, trialTypes=2, nReps=1, seed=None
171.5592 	EXP 	New trial (rep=0, index=0): OrderedDict([('moviefile', 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\kungfury.mp4')])
171.5977 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-0.5, -0.5, -0.5]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
171.5994 	DATA 	Keypress: space
171.6018 	EXP 	Begin: autoDraw = False
173.4148 	DATA 	Keypress: s
190.4228 	DATA 	Keypress: s
192.5228 	DATA 	Keypress: 5
195.0842 	DATA 	Keypress: 5
195.0846 	DATA 	Keypress: 5
195.0849 	DATA 	Keypress: 5
195.0852 	DATA 	Keypress: 5
195.0855 	DATA 	Keypress: 5
195.2827 	DATA 	Keypress: 5
195.2839 	EXP 	Sound  started
195.3028 	EXP 	movie: autoDraw = True
195.7480 	DATA 	Keypress: 5
196.2307 	DATA 	Keypress: 5
196.6640 	DATA 	Keypress: 5
197.1472 	DATA 	Keypress: 5
197.5971 	DATA 	Keypress: 5
198.0642 	DATA 	Keypress: 5
198.5139 	DATA 	Keypress: 5
198.9718 	DATA 	Keypress: 5
199.4309 	DATA 	Keypress: 5
199.8891 	DATA 	Keypress: 5
200.3474 	DATA 	Keypress: 5
200.8304 	DATA 	Keypress: 5
201.2640 	DATA 	Keypress: 5
201.7478 	DATA 	Keypress: 5
202.1970 	DATA 	Keypress: 5
202.6643 	DATA 	Keypress: 5
203.1141 	DATA 	Keypress: 5
203.5719 	DATA 	Keypress: 5
204.0305 	DATA 	Keypress: 5
204.4886 	DATA 	Keypress: 5
204.9476 	DATA 	Keypress: 5
205.4311 	DATA 	Keypress: 5
205.8636 	DATA 	Keypress: 5
206.3478 	DATA 	Keypress: 5
206.7974 	DATA 	Keypress: 5
207.2639 	DATA 	Keypress: 5
207.7141 	DATA 	Keypress: 5
208.1723 	DATA 	Keypress: 5
208.6308 	DATA 	Keypress: 5
209.0889 	DATA 	Keypress: 5
209.5471 	DATA 	Keypress: 5
210.0305 	DATA 	Keypress: 5
210.4649 	DATA 	Keypress: 5
210.9473 	DATA 	Keypress: 5
211.3973 	DATA 	Keypress: 5
211.8642 	DATA 	Keypress: 5
212.3140 	DATA 	Keypress: 5
212.7724 	DATA 	Keypress: 5
213.2315 	DATA 	Keypress: 5
213.6882 	DATA 	Keypress: 5
214.1478 	DATA 	Keypress: 5
214.6312 	DATA 	Keypress: 5
215.0645 	DATA 	Keypress: 5
215.5477 	DATA 	Keypress: 5
215.9978 	DATA 	Keypress: 5
216.4649 	DATA 	Keypress: 5
216.9140 	DATA 	Keypress: 5
217.3721 	DATA 	Keypress: 5
217.8311 	DATA 	Keypress: 5
218.2892 	DATA 	Keypress: 5
218.7480 	DATA 	Keypress: 5
219.2304 	DATA 	Keypress: 5
219.6887 	DATA 	Keypress: 5
220.1473 	DATA 	Keypress: 5
220.5969 	DATA 	Keypress: 5
221.0639 	DATA 	Keypress: 5
221.5139 	DATA 	Keypress: 5
221.9718 	DATA 	Keypress: 5
222.4305 	DATA 	Keypress: 5
222.8890 	DATA 	Keypress: 5
223.3478 	DATA 	Keypress: 5
223.8304 	DATA 	Keypress: 5
224.2646 	DATA 	Keypress: 5
224.7478 	DATA 	Keypress: 5
225.1973 	DATA 	Keypress: 5
225.6641 	DATA 	Keypress: 5
226.1147 	DATA 	Keypress: 5
226.5719 	DATA 	Keypress: 5
227.0309 	DATA 	Keypress: 5
227.4890 	DATA 	Keypress: 5
227.9476 	DATA 	Keypress: 5
228.4315 	DATA 	Keypress: 5
228.8639 	DATA 	Keypress: 5
229.3478 	DATA 	Keypress: 5
229.7981 	DATA 	Keypress: 5
230.2645 	DATA 	Keypress: 5
230.7144 	DATA 	Keypress: 5
231.1723 	DATA 	Keypress: 5
231.6308 	DATA 	Keypress: 5
232.0885 	DATA 	Keypress: 5
232.5482 	DATA 	Keypress: 5
233.0309 	DATA 	Keypress: 5
233.4647 	DATA 	Keypress: 5
233.9476 	DATA 	Keypress: 5
234.3979 	DATA 	Keypress: 5
234.8651 	DATA 	Keypress: 5
235.3147 	DATA 	Keypress: 5
235.7718 	DATA 	Keypress: 5
236.2312 	DATA 	Keypress: 5
236.6891 	DATA 	Keypress: 5
237.1479 	DATA 	Keypress: 5
237.6306 	DATA 	Keypress: 5
238.0647 	DATA 	Keypress: 5
238.5480 	DATA 	Keypress: 5
238.9976 	DATA 	Keypress: 5
239.4646 	DATA 	Keypress: 5
239.9147 	DATA 	Keypress: 5
240.3817 	DATA 	Keypress: 5
240.8307 	DATA 	Keypress: 5
241.2891 	DATA 	Keypress: 5
241.7472 	DATA 	Keypress: 5
242.2305 	DATA 	Keypress: 5
242.6641 	DATA 	Keypress: 5
243.1475 	DATA 	Keypress: 5
243.5974 	DATA 	Keypress: 5
244.0649 	DATA 	Keypress: 5
244.5145 	DATA 	Keypress: 5
244.9722 	DATA 	Keypress: 5
245.4315 	DATA 	Keypress: 5
245.8892 	DATA 	Keypress: 5
246.3478 	DATA 	Keypress: 5
246.8310 	DATA 	Keypress: 5
