217.0063 	WARNING 	Requested an unavailable screen number - using first available.
218.9467 	EXP 	Created Begin = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Begin', opacity=1, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
219.4337 	EXP 	Created movie = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=-1.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie', noAudio=False, opacity=1, ori=method-wrapper(...), pos=array([0., 0.]), size=method-wrapper(...), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
234.4670 	EXP 	Created movie = MovieStim3(__class__=<class 'psychopy.visual.movie3.MovieStim3'>, autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=-1.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name='movie', noAudio=False, opacity=1, ori=method-wrapper(...), pos=array([0., 0.]), size=method-wrapper(...), units='pix', vframe_callback=UNKNOWN, volume=UNKNOWN, win=Window(...))
239.9914 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.3, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
239.9916 	EXP 	window1: mouseVisible = False
240.0925 	EXP 	movie: autoLog = True
240.0925 	EXP 	movie: movie = 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\kungfury.mp4'
240.0925 	EXP 	movie: size = array([1920., 1080.])
240.0925 	EXP 	movie: ori = 0
240.0925 	EXP 	movie: autoLog = True
240.0925 	EXP 	movie: movie = 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\01_Inscapes_NoScannerSound_h264.wmv'
240.0925 	EXP 	movie: size = array([1024.,  800.])
240.0925 	EXP 	movie: ori = 0
240.0925 	EXP 	Begin: autoDraw = True
264.5185 	EXP 	Created sequence: sequential, trialTypes=1, nReps=1, seed=None
264.5190 	EXP 	New trial (rep=0, index=0): OrderedDict([('runSeq', [OrderedDict([('moviefile', 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\kungfury.mp4')]), OrderedDict([('moviefile', 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\01_Inscapes_NoScannerSound_h264.wmv')])])])
264.5194 	EXP 	Created sequence: sequential, trialTypes=2, nReps=1, seed=None
264.5197 	EXP 	New trial (rep=0, index=0): OrderedDict([('moviefile', 'c:\\Users\\Dartmouth\\Documents\\GitHub\\canlab\\WASABI_public\\fMRI Tasks\\WASABI hyperalignment\\stimuli\\videos\\kungfury.mp4')])
264.5582 	EXP 	Created unnamed TextStim = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-0.5, -0.5, -0.5]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
264.5601 	DATA 	Keypress: space
264.5640 	EXP 	Begin: autoDraw = False
267.4164 	DATA 	Keypress: s
281.8464 	DATA 	Keypress: 5
284.4077 	DATA 	Keypress: 5
284.4081 	DATA 	Keypress: 5
284.4084 	DATA 	Keypress: 5
284.4087 	DATA 	Keypress: 5
284.4091 	DATA 	Keypress: 5
284.6063 	DATA 	Keypress: 5
284.6072 	EXP 	Sound  started
284.6308 	EXP 	movie: autoDraw = True
285.0753 	DATA 	Keypress: 5
285.5336 	DATA 	Keypress: 5
285.9924 	DATA 	Keypress: 5
286.4749 	DATA 	Keypress: 5
286.9087 	DATA 	Keypress: 5
287.3916 	DATA 	Keypress: 5
287.8505 	DATA 	Keypress: 5
288.3092 	DATA 	Keypress: 5
288.7583 	DATA 	Keypress: 5
289.2252 	DATA 	Keypress: 5
289.6749 	DATA 	Keypress: 5
290.1337 	DATA 	Keypress: 5
290.5921 	DATA 	Keypress: 5
291.0498 	DATA 	Keypress: 5
291.5091 	DATA 	Keypress: 5
291.9926 	DATA 	Keypress: 5
292.4507 	DATA 	Keypress: 5
292.9087 	DATA 	Keypress: 5
293.3584 	DATA 	Keypress: 5
293.8254 	DATA 	Keypress: 5
294.2753 	DATA 	Keypress: 5
294.7331 	DATA 	Keypress: 5
295.1919 	DATA 	Keypress: 5
295.6504 	DATA 	Keypress: 5
296.1089 	DATA 	Keypress: 5
296.5922 	DATA 	Keypress: 5
297.0503 	DATA 	Keypress: 5
297.5086 	DATA 	Keypress: 5
297.9587 	DATA 	Keypress: 5
298.4255 	DATA 	Keypress: 5
298.8753 	DATA 	Keypress: 5
299.3339 	DATA 	Keypress: 5
299.7924 	DATA 	Keypress: 5
300.2504 	DATA 	Keypress: 5
300.7081 	DATA 	Keypress: 5
301.1925 	DATA 	Keypress: 5
301.6502 	DATA 	Keypress: 5
302.1090 	DATA 	Keypress: 5
302.5591 	DATA 	Keypress: 5
303.0255 	DATA 	Keypress: 5
303.4755 	DATA 	Keypress: 5
303.9339 	DATA 	Keypress: 5
304.3927 	DATA 	Keypress: 5
304.8505 	DATA 	Keypress: 5
305.3087 	DATA 	Keypress: 5
305.7923 	DATA 	Keypress: 5
306.2498 	DATA 	Keypress: 5
306.7092 	DATA 	Keypress: 5
307.1591 	DATA 	Keypress: 5
307.6259 	DATA 	Keypress: 5
308.0751 	DATA 	Keypress: 5
308.5335 	DATA 	Keypress: 5
308.9920 	DATA 	Keypress: 5
309.4500 	DATA 	Keypress: 5
309.9090 	DATA 	Keypress: 5
310.3925 	DATA 	Keypress: 5
310.8503 	DATA 	Keypress: 5
311.3085 	DATA 	Keypress: 5
311.7585 	DATA 	Keypress: 5
312.2256 	DATA 	Keypress: 5
312.6756 	DATA 	Keypress: 5
313.1336 	DATA 	Keypress: 5
313.5924 	DATA 	Keypress: 5
314.0496 	DATA 	Keypress: 5
314.5085 	DATA 	Keypress: 5
314.9926 	DATA 	Keypress: 5
315.4501 	DATA 	Keypress: 5
315.9089 	DATA 	Keypress: 5
316.3581 	DATA 	Keypress: 5
316.8254 	DATA 	Keypress: 5
317.2756 	DATA 	Keypress: 5
317.7336 	DATA 	Keypress: 5
318.1927 	DATA 	Keypress: 5
318.6506 	DATA 	Keypress: 5
319.1086 	DATA 	Keypress: 5
319.5922 	DATA 	Keypress: 5
320.0502 	DATA 	Keypress: 5
320.5094 	DATA 	Keypress: 5
320.9589 	DATA 	Keypress: 5
321.4255 	DATA 	Keypress: 5
321.8759 	DATA 	Keypress: 5
322.3334 	DATA 	Keypress: 5
322.7925 	DATA 	Keypress: 5
323.2505 	DATA 	Keypress: 5
323.7091 	DATA 	Keypress: 5
324.1918 	DATA 	Keypress: 5
324.6505 	DATA 	Keypress: 5
325.1093 	DATA 	Keypress: 5
325.5581 	DATA 	Keypress: 5
326.0260 	DATA 	Keypress: 5
326.4755 	DATA 	Keypress: 5
326.9337 	DATA 	Keypress: 5
327.3920 	DATA 	Keypress: 5
327.8503 	DATA 	Keypress: 5
328.3090 	DATA 	Keypress: 5
328.7923 	DATA 	Keypress: 5
329.2504 	DATA 	Keypress: 5
329.7091 	DATA 	Keypress: 5
330.1588 	DATA 	Keypress: 5
330.6256 	DATA 	Keypress: 5
331.0754 	DATA 	Keypress: 5
331.5333 	DATA 	Keypress: 5
331.9926 	DATA 	Keypress: 5
