	onset	duration	phase	condition
0	2.8410960999317467	1.500016300007701	cue	Abdomen
1	4.341112399939448	16.495790033135563	movement	Abdomen
2	20.882648600032553	1.482995399972424	cue	Left Face
3	22.365644000004977	16.508701669750735	movement	Left Face
4	38.872134199831635	18.013013989897445	rest	Rest
5	56.914962199982256	1.4830471000168473	cue	Left Leg
6	58.3980092999991	16.511323769809678	movement	Left Leg
7	74.95852859993465	1.4830976000521332	cue	Right Arm
8	76.44162619998679	16.507778859697282	movement	Right Arm
9	92.99719369993545	1.4830946999136358	cue	Left Arm
10	94.48028839984909	16.514078859705478	movement	Left Arm
11	110.99010879988782	18.011650889646262	rest	Rest
12	129.03789340006188	1.4664377998560667	cue	Chest
13	130.50433119991794	16.516644860152155	movement	Chest
14	147.050978400046	1.482694000005722	cue	Right Face
15	148.53367240005173	16.50783577002585	movement	Right Face
16	165.07942359987646	1.4833351999986917	cue	Right Leg
17	166.56275879987516	16.500595069956034	movement	Right Leg
18	183.0572216999717	18.011972189880908	rest	Rest
19	201.0997051000595	1.4830149000044912	cue	Right Face
20	202.582720000064	16.510985869914293	movement	Right Face
21	219.12899130000733	1.483338600024581	cue	Right Leg
22	220.6123299000319	16.502407969906926	movement	Right Leg
23	237.14919100003317	1.48300169990398	cue	Left Leg
24	238.63219269993715	16.512653769925237	movement	Left Leg
25	255.14137539989315	18.01159239001572	rest	Rest
26	273.1844589000102	1.483043999876827	cue	Chest
27	274.66750289988704	16.509374670451507	movement	Chest
28	291.2178215000313	1.483023599954322	cue	Abdomen
29	292.7008450999856	16.509660670068115	movement	Abdomen
30	309.2494407000486	1.483023300068453	cue	Left Face
31	310.73246400011703	16.513394969748333	movement	Left Face
32	327.24145119986497	18.012588189914823	rest	Rest
33	345.2967973998748	1.4831078997813165	cue	Left Arm
34	346.7799052996561	16.502516960259527	movement	Left Arm
35	363.3254333999939	1.4830670000519603	cue	Right Arm
36	364.8085004000459	16.512370459735394	movement	Right Arm
37	381.3082012999803	18.013483189977705	rest	Rest
38	Condition Order: 	['Abdomen', 'Left Face', 'Rest', 'Left Leg', 'Right Arm', 'Left Arm', 'Rest', 'Chest', 'Right Face', 'Right Leg', 'Rest', 'Right Face', 'Right Leg', 'Left Leg', 'Rest', 'Chest', 'Abdomen', 'Left Face', 'Rest', 'Left Arm', 'Right Arm', 'Rest']		
